"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"untextured","SRQS8F7JWA9MZ","level change","Base",0.1234295,-0.068910075,0.36157335
"untextured","SRQS8F7JWA9MZ","level change","Base",0.05167775,-0.12531495,0.260436375
"untextured","pooled","level change","Base",0.06559895,-0.57089075,1.241852
"untextured","SRQS8F7JWA9MZ","slope change","Base",-0.5300835,-2.14253225,0.236318275
"untextured","SRQS8F7JWA9MZ","slope change","Base",0.08570405,-0.668938275,1.643044
"untextured","pooled","slope change","Base",-0.02337395,-0.692639475,0.829639649999999
"untextured","SRQS8F7JWA9MZ","gender x level","Female",0.01656535,-0.1344587,0.19208945
"untextured","SRQS8F7JWA9MZ","gender x level","Female",-0.0222764,-0.207142075,0.13805595
"untextured","pooled","gender x level","Female",0.007040795,-0.4619205,0.42128785
"untextured","SRQS8F7JWA9MZ","gender x level","Male",-0.0978769,-0.271580375,0.0559733249999998
"untextured","SRQS8F7JWA9MZ","gender x level","Male",0.02820145,-0.130062475,0.21218425
"untextured","pooled","gender x level","Male",-0.0903,-0.469275625,0.561491725
"breakfast","2HRX9P6HKXA8V","level change","Base",0.0589669,-0.0817703525,0.2765767
"breakfast","ED5J990H5VAZT","level change","Base",0.03506755,-0.0221703025,0.09523427
"breakfast","L69HYJ4Y3TR91","level change","Base",0.0170474,-0.159715525,0.144722025
"breakfast","pooled","level change","Base",0.04372725,-0.1054732,0.2701902
"breakfast","2HRX9P6HKXA8V","slope change","Base",0.0496164,-0.141613725,0.2585201
"breakfast","ED5J990H5VAZT","slope change","Base",0.1700995,0.0396217125,0.299972575
"breakfast","L69HYJ4Y3TR91","slope change","Base",0.1787625,-0.33470045,1.03206025
"breakfast","pooled","slope change","Base",0.1176795,-0.4116037,0.729464025
"breakfast","2HRX9P6HKXA8V","gender x level","Female",-0.156745,-0.320083675,-0.00575085575000003
"breakfast","ED5J990H5VAZT","gender x level","Female",-0.0462004,-0.08411522,-0.00922781150000001
"breakfast","L69HYJ4Y3TR91","gender x level","Female",0.0539348,-0.03077847,0.142812675
"breakfast","pooled","gender x level","Female",-0.0430477,-0.303656125,0.607932575
"breakfast","2HRX9P6HKXA8V","gender x level","Male",-0.03831565,-0.169890475,0.10245175
"breakfast","ED5J990H5VAZT","gender x level","Male",-0.08889875,-0.127750625,-0.04963298
"breakfast","L69HYJ4Y3TR91","gender x level","Male",-0.003558935,-0.08743897,0.08648725
"breakfast","pooled","gender x level","Male",-0.0286193,-0.225624525,0.659168749999998
