outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,color_group
total,Level Change,0.18661762026533332,-0.20400179999999998,0.576841125,1.0002964675355035,96.7039838492534,Pooled,POOLED,Total
total,Slope Change,0.23191425114066666,-0.19526135,0.6469746249999997,1.000917417330015,173.44387302023412,Pooled,POOLED,Total
nonvegan,Level Change,0.18520962314533335,-0.15681104999999998,0.5607006999999998,1.0164870836965516,157.5707687130489,Pooled,POOLED,Animal
nonvegan,Slope Change,0.23375288388046667,-0.102842125,0.5493592749999998,1.0009472053498936,242.6845767652716,Pooled,POOLED,Animal
meat,Level Change,0.22706067845733333,-0.22414504999999998,0.6516469999999994,1.0076389962541217,103.1305465877246,Pooled,POOLED,Animal
meat,Slope Change,0.24663683304266668,-0.282203125,0.7054689749999996,1.034272207592509,48.39250552703964,Pooled,POOLED,Animal
chicken_fish,Level Change,0.21631144982466666,-0.30102235,0.764802424999999,1.0006821513774444,136.90075604198069,Pooled,POOLED,Animal
chicken_fish,Slope Change,0.60611518417,-0.1020799,1.3355637499999984,1.000418397619787,165.6770662444631,Pooled,POOLED,Animal
vegetarian,Level Change,0.16685085361933333,-0.161633475,0.51430855,1.0198422753627328,130.24271501768376,Pooled,POOLED,Plant-based
vegetarian,Slope Change,0.17904365127876867,-0.201087125,0.5571463999999997,1.00831827905534,258.3273264366098,Pooled,POOLED,Plant-based
vegan,Level Change,0.19508197010553333,-0.18396915,0.5777209249999999,1.001354426388509,276.36941242950485,Pooled,POOLED,Plant-based
vegan,Slope Change,0.30085383861733334,-0.252676225,0.8481569999999998,1.0005634536938017,238.0814712052107,Pooled,POOLED,Plant-based
total,Level Change,0.02955880224154443,-0.01005033585350145,0.06765864847381486,0.9994271365653982,NA,Restaurant,VLZX7K2M9QD4T,Total
total,Slope Change,-0.020202707317519466,-0.16251892949777494,0.12221763272424911,1.0005329099038827,NA,Restaurant,VLZX7K2M9QD4T,Total
total,Level Change,0.6259384308664954,0.4637340162321402,0.7929925155296614,1.0015612983342956,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Level Change,0.13976194237515863,-0.020202707317519466,0.3074846997479607,0.9995863429233991,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Slope Change,-0.18632957819149348,-1.2039728043259361,0.7323678937132266,1.0008004113517228,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Slope Change,-0.06187540371808753,-0.941608539858445,0.9707789171582248,1.001399246179382,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Level Change,0.11332868530700327,-0.020202707317519466,0.23111172096338664,1.000750463094139,NA,Restaurant,2HRX9P6HKXA8V,Total
total,Slope Change,-0.06187540371808753,-0.08338160893905101,-0.030459207484708574,1.0053774539982572,NA,Restaurant,2HRX9P6HKXA8V,Total
total,Level Change,-0.3285040669720361,-0.4307829160924542,-0.23572233352106983,0.9996117267094037,NA,Restaurant,JHDN7CF1C03X5,Total
total,Slope Change,-0.01005033585350145,-0.040821994520255166,0.02955880224154443,1.0008774705745356,NA,Restaurant,JHDN7CF1C03X5,Total
total,Level Change,0.13976194237515863,0.03922071315328133,0.23901690047049992,1.0011109087153278,NA,Restaurant,L69HYJ4Y3TR91,Total
total,Slope Change,1.1249295969854831,0.8628899551470398,1.3962446919730587,1.0014335260537683,NA,Restaurant,L69HYJ4Y3TR91,Total
total,Level Change,0.8109302162163288,0.6626879730752367,0.9631743177730056,0.9999906249108959,NA,Restaurant,ED5J990H5VAZT,Total
total,Slope Change,0.3148107398400336,0.13976194237515863,0.4885800148186709,0.9995819080548972,NA,Restaurant,ED5J990H5VAZT,Total
nonvegan,Level Change,0.01980262729617973,-0.030459207484708574,0.058268908123975824,0.9997917513329144,NA,Restaurant,VLZX7K2M9QD4T,Animal
nonvegan,Slope Change,-0.01005033585350145,-0.16251892949777494,0.131028262406404,0.9994298553492523,NA,Restaurant,VLZX7K2M9QD4T,Animal
nonvegan,Level Change,0.62057648772511,0.4637340162321402,0.7793248768009977,1.000799955017377,NA,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,Level Change,0.13976194237515863,-0.020202707317519466,0.3074846997479607,0.9996636233299848,NA,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,Slope Change,-0.15082288973458366,-1.0498221244986778,0.6626879730752367,1.0003912734967562,NA,Restaurant,SRQS8F7JWA9MZ,Animal
