outcome,effect_type,mean,q2.5,q16,q84,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Level change,-0.245577721715455,-0.63022916975,-0.3997477812,-0.09204576804,0.140638257249999,0.7826096488959601,NA,NA,Pooled,POOLED,0,finalized_uncontaminated,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.3997477812,-0.09204576804
Breakfast-style meat,Slope change,-0.807985529362132,-1.76857521475,-1.2837254716,-0.328646844,0.259718109999999,0.4374437462288211,NA,NA,Pooled,POOLED,0,finalized_uncontaminated,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.2837254716,-0.328646844
Breakfast-style meat,Level change,-0.158590310531922,-0.40166561125,-0.2892830264,-0.026564109792,0.1080574509,0.8499359332376712,NA,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_uncontaminated,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2892830264,-0.026564109792
Breakfast-style meat,Level change,-0.287528588364252,-0.6094961665,-0.43989355,-0.1347562784,0.0226380182249997,0.751834570703002,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_uncontaminated,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.43989355,-0.1347562784
Breakfast-style meat,Level change,-0.278778840157315,-0.6297405255,-0.432133244,-0.12383188244,0.0338716285999996,0.761753242103505,NA,NA,Restaurant,ED5J990H5VAZT,NA,finalized_uncontaminated,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.432133244,-0.12383188244
Breakfast-style meat,Slope change,-1.2611128780375,-1.899945131,-1.5758985492,-0.9373799168,-0.630004704950001,0.2822616136839816,NA,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_uncontaminated,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.5758985492,-0.9373799168
Breakfast-style meat,Slope change,-1.0387827309102,-2.5278869,-1.7329457284,-0.34213988356,0.524468109999997,0.3504704567265316,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_uncontaminated,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.7329457284,-0.34213988356
Breakfast-style meat,Slope change,-0.432108108531293,-1.04665310825,-0.7582615296,-0.1127733024,0.204767757249999,0.6507536377725989,NA,NA,Restaurant,ED5J990H5VAZT,NA,finalized_uncontaminated,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.7582615296,-0.1127733024
Ground meat,Level change,-0.0125833357190795,-0.1910212027025,-0.103091987828,0.0770031828,0.182210753,0.9846968846390146,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_uncontaminated,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.103091987828,0.0770031828
Ground meat,Level change,-0.0167113738506788,-0.181556169175,-0.10226541459999999,0.06653398132,0.16843363125,0.981322306448472,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_uncontaminated,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.10226541459999999,0.06653398132
Ground meat,Slope change,0.380103083174967,-1.057090045,-0.244497052,0.9826358108,1.50271944825,1.552114663262394,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_uncontaminated,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.244497052,0.9826358108
Ground meat,Slope change,-0.381962089984122,-1.49760799775,-0.9887846604,0.2433937008,1.0435733875,0.6390264197484941,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_uncontaminated,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.9887846604,0.2433937008
Whole-muscle meat,Level change,-0.0180410334945857,-0.11415559526,-0.06815144062,0.032489514,0.0828231294749999,0.9811259082132723,NA,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_uncontaminated,NA,"Exposure: Whole-Muscle
Analog Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.06815144062,0.032489514
Whole-muscle meat,Slope change,-1.03040945134504,-1.90177849925,-1.4704470952,-0.5923001748,-0.163976132250001,0.3572652128048991,NA,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_uncontaminated,NA,"Exposure: Whole-Muscle
Analog Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.4704470952,-0.5923001748
