outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,exposure_strip,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Nonvegan,Level change,0.9414964951894931,0.5743335265519166,1.5461149211716978,0.9414964951894931,1.0010635614579506,1279.602847921161,Pooled,POOLED,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7313159298358585,1.212083060535892
Nonvegan,Slope change,0.9893149197207798,0.5882094055474494,1.6683610364901353,0.9893149197207798,1.0003885903690584,1582.7839629191985,Pooled,POOLED,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.758289513311656,1.2907260264060523
Meat,Level change,0.8134712060416066,0.5366321286878352,1.204423232286565,0.8134712060416066,1.699216258503741,696.7479379323132,Pooled,POOLED,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6618738649785836,0.9997908031618652
Meat,Slope change,0.8468752515722241,0.5083438396542619,1.470590212741058,0.8468752515722241,1.2525908999218869,20.111373835968013,Pooled,POOLED,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6458507519340754,1.1104697015181693
Chicken & fish,Level change,0.8606437689106186,0.5507102302912577,1.306731034280584,0.8606437689106186,1.1334984264490693,18.846220354607738,Pooled,POOLED,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6903877169563437,1.0728865516758788
Chicken & fish,Slope change,1.2176299698390967,0.7146243522984967,2.0408305959275093,1.2176299698390967,1.0379691460461928,50.96904071518885,Pooled,POOLED,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9316609528763505,1.5913758528496924
Nonvegan,Level change,0.9749220876327094,0.7284198417614555,1.316539123664511,NA,1.000560359378672,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8382921887334166,1.1338207485747884
Nonvegan,Level change,0.9808873518412103,0.7466086023386624,1.2769319913891977,NA,1.0004176981675126,NA,Restaurant,ED5J990H5VAZT,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8553843160338104,1.124804346966811
Nonvegan,Level change,1.2247092040967071,0.9043471089139822,1.6476116381441444,NA,0.9998040279202535,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0509302077085219,1.4272238285638796
Nonvegan,Level change,0.4823437508835409,0.31567913352519755,0.7370619647505282,NA,1.0011161212778923,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.3885198900416148,0.5988251823902333
Nonvegan,Level change,0.9950705182513313,0.6987502141933403,1.4382942449378313,NA,1.0018486797193218,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8276996864857916,1.1962857452525693
Nonvegan,Level change,0.9676814202261255,0.6621409746982171,1.4386312469814893,NA,1.0001061106968048,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7938953596460218,1.179509767469068
Nonvegan,Level change,0.9007814371787869,0.6451372790637044,1.273473588823241,NA,1.0003278753564897,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7573177768377974,1.0714223571430417
Nonvegan,Level change,0.6403456404501757,0.2680950969623881,1.5233055080182405,NA,1.0021702376003638,NA,Restaurant,EMBVNVD207CC6,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.4110933406006584,0.9974438862094498
Nonvegan,Level change,0.9273370966047004,0.28999196268934757,2.689894472862207,NA,0.9998305412008945,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5253695012850217,1.63685575320958
Nonvegan,Level change,1.0154755045309147,0.3990242931930851,2.488177722005379,NA,1.000883103264411,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6366392584639474,1.619740671962836
Nonvegan,Level change,0.9234784395458544,0.7209687607000812,1.1888001694737262,NA,1.000943703729371,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8128689470949282,1.0491388942262714
Nonvegan,Level change,0.9848825408226046,0.7817987107137955,1.2275580579046081,NA,1.0003096151580497,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.877804768556919,1.1050220435824536
Nonvegan,Level change,1.0192176551457885,0.8408176899827792,1.2368429142711168,NA,1.0006064480025374,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9236524677031431,1.1246704414097293
Nonvegan,Level change,0.8892356943450481,0.6887380588074189,1.1555375404564825,NA,1.0015383861035085,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7792697382695046,1.014719398514418
Nonvegan,Level change,1.0146890647044344,0.7576357143787271,1.3669054434488717,NA,0.9998039039597786,NA,Restaurant,LBZEEFSBJNB3Z,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8728827891161695,1.179532820292249
Nonvegan,Level change,1.0005606137573184,0.6913779822817363,1.4408043315849701,NA,1.0004847475453067,NA,Restaurant,SAFK7ND1HR6XS,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8296483447151369,1.2066817805152865
Nonvegan,Level change,1.006742364894725,0.8648512912585147,1.1688029763186822,NA,1.0007717782075556,NA,Restaurant,S8MT0YGD2KTN9,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9322900102714433,1.0871404585561595
Nonvegan,Level change,1.0457766872598633,0.8049304021562089,1.3453866293340955,NA,0.999871494967809,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9173362465914046,1.192200661077052
Nonvegan,Level change,0.9201813493644483,0.6302943970128084,1.3620862995955991,NA,1.0012282810684143,NA,Restaurant,9XKJD8DQTH559,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7559632388047205,1.120072607044989
Nonvegan,Level change,0.883460390991889,0.5833097891525523,1.3568703915170075,NA,1.000026110677554,NA,Restaurant,9XKJD8DQTH559,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7122897589610513,1.095765104906162
Nonvegan,Level change,0.9266781493313897,0.4619049553108326,1.7779273802434976,NA,1.0002085142658523,NA,Restaurant,LQ5EH4BKGV61T,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6570554708679148,1.3069404799475095
Nonvegan,Level change,1.002796750071498,0.8888570277322558,1.1244991554814383,NA,1.001515962893406,NA,Restaurant,78AY09MVJVTYE,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9444088643285512,1.0647944549619548
Nonvegan,Slope change,0.8727395829243293,0.30237824822099757,2.39115500882934,NA,1.0008723746509471,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5149777357066728,1.4790433193344419
