"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"dairy_t2","9XKJD8DQTH559","level change","Base",-0.16914912,-0.3955437325,0.0788650700000001
"dairy_t2","9XKJD8DQTH559","level change","Base",-0.22147715,-0.4878619,-0.0107218122499998
"dairy_t2","EMBVNVD207CC6","level change","Base",0.29725025,-0.2424590375,0.8896709575
"dairy_t2","W8T41JZK0ZMEP","level change","Base",-0.01548335,-0.154145773,0.143404912675
"dairy_t2","W8T41JZK0ZMEP","level change","Base",-0.04163325,-0.1963349375,0.0961793825
"dairy_t2","W8T41JZK0ZMEP","level change","Base",-0.0164185,-0.1510792475,0.146596445
"dairy_t2","W8T41JZK0ZMEP","level change","Base",-0.038943715,-0.19003258,0.0990421675000001
"dairy_t2","W8T41JZK0ZMEP","level change","Base",-0.03610585,-0.21103991,0.122147515
"dairy_t2","pooled","level change","Base",0.038882005,-0.56121351,0.711744975
"dairy_t2","9XKJD8DQTH559","slope change","Base",-0.089326,-0.4933574675,0.6735029225
"dairy_t2","9XKJD8DQTH559","slope change","Base",-0.2071449,-1.0242354725,0.17463360875
"dairy_t2","EMBVNVD207CC6","slope change","Base",-0.3250564,-0.761795025,0.01619248
"dairy_t2","W8T41JZK0ZMEP","slope change","Base",-0.0638143,-0.647205575,0.5757127425
"dairy_t2","W8T41JZK0ZMEP","slope change","Base",-0.076670995,-0.5825360325,0.481079933775
"dairy_t2","W8T41JZK0ZMEP","slope change","Base",-0.021077765,-0.4924851025,0.672566655
"dairy_t2","W8T41JZK0ZMEP","slope change","Base",-0.0824756965,-0.7223510875,0.404271285
"dairy_t2","W8T41JZK0ZMEP","slope change","Base",-0.08862995,-0.8373047325,0.41618882
"dairy_t2","pooled","slope change","Base",-0.13547885,-0.595777782,0.23886756
"dairy_t2","9XKJD8DQTH559","gender x level","Female",0.43190455,-0.139998839,1.34624471
"dairy_t2","9XKJD8DQTH559","gender x level","Female",-0.5139884,-1.3523605125,0.0174417217500001
"dairy_t2","EMBVNVD207CC6","gender x level","Female",-0.0142096,-0.298387185,0.2843654775
