outcome,effect_type,mean,q2.5,q16,q84,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Level Change,-0.0246668804752667,-0.35734522275,NA,NA,0.2999346725,NA,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.19234032314108304,0.14300656219054966
nonvegan,Slope Change,0.00262415504775,-0.40734145,NA,NA,0.36643775375,NA,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.19476849897010715,0.20001680906560712
nonvegan,Gender x Level,0.0550398493289,-0.3732714475,NA,NA,0.5546288825,NA,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.18166941852824287,0.29174911718604285
meat,Level Change,0.0100245427367967,-0.2610397325,NA,NA,0.22186940175,NA,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.11316656293922371,0.1332156484128171
meat,Slope Change,0.129379685370633,-0.247034669,NA,NA,0.6011882,NA,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.08700369957834661,0.3457630703196126
meat,Gender x Level,-0.0860689038801,-0.49241265,NA,NA,0.4073916075,NA,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.3156108063035694,0.1434729985433694
chicken_fish,Level Change,0.0594097367424,-0.262377225,NA,NA,0.303703725,NA,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.08499866886984489,0.20381814235464488
chicken_fish,Slope Change,-0.187749527326333,-0.4188112425,NA,NA,0.0805696850000001,NA,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.31514262107633306,-0.06035643357633294
chicken_fish,Gender x Level,-0.0950679795884,-0.3827714775,NA,NA,0.30547369,NA,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2706407263996245,0.0805047672228245
vegetarian,Level Change,-0.0329014642691,-0.3127071625,NA,NA,0.1687175525,NA,NA,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1557138915650184,0.08991096302681839
vegetarian,Slope Change,-0.0888298011733667,-0.4959276975,NA,NA,0.391881745000001,NA,NA,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.31531180181112206,0.13765219946438864
vegetarian,Gender x Level,0.0659612523287667,-0.3438686475,NA,NA,0.500864075,NA,NA,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.14953178912531492,0.28145429378284836
vegan,Level Change,0.00596859461376667,-0.249207422,NA,NA,0.2190025075,NA,NA,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1134727139321517,0.12540990315968503
vegan,Slope Change,-0.0491056079316667,-0.349359015,NA,NA,0.27643169,NA,NA,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.20874609390105447,0.11053487803772107
vegan,Gender x Level,-0.0571019387607667,-0.3457486925,NA,NA,0.3041206175,NA,NA,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.22288492600566467,0.10868104848413129
nonvegan,NA,0.0302828811685,-0.1774907425,NA,NA,0.2437358725,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.07717288796415307,0.13773865030115306
nonvegan,NA,-0.0195433306339667,-0.238225605,NA,NA,0.1857863975,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.12770965780233406,0.08862299653440066
nonvegan,NA,-0.03980232298952,-0.33308077375,NA,NA,0.2462139425,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1875815873390098,0.1079769413599698
nonvegan,NA,0.00815840458158333,-0.33288098,NA,NA,0.33815584925,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.16302446002300852,0.17934126918617516
nonvegan,NA,-0.007576420278854,-0.10476494,NA,NA,0.0859996125,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.05624084693701727,0.04108800637930927
nonvegan,NA,0.00782866505533333,-0.994589825,NA,NA,1.0771695775,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.52068138660283,0.5363387167134966
nonvegan,NA,-0.00629763288356667,-1.084246065,NA,NA,0.991227150000001,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5357550856896894,0.5231598199225561
nonvegan,NA,0.0244557835787867,-0.2078002325,NA,NA,0.24377114,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0907409951201929,0.1396525622777663
nonvegan,NA,-0.0135592973195333,-0.715602275,NA,NA,0.555801550000001,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.3378970077787173,0.31077841313965066
nonvegan,NA,-0.0158917629754023,-0.2130866575,NA,NA,0.17575749775,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.11508670053917781,0.0833031745883732
nonvegan,NA,-0.00712304593474667,-0.2598848475,NA,NA,0.26184128,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.14021644580719564,0.1259703539377023
nonvegan,NA,0.0504957306316333,-0.145598833,NA,NA,0.2740215575,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.05655028735306058,0.15754174861632717
nonvegan,NA,0.0728940505178667,-0.2080031775,NA,NA,0.3373629425,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.06622995968621494,0.21201806072194834
nonvegan,NA,-0.0454355411912333,-0.2790952888,NA,NA,0.162824205,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.15817010593613126,0.06729902355366466
nonvegan,NA,-0.00122374079063333,-0.276852415,NA,NA,0.26056643,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1383203849232864,0.13587290334201974
nonvegan,NA,0.0756453795025733,-0.245354155,NA,NA,0.377701432,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.08329737228314099,0.2345881312882876
nonvegan,NA,0.0278745391433333,-0.238331425,NA,NA,0.30201025,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.10996772488727893,0.16571680317394552
nonvegan,NA,-0.0194639646773,-0.248255775,NA,NA,0.2004423375,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1339277688864837,0.09499983953188368
nonvegan,NA,0.0148065386400167,-0.049596122,NA,NA,0.08046390325,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.01837203922988126,0.04798511650991466
