outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,color_group
breakfast,Level Change,0.7101456555067365,0.46085010614308863,1.094296920653222,0.7101456555067365,1.0014864120806,2781.87391545128,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/all_restaurants_weekly.png,Animal
breakfast,Slope Change,0.7580587459126236,0.3999260950072006,1.4368981405033676,0.7580587459126236,1.00229380825252,2606.65160547935,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/all_restaurants_weekly.png,Animal
chicken,Level Change,2.105565386443025,0.45211351096926194,9.805956886982704,2.105565386443025,1.01359567793817,193.770182941458,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal
chicken,Slope Change,0.6632438112681401,0.19212292947084253,2.2896400465944824,0.6632438112681401,1.00489722787976,273.753822087718,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal
dairy,Level Change,1.417928879227266,0.4244672564941141,4.736578088855648,1.417928879227266,1.03478837522252,101.909620991679,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal
dairy,Slope Change,0.6895352930058305,0.2770731093686981,1.7160052860559216,0.6895352930058305,1.07430866183758,36.1851602620564,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal
untextured,Level Change,1.3499482074199531,0.38522259817151294,4.730667856367487,1.3499482074199531,1.01262387316355,246.012674664336,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/all_restaurants_weekly.png,Animal
untextured,Slope Change,0.738666135500593,0.3870647995362367,1.4096545601385777,0.738666135500593,1.01482366400901,373.064785122919,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/all_restaurants_weekly.png,Animal
Total (A3),Level Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc,NA,Total
Total (A3),Slope Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc,NA,Total
breakfast,Level Change,0.7329102175845968,0.4835118827557087,1.1109497122975494,NA,1.0005830287617,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/2HRX9P6HKXA8V.png,Animal
breakfast,Slope Change,0.5531562486693166,0.32926486671280475,0.9292878359500099,NA,1.00788525830749,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/2HRX9P6HKXA8V.png,Animal
breakfast,Level Change,0.701123823463244,0.4551835304461913,1.079948159253158,NA,1.00069667596235,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/ED5J990H5VAZT.png,Animal
breakfast,Slope Change,1.092796476153802,0.7155734868011434,1.6688770060957199,NA,1.00032247756743,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/ED5J990H5VAZT.png,Animal
breakfast,Level Change,0.7152478907196487,0.4568098280522005,1.1198961006601795,NA,1.00027930250524,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/L69HYJ4Y3TR91.png,Animal
breakfast,Slope Change,0.6137182664429438,0.2080434663807098,1.8104395063120131,NA,1.00198721204057,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/L69HYJ4Y3TR91.png,Animal
textured,Level Change,1.0568612820027667,0.734083025408843,1.5215659955826522,NA,1.00001800538633,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/textured_t2/plots/VLZX7K2M9QD4T.png,Animal
textured,Slope Change,0.5429307511784454,0.21683234160078355,1.359454952148733,NA,1.00076316194419,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/textured_t2/plots/VLZX7K2M9QD4T.png,Animal
untextured,Level Change,112.80128854548074,44.707048670934064,284.61128783464727,NA,1.00407718666784,NA,Restaurant,JHDN7CF1C03X5,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/JHDN7CF1C03X5.png,Animal
untextured,Slope Change,0.5079850595533987,0.3284268200429856,0.7857117780323046,NA,1.03526366395262,NA,Restaurant,JHDN7CF1C03X5,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/JHDN7CF1C03X5.png,Animal
untextured,Level Change,0.9394764089759966,0.636882001923837,1.3858390099834907,NA,1.0227296744168899,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/SRQS8F7JWA9MZ.png,Animal
untextured,Level Change,0.8536803086167403,0.5822823453097646,1.2515750738282803,NA,1.00171206207193,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/SRQS8F7JWA9MZ.png,Animal
untextured,Slope Change,2.217204077693997,0.7331536207539723,6.7052712869197855,NA,1.03091422924429,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/SRQS8F7JWA9MZ.png,Animal
