model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1,Level Change,NA,-2.2935501666666668e-4,1.922732822803441e-4,NA,-5.3100765e-4,-5.479888000000001e-5,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,chicken_fish
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2,Level Change,NA,1.2641454081856666e-5,2.97310396055413e-5,NA,-1.450099e-5,7.824335499999995e-5,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,chicken_fish
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1,Level Change,NA,0.1743676383,0.11169080343183202,NA,0.0708827,0.329686,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_exposure,chicken_fish
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1,Level Change,NA,0.2511042196666667,0.0907313812984103,NA,0.13380695,0.354852,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_exposure,chicken_fish
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1,Level Change,NA,-0.019916407253333334,0.022133894587123084,NA,-0.0447336,0.00938896799999999,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_exposure,chicken_fish
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_slope,Slope Change,NA,-0.00202043802,0.0017815710525310561,NA,-0.004803428,-4.890839000000001e-4,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,chicken_fish
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_slope,Slope Change,NA,1.6361189073024334e-4,2.3413123349066745e-4,NA,-2.193072e-5,6.388610499999999e-4,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,chicken_fish
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_slope,Slope Change,NA,-0.09855797300000001,0.12565083707875066,NA,-0.25970405,0.0474455,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_exposure,chicken_fish
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_slope,Slope Change,NA,-0.434566564,0.2718209804137402,NA,-0.8049381,-0.15833995,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_exposure,chicken_fish
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_slope,Slope Change,NA,-0.011272640966666667,0.14090078365298833,NA,-0.198866,0.14134724999999998,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_exposure,chicken_fish
