model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1,Level Change,NA,-0.016735561486133334,0.04648407733384352,NA,-0.096671555,0.05431609999999997,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,vegetarian
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2,Level Change,NA,0.006939823329526667,0.04788255639149039,NA,-0.07044769999999999,0.08709042499999997,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,vegetarian
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1,Level Change,NA,-0.05519430192856667,0.06943447439481168,NA,-0.18380675,0.04088691999999979,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_exposure,vegetarian
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1,Level Change,NA,0.0090971393124,0.09967992013788413,NA,-0.12242789999999999,0.20145284999999996,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_exposure,vegetarian
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1,Level Change,NA,-0.02237483753888088,0.035253053527917806,NA,-0.080540195,0.033803134999999915,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_exposure,vegetarian
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_slope,Slope Change,NA,0.050206024971466666,0.22178870380398213,NA,-0.24416575000000001,0.45412259999999993,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,vegetarian
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_slope,Slope Change,NA,-0.07837661213952334,0.22406359077413407,NA,-0.50347405,0.2273087999999997,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,vegetarian
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_slope,Slope Change,NA,2.3669655386666656e-4,0.06777577406809085,NA,-0.11224625,0.10876234999999977,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_exposure,vegetarian
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_slope,Slope Change,NA,-0.10860403904236667,0.24579182898386429,NA,-0.5647677,0.2321493999999996,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_exposure,vegetarian
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_slope,Slope Change,NA,-0.106875423006,0.06929047342105563,NA,-0.21840825,0.0037837109999999453,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_exposure,vegetarian
