model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.1214143827635,0.09580341550656726,NA,-0.021440384999999996,0.2854921999999999,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.0416488712884,0.15715026078519867,NA,-0.23770239999999998,0.26229269999999993,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,total
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.0635792847755,0.07923977319805588,NA,-0.20718779999999998,0.04852205999999983,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.043380003600966666,0.11662863992759608,NA,-0.23729224999999998,0.13948014999999964,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,total
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,-0.15281082279683333,0.09971561649060452,NA,-0.3218588,-0.002449676500000038,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,0.0416488712884,0.15715026078519867,NA,-0.23770239999999998,0.26229269999999993,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,total
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,0.018422684575366666,0.0834860171121289,NA,-0.10577745,0.1659367,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,-0.043380003600966666,0.11662863992759608,NA,-0.23729224999999998,0.13948014999999964,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,total
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.03355219343553333,0.099480401385842,NA,-0.13088415,0.19290079999999984,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.0416488712884,0.15715026078519867,NA,-0.23770239999999998,0.26229269999999993,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,total
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.18691851837836668,0.12068129228995036,NA,-0.3828336,0.01043031999999998,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.043380003600966666,0.11662863992759608,NA,-0.23729224999999998,0.13948014999999964,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,total
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,0.26868670882333334,0.1045079841908212,NA,0.098586175,0.4397385499999998,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,0.0416488712884,0.15715026078519867,NA,-0.23770239999999998,0.26229269999999993,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,total
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,0.013858851508866666,0.0903274437097094,NA,-0.13630954999999997,0.16132779999999997,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,-0.043380003600966666,0.11662863992759608,NA,-0.23729224999999998,0.13948014999999964,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,total
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,-0.025582713744033335,0.02235377305380835,NA,-0.06321625,0.011289789999999989,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,0.0416488712884,0.15715026078519867,NA,-0.23770239999999998,0.26229269999999993,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,total
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,0.026592916124833332,0.021744543662117467,NA,-0.009510242499999998,0.06221175999999997,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,-0.043380003600966666,0.11662863992759608,NA,-0.23729224999999998,0.13948014999999964,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,total
