model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1,Level Change,NA,0.0173902145232149,0.05718014551951679,NA,-0.08121734625,0.10816838349999999,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2,Level Change,NA,-0.022059635882076,0.06895152153799321,NA,-0.139327299,0.07615137934999999,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1,Level Change,NA,-0.024834932417069668,0.05784216867903022,NA,-0.12157705949999999,0.0715998476999999,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1,Level Change,NA,0.04587992113888319,0.07764277114473597,NA,-0.06485940165,0.16038140449999994,L69HYJ4Y3TR91,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1,Level Change,NA,-0.0259986831219902,0.029180470210088367,NA,-0.0699387043,0.0216860754,ED5J990H5VAZT,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_1,Level Change,NA,0.08036815045499966,0.08141508019679304,NA,-0.0451908439,0.19851834899999996,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_2,Level Change,NA,-0.10815428128984333,0.07868121601848943,NA,-0.25641085999999996,0.011263483349999933,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_3,Level Change,NA,0.13622554287444,0.09642931392817397,NA,-0.006643727829999997,0.283357729,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_4,Level Change,NA,0.02278622424231475,0.0639491527206185,NA,-0.06871057074999998,0.13603110449999983,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_5,Level Change,NA,-0.019401520684165667,0.08462814339005877,NA,-0.1480543605,0.11451831399999995,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
EMBVNVD207CC6,exposure_EMBVNVD207CC6_1,Level Change,NA,0.07340264146317886,0.11388128780394573,NA,-0.062040337249999994,0.2638788055,EMBVNVD207CC6,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_1,Level Change,NA,-0.09636629581574967,0.1331661927216335,NA,-0.31695622,0.10320622949999993,C0BE4NDSW26QN,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_2,Level Change,NA,-0.040155375667262336,0.11110496685087223,NA,-0.22821486,0.11396695,C0BE4NDSW26QN,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_1,Level Change,NA,-0.06655810758604333,0.07774226818403959,NA,-0.20172791,0.04967288629999994,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_2,Level Change,NA,-0.05611733712985666,0.07397863030283888,NA,-0.18094982299999998,0.06510627009999984,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_3,Level Change,NA,0.08207746594008133,0.07508243195662662,NA,-0.03703678975,0.21161588499999998,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_4,Level Change,NA,3.2444939504e-4,0.06769131890251537,NA,-0.11612654449999998,0.10053891449999999,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
LBZEEFSBJNB3Z,exposure_LBZEEFSBJNB3Z_1,Level Change,NA,-0.047162740294335315,0.06482013427081786,NA,-0.1703054365,0.04107167204999984,LBZEEFSBJNB3Z,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
SAFK7ND1HR6XS,exposure_SAFK7ND1HR6XS_1,Level Change,NA,0.0103014110844964,0.06515441150612397,NA,-0.07044332384999999,0.13568029699999976,SAFK7ND1HR6XS,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
S8MT0YGD2KTN9,exposure_S8MT0YGD2KTN9_1,Level Change,NA,-0.07866116691943,0.08334400052147854,NA,-0.2341911085,0.03886758249999981,S8MT0YGD2KTN9,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
1SQPTEGYPH0GA,exposure_1SQPTEGYPH0GA_1,Level Change,NA,0.099502368348449,0.11368440471139651,NA,-0.04157277724999999,0.3105914294999999,1SQPTEGYPH0GA,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
9XKJD8DQTH559,exposure_9XKJD8DQTH559_1,Level Change,NA,-0.019768301891457,0.10920016419341755,NA,-0.1862589915,0.16430676949999987,9XKJD8DQTH559,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
9XKJD8DQTH559,exposure_9XKJD8DQTH559_2,Level Change,NA,0.11285686470480667,0.12397557895811645,NA,-0.057467202849999996,0.34242254299999986,9XKJD8DQTH559,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
LQ5EH4BKGV61T,exposure_LQ5EH4BKGV61T_1,Level Change,NA,-0.04450762401963533,0.11800001177737204,NA,-0.20226840199999999,0.1309787475,LQ5EH4BKGV61T,NA,NA,A5_t2_gaussian_iid_day_exposure,nonvegan
