model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.09954035922096667,0.08235512616941895,NA,-0.02976626,0.23800459999999998,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.00020647423019999982,0.04501315204477113,NA,-0.069822905,0.07908326499999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,total
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.085315049177,0.08404359040988324,NA,-0.22739065,0.047555059999999955,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.04084096008622,0.07608157828966716,NA,-0.16843855000000002,0.07672194999999998,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,total
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,-0.13145386830733333,0.0855877147424807,NA,-0.27954055,0.001649498499999999,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,0.00020647423019999982,0.04501315204477113,NA,-0.069822905,0.07908326499999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,total
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,0.04029898982635,0.08737759422091465,NA,-0.09606837999999998,0.18911539999999996,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,-0.04084096008622,0.07608157828966716,NA,-0.16843855000000002,0.07672194999999998,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,total
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.00494042942285,0.07541351825550834,NA,-0.11217925000000001,0.13154754999999999,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.00020647423019999982,0.04501315204477113,NA,-0.069822905,0.07908326499999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,total
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.22829076011,0.09414159758323906,NA,-0.3828238,-0.07332404000000003,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.04084096008622,0.07608157828966716,NA,-0.16843855000000002,0.07672194999999998,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,total
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,0.16451181147916666,0.10250284285986391,NA,-0.0036227734999999964,0.3351030999999998,L69HYJ4Y3TR91,NA,NA,A5_t2_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,0.00020647423019999982,0.04501315204477113,NA,-0.069822905,0.07908326499999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,total
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,-0.0325755693641,0.0911870419235141,NA,-0.1813995,0.11574,L69HYJ4Y3TR91,NA,NA,A5_t2_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,-0.04084096008622,0.07608157828966716,NA,-0.16843855000000002,0.07672194999999998,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,total
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,-0.026834076357933334,0.021578954665861426,NA,-0.062303815,0.009483763999999987,ED5J990H5VAZT,NA,NA,A5_t2_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,0.00020647423019999982,0.04501315204477113,NA,-0.069822905,0.07908326499999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,total
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,0.026074126833166667,0.021718639563737315,NA,-0.008875987,0.061773729999999985,ED5J990H5VAZT,NA,NA,A5_t2_gaussian_iid_day_gender,total
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,-0.04084096008622,0.07608157828966716,NA,-0.16843855000000002,0.07672194999999998,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,total
