model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.05866553850146633,0.050864793302986,NA,-0.018585465199999998,0.14735579599999996,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.056572512516805,0.03509689726063869,NA,0.0013241573050000023,0.11258727499999999,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.108064237402598,0.05887861725619304,NA,-0.208884566,-0.020880429850000052,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,0.0225296410108333,0.0521677644866703,NA,-0.0573480373,0.10574202449999995,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,-0.03942590243107267,0.0536233724334334,NA,-0.1344078515,0.041578488649999946,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,0.056572512516805,0.03509689726063869,NA,0.0013241573050000023,0.11258727499999999,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,0.06382479769077,0.06091850539465731,NA,-0.02545340115,0.16808006699999992,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,0.0225296410108333,0.0521677644866703,NA,-0.0573480373,0.10574202449999995,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.022015534924647334,0.05147399375901464,NA,-0.06466371289999998,0.10444437599999987,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.056572512516805,0.03509689726063869,NA,0.0013241573050000023,0.11258727499999999,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.0715526697462271,0.060451735565227975,NA,-0.17007700499999998,0.026667416849999813,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,0.0225296410108333,0.0521677644866703,NA,-0.0573480373,0.10574202449999995,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,0.172288686543,0.07752109443558268,NA,0.05820422705,0.32740018899999995,L69HYJ4Y3TR91,NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,0.056572512516805,0.03509689726063869,NA,0.0013241573050000023,0.11258727499999999,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,-0.01650617357491733,0.08337714522609463,NA,-0.14763052,0.13079488949999996,L69HYJ4Y3TR91,NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,0.0225296410108333,0.0521677644866703,NA,-0.0573480373,0.10574202449999995,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,0.13587796036966668,0.024737743869952793,NA,0.0950482036,0.17653500749999998,ED5J990H5VAZT,NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,0.056572512516805,0.03509689726063869,NA,0.0013241573050000023,0.11258727499999999,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,0.09198642460113333,0.025331728228917084,NA,0.05053912285,0.135069736,ED5J990H5VAZT,NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,0.0225296410108333,0.0521677644866703,NA,-0.0573480373,0.10574202449999995,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegetarian
