model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,-0.086763487151,0.20876497480996026,NA,-0.3703245255,0.12669348049999998,SRQS8F7JWA9MZ,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,-0.20101932752966667,0.1735999608976632,NA,-0.33231642,0.0445006582,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.053296632574000004,0.16780982188837015,NA,-0.27437277649999997,0.133479705,SRQS8F7JWA9MZ,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.064228310606,0.035713395098933884,NA,-0.114967215,-0.03716340055,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,0.029491930827566668,0.22074107521286368,NA,-0.22092020250000002,0.316278419,SRQS8F7JWA9MZ,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,-0.20101932752966667,0.1735999608976632,NA,-0.33231642,0.0445006582,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,0.03182558517633333,0.17021615131477838,NA,-0.148077772,0.260816936,SRQS8F7JWA9MZ,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,-0.064228310606,0.035713395098933884,NA,-0.114967215,-0.03716340055,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
JHDN7CF1C03X5,exposure_JHDN7CF1C03X5_1_gendermale,Gender x Level,male,0,0,NA,0,0,JHDN7CF1C03X5,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_JHDN7CF1C03X5_1_gendermale,Gender x Level,male,-0.20101932752966667,0.1735999608976632,NA,-0.33231642,0.0445006582,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
JHDN7CF1C03X5,exposure_JHDN7CF1C03X5_1_genderfemale,Gender x Level,female,0,0,NA,0,0,JHDN7CF1C03X5,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_JHDN7CF1C03X5_1_genderfemale,Gender x Level,female,-0.064228310606,0.035713395098933884,NA,-0.114967215,-0.03716340055,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_1_gendermale,Gender x Level,male,-0.122737540908,0.03372398462632799,NA,-0.1703662635,-0.09379791100000001,C0BE4NDSW26QN,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_C0BE4NDSW26QN_1_gendermale,Gender x Level,male,-0.20101932752966667,0.1735999608976632,NA,-0.33231642,0.0445006582,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_1_genderfemale,Gender x Level,female,0.04881321722233333,0.1415998741790119,NA,-0.13077801249999998,0.215938992,C0BE4NDSW26QN,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_C0BE4NDSW26QN_1_genderfemale,Gender x Level,female,-0.064228310606,0.035713395098933884,NA,-0.114967215,-0.03716340055,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_2_gendermale,Gender x Level,male,0.10239870915933333,0.04877907795632881,NA,0.042137617149999994,0.16207282750000002,C0BE4NDSW26QN,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_C0BE4NDSW26QN_2_gendermale,Gender x Level,male,-0.20101932752966667,0.1735999608976632,NA,-0.33231642,0.0445006582,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_2_genderfemale,Gender x Level,female,-0.08073424033066666,0.11587630360230847,NA,-0.21084604199999998,0.07093157135,C0BE4NDSW26QN,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_C0BE4NDSW26QN_2_genderfemale,Gender x Level,female,-0.064228310606,0.035713395098933884,NA,-0.114967215,-0.03716340055,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
S8MT0YGD2KTN9,exposure_S8MT0YGD2KTN9_1_gendermale,Gender x Level,male,-0.33478397585,0.22840594722792132,NA,-0.647917278,-0.1085837285,S8MT0YGD2KTN9,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_S8MT0YGD2KTN9_1_gendermale,Gender x Level,male,-0.20101932752966667,0.1735999608976632,NA,-0.33231642,0.0445006582,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
S8MT0YGD2KTN9,exposure_S8MT0YGD2KTN9_1_genderfemale,Gender x Level,female,0.101253260949,0.229210418450598,NA,-0.09980624925,0.42242980449999995,S8MT0YGD2KTN9,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_S8MT0YGD2KTN9_1_genderfemale,Gender x Level,female,-0.064228310606,0.035713395098933884,NA,-0.114967215,-0.03716340055,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
1SQPTEGYPH0GA,exposure_1SQPTEGYPH0GA_1_gendermale,Gender x Level,male,-0.03992099547333333,0.27052542529631346,NA,-0.2868182035,0.336884493,1SQPTEGYPH0GA,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_1SQPTEGYPH0GA_1_gendermale,Gender x Level,male,-0.20101932752966667,0.1735999608976632,NA,-0.33231642,0.0445006582,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
1SQPTEGYPH0GA,exposure_1SQPTEGYPH0GA_1_genderfemale,Gender x Level,female,-0.06870089624033333,0.16635131367089775,NA,-0.302846546,0.06993043705,1SQPTEGYPH0GA,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_1SQPTEGYPH0GA_1_genderfemale,Gender x Level,female,-0.064228310606,0.035713395098933884,NA,-0.114967215,-0.03716340055,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
9XKJD8DQTH559,exposure_9XKJD8DQTH559_1_gendermale,Gender x Level,male,0.05670978922666667,0.06413027899556392,NA,-0.032133604,0.118373755,9XKJD8DQTH559,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_9XKJD8DQTH559_1_gendermale,Gender x Level,male,-0.20101932752966667,0.1735999608976632,NA,-0.33231642,0.0445006582,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
9XKJD8DQTH559,exposure_9XKJD8DQTH559_1_genderfemale,Gender x Level,female,-0.025576472746666665,0.13084364939035628,NA,-0.146051262,0.1568460655,9XKJD8DQTH559,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_9XKJD8DQTH559_1_genderfemale,Gender x Level,female,-0.064228310606,0.035713395098933884,NA,-0.114967215,-0.03716340055,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
9XKJD8DQTH559,exposure_9XKJD8DQTH559_2_gendermale,Gender x Level,male,-0.03215254895756003,0.05543209040972103,NA,-0.110482503,0.013739646849999999,9XKJD8DQTH559,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_9XKJD8DQTH559_2_gendermale,Gender x Level,male,-0.20101932752966667,0.1735999608976632,NA,-0.33231642,0.0445006582,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
9XKJD8DQTH559,exposure_9XKJD8DQTH559_2_genderfemale,Gender x Level,female,0.041768527242666664,0.14326458834601494,NA,-0.14306899250000002,0.2074307075,9XKJD8DQTH559,NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
mu_gamma (pooled),exposure_9XKJD8DQTH559_2_genderfemale,Gender x Level,female,-0.064228310606,0.035713395098933884,NA,-0.114967215,-0.03716340055,mu_gamma (pooled),NA,NA,A6_t2_targeted_gaussian_iid_day_gender,untextured
