model_id,term,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1,0.16822613321368618,2.7696156370585867,0.9515663672651913,-5.260220515421143,5.596672781848516,SRQS8F7JWA9MZ,31899,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2,1.205990146172976,2.746248960077646,0.6605594697571463,-4.17665781557921,6.588638107925162,SRQS8F7JWA9MZ,31899,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1:date_code,-6.848935909853593e-5,0.0011436527233166644,0.9522460318383238,-0.002310048696799198,0.0021730699786021265,SRQS8F7JWA9MZ,31899,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2:date_code,-4.84399500954761e-4,0.001114151929785816,0.6637295999620434,-0.00266813728333496,0.001699338281425438,SRQS8F7JWA9MZ,31899,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1:gendermale,-0.02851634719234429,0.040729823252348585,0.4838434231770933,-0.10834680076694751,0.05131410638225893,SRQS8F7JWA9MZ,31899,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2:gendermale,0.07487455978351039,0.033160353381060013,0.023948513863446232,0.00988026715663276,0.13986885241038802,SRQS8F7JWA9MZ,31899,2041,A5,meat
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1,-0.6499325839157626,0.9758072789026145,0.5053816664610866,-2.562514850564887,1.262649682733362,2HRX9P6HKXA8V,13271,1964,A5,meat
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:date_code,3.990404486686324e-4,4.993876578235484e-4,0.42425591600506746,-5.797593606655224e-4,0.0013778402580027873,2HRX9P6HKXA8V,13271,1964,A5,meat
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:gendermale,-0.047729209913571095,0.029587483962210042,0.10671074749003448,-0.10572067847950278,0.010262258652360585,2HRX9P6HKXA8V,13271,1964,A5,meat
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1,12.087442090314653,23.71851270231619,0.6103173062408347,-34.40084280622508,58.575726986854384,L69HYJ4Y3TR91,4965,472,A5,meat
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:date_code,-0.0036848322025702096,0.007106096792220338,0.6040779498272346,-0.017612781915322073,0.010243117510181653,L69HYJ4Y3TR91,4965,472,A5,meat
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:gendermale,-0.12093425565056859,0.10073923309090188,0.22995751781454704,-0.3183831525087363,0.0765146412075991,L69HYJ4Y3TR91,4965,472,A5,meat
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1,-3.2183767244555623,2.2067774049004685,0.14472875315568698,-7.54366043806048,1.1069069891493557,ED5J990H5VAZT,16649,1359,A5,meat
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:date_code,0.0011594056994689384,7.789141702235828e-4,0.13662180327649195,-3.6726607416928377e-4,0.0026860774731071605,ED5J990H5VAZT,16649,1359,A5,meat
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:gendermale,-0.1817924777033254,0.08343035846770382,0.029333692541170957,-0.34531598030002486,-0.018268975106625923,ED5J990H5VAZT,16649,1359,A5,meat
pooled,any_exposureTRUE,-0.04468928528535418,0.1361556197450401,0.7427437289701053,-0.3115542999856328,0.2221757294149244,pooled,66784,5836,A5,meat
pooled,any_exposureTRUE:date_code,2.0115005674927237e-5,5.969267541519435e-5,0.736134907909777,-9.688263813885369e-5,1.3711264948870815e-4,pooled,66784,5836,A5,meat
pooled,any_exposureTRUE:gendermale,-0.05742450561794755,0.053718597435712175,0.28507533181277483,-0.1627129565919434,0.047863945356048314,pooled,66784,5836,A5,meat
