model_id,term,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1,0.9428302303001748,0.8274227712614619,0.25450374558641214,-0.6789184013722906,2.56457886197264,SRQS8F7JWA9MZ,31899,2041,A5,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2,-0.8537379357349617,0.5879369014808384,0.14647627924641576,-2.006094262637405,0.29861839116748157,SRQS8F7JWA9MZ,31899,2041,A5,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1:date_code,-3.850459085125926e-4,3.4535058246450313e-4,0.264875228147666,-0.0010619330501430188,2.9184123311783356e-4,SRQS8F7JWA9MZ,31899,2041,A5,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2:date_code,3.384942469004419e-4,2.371814187357711e-4,0.15353570902572813,-1.2638133382166943e-4,8.033698276225531e-4,SRQS8F7JWA9MZ,31899,2041,A5,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1:gendermale,-2.899431894153884e-4,0.014783596124150464,0.9843524970269589,-0.029265791592750296,0.028685905213919522,SRQS8F7JWA9MZ,31899,2041,A5,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2:gendermale,0.031150477201123978,0.015680847577893252,0.046974483461031724,4.160159484532036e-4,0.06188493845379475,SRQS8F7JWA9MZ,31899,2041,A5,nonvegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1,-0.5584472479627405,0.38463368811096893,0.1465311505441953,-1.3123292766602397,0.19543478073475862,2HRX9P6HKXA8V,13271,1964,A5,nonvegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:date_code,2.9328567095776055e-4,1.9691860952136348e-4,0.13638862541321142,-9.267480370411184e-5,6.79246145619633e-4,2HRX9P6HKXA8V,13271,1964,A5,nonvegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:gendermale,-0.022380256202558253,0.013128848239648615,0.08825737419089211,-0.04811279875226954,0.003352286347153035,2HRX9P6HKXA8V,13271,1964,A5,nonvegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1,13.849353841816992,6.336590374366728,0.028843704870115547,1.4296367080582044,26.26907097557578,L69HYJ4Y3TR91,4965,472,A5,nonvegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:date_code,-0.004163680551970916,0.0019014192589352776,0.02854055127099886,-0.00789046229948406,-4.3689880445777233e-4,L69HYJ4Y3TR91,4965,472,A5,nonvegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:gendermale,0.0339172668946186,0.046201190770691895,0.4628749624648417,-0.056637067015937514,0.12447160080517472,L69HYJ4Y3TR91,4965,472,A5,nonvegan
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1,-0.9238534684161395,0.653608668162832,0.15751882408222187,-2.20492645801529,0.35721952118301137,ED5J990H5VAZT,16649,1359,A5,nonvegan
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:date_code,3.25690980118112e-4,2.2789732805404803e-4,0.15297182581507368,-1.2098778286782214e-4,7.723697431040461e-4,ED5J990H5VAZT,16649,1359,A5,nonvegan
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:gendermale,-0.009867899654612291,0.019627860698336632,0.6151403131607696,-0.048338506623352095,0.02860270731412751,ED5J990H5VAZT,16649,1359,A5,nonvegan
pooled,any_exposureTRUE,-0.010816336133840435,0.019431434011082414,0.5777726200535276,-0.048901946795561965,0.027269274527881096,pooled,66784,5836,A5,nonvegan
pooled,any_exposureTRUE:date_code,-1.8945697084118931e-6,8.190964836774086e-6,0.8170817901526526,-1.79488607884891e-5,1.4159721371665313e-5,pooled,66784,5836,A5,nonvegan
pooled,any_exposureTRUE:gendermale,-0.0020666665578642843,0.009208307183325899,0.8224188277475448,-0.020114948637183046,0.015981615521454478,pooled,66784,5836,A5,nonvegan
