model_id,term,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1,-32.11328825134717,40.823877500060355,0.4314984708168907,-112.12808815146546,47.90151164877112,SRQS8F7JWA9MZ,31899,2041,A5,vegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2,36.01770105416314,30.44865980729781,0.2368490242001526,-23.661672168140562,95.69707427646685,SRQS8F7JWA9MZ,31899,2041,A5,vegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1:date_code,0.012889204602100739,0.017007872629053268,0.44854823712796044,-0.020446225750843663,0.04622463495504514,SRQS8F7JWA9MZ,31899,2041,A5,vegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2:date_code,-0.014120983948125691,0.012429537731182574,0.25592191548076765,-0.03848287790124354,0.010240910004992153,SRQS8F7JWA9MZ,31899,2041,A5,vegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1:gendermale,0.14904907611982915,0.6236743831645956,0.8111168986680203,-1.0733527148827782,1.3714508671224364,SRQS8F7JWA9MZ,31899,2041,A5,vegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2:gendermale,-1.5137419059871684,0.44731452884787853,7.142082240766467e-4,-2.39047838252901,-0.6370054294453265,SRQS8F7JWA9MZ,31899,2041,A5,vegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1,8.683076343147782,4.6794467719230894,0.06351379709363206,-0.4886393298214724,17.854792016117038,2HRX9P6HKXA8V,13271,1964,A5,vegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:date_code,-0.004446046888381451,0.002379495882358012,0.061694819454085136,-0.009109858817803154,2.177650410402519e-4,2HRX9P6HKXA8V,13271,1964,A5,vegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:gendermale,0.1656743604346755,0.14621883036026204,0.25719005551999036,-0.12091454707143809,0.4522632679407891,2HRX9P6HKXA8V,13271,1964,A5,vegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1,-80.89270915923407,40.00358448604196,0.04316224999749081,-159.29973475187631,-2.485683566591831,L69HYJ4Y3TR91,4965,472,A5,vegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:date_code,0.024310585643320337,0.011993130547876348,0.04265806377767286,8.040497694826974e-4,0.04781712151715797,L69HYJ4Y3TR91,4965,472,A5,vegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:gendermale,-0.20936545761427183,0.27457651171931624,0.44575975837330534,-0.7475354205841317,0.32880450535558803,L69HYJ4Y3TR91,4965,472,A5,vegan
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1,17.918705864902016,11.674989020712832,0.12483437887799247,-4.964272615695137,40.80168434549917,ED5J990H5VAZT,16649,1359,A5,vegan
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:date_code,-0.006252528952041681,0.004083255041838828,0.12570491508123255,-0.014255708834045783,0.0017506509299624216,ED5J990H5VAZT,16649,1359,A5,vegan
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:gendermale,0.17522330109696221,0.3428296273054262,0.609274748305694,-0.4967227684216731,0.8471693706155976,ED5J990H5VAZT,16649,1359,A5,vegan
pooled,any_exposureTRUE,-0.4533895235081468,0.33092665938851346,0.17066803651257448,-1.1020057759096331,0.19522672889333953,pooled,66784,5836,A5,vegan
pooled,any_exposureTRUE:date_code,3.086111237068637e-4,1.5372033910762036e-4,0.04468431266611578,7.319259055927794e-6,6.099029883577995e-4,pooled,66784,5836,A5,vegan
pooled,any_exposureTRUE:gendermale,0.005952066186244466,0.1468036715515914,0.9676591132712722,-0.2817831300548747,0.2936872624273636,pooled,66784,5836,A5,vegan
