model_id,term,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1,-0.5323151988924621,1.2178642218041584,0.6620467186561285,-2.919329073628613,1.8546986758436885,2HRX9P6HKXA8V,13271,1964,A6,breakfast
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:date_code,3.6846659270787336e-4,6.20501403949666e-4,0.5526320266913866,-8.477161590334719e-4,0.0015846493444492188,2HRX9P6HKXA8V,13271,1964,A6,breakfast
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:gendermale,-0.0312475315506455,0.033861954623608165,0.3561157535141647,-0.0976169626129175,0.0351218995116265,2HRX9P6HKXA8V,13271,1964,A6,breakfast
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1,13.282615054016366,25.676624049121905,0.6049441055507172,-37.04356808226257,63.6087981902953,L69HYJ4Y3TR91,4965,472,A6,breakfast
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:date_code,-0.004058200714346969,0.007694558164478424,0.5979076561105984,-0.01913953471672468,0.011023133288030743,L69HYJ4Y3TR91,4965,472,A6,breakfast
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:gendermale,-0.22007897205673688,0.1298820540111878,0.09017932915525564,-0.47464779791866496,0.034489853805191206,L69HYJ4Y3TR91,4965,472,A6,breakfast
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1,-7.686046769474615,4.17199352221602,0.06543187186526837,-15.863154073018015,0.4910605340687848,ED5J990H5VAZT,16649,1359,A6,breakfast
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:date_code,0.002733456836661306,0.0014717840834683536,0.06327696181652227,-1.5123996693666665e-4,0.005618153640259279,ED5J990H5VAZT,16649,1359,A6,breakfast
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:gendermale,-0.09474017681169512,0.13840090153880433,0.49363778065643604,-0.3660059438277516,0.17652559020436137,ED5J990H5VAZT,16649,1359,A6,breakfast
pooled,any_exposureTRUE,-0.230699026734311,0.3076398620028215,0.45331514160571623,-0.8336731562598411,0.3722751027912191,pooled,34885,3795,A6,breakfast
pooled,any_exposureTRUE:date_code,1.0106438956524231e-4,9.204725352298565e-5,0.27222106861794526,-7.934822733980958e-5,2.8147700647029416e-4,pooled,34885,3795,A6,breakfast
pooled,any_exposureTRUE:gendermale,-0.06473520152258924,0.03891088341710409,0.09617668805059344,-0.14100053302011326,0.011530129974934772,pooled,34885,3795,A6,breakfast
