model_id,term,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1,0.02265568612347385,0.03974455275469452,0.5686556662176248,-0.0552436372757274,0.1005550095226751,SRQS8F7JWA9MZ,31899,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2,0.0021972841192765408,0.044665465168771915,0.9607644924958892,-0.08534702761151641,0.0897415958500695,SRQS8F7JWA9MZ,31899,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1:gendermale,-0.03198468169177958,0.038238939082341265,0.4029058957788684,-0.10693300229316846,0.0429636389096093,SRQS8F7JWA9MZ,31899,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2:gendermale,0.07971791516103607,0.032024871831279396,0.012801288090590246,0.016949166371728455,0.1424866639503437,SRQS8F7JWA9MZ,31899,2041,A5,meat
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1,0.08741167027953245,0.045255356492958095,0.05341865803126151,-0.0012888284466654187,0.17611216900573032,2HRX9P6HKXA8V,13271,1964,A5,meat
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:gendermale,-0.027074688341317602,0.02757867373007724,0.32623507988636746,-0.08112888885226899,0.026979512169633787,2HRX9P6HKXA8V,13271,1964,A5,meat
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1,-0.1892780092234567,0.18762538328702413,0.3130666685144034,-0.557023760466024,0.17846774201911061,L69HYJ4Y3TR91,4965,472,A5,meat
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:gendermale,-0.10338521066178687,0.0966756017769042,0.2848879665771788,-0.29286939014451907,0.08609896882094535,L69HYJ4Y3TR91,4965,472,A5,meat
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1,0.00398916433851039,0.07966075047121862,0.9600610987316137,-0.1521459065850781,0.1601242352620989,ED5J990H5VAZT,16649,1359,A5,meat
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:gendermale,-0.149197078293975,0.07432899500272191,0.04472275936959861,-0.29488190849930995,-0.0035122480886400353,ED5J990H5VAZT,16649,1359,A5,meat
pooled,any_exposureTRUE:gendermale,-0.05893270984373504,0.04509022752493116,0.1912143499574575,-0.1473095557926001,0.029444136105130025,pooled,66784,5836,A5,meat
