model_id,term,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1,0.008750082363035606,0.0121886092295361,0.47282502907598833,-0.015139591726855148,0.03263975645292636,SRQS8F7JWA9MZ,31899,2041,A5,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2,-0.026967783606614584,0.011630010795861906,0.020405348798434437,-0.04976260476650392,-0.004172962446725249,SRQS8F7JWA9MZ,31899,2041,A5,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1:gendermale,0.0020896892947843636,0.014671610620216194,0.8867397324366713,-0.026666667520839377,0.0308460461104081,SRQS8F7JWA9MZ,31899,2041,A5,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2:gendermale,0.030299210657905903,0.014974869447762164,0.04303839240726947,9.484665402920631e-4,0.059649954775519744,SRQS8F7JWA9MZ,31899,2041,A5,nonvegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1,0.003556018886802002,0.02063798930715799,0.863198129321303,-0.03689444015522766,0.04400647792883166,2HRX9P6HKXA8V,13271,1964,A5,nonvegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:gendermale,-0.01031977453972551,0.012293974042643412,0.4012351772074342,-0.0344159636633066,0.013776414583855577,2HRX9P6HKXA8V,13271,1964,A5,nonvegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1,0.013866383132054579,0.0477065097962213,0.7713112225107599,-0.07963837606853916,0.10737114233264833,L69HYJ4Y3TR91,4965,472,A5,nonvegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:gendermale,0.013325005986755761,0.045213119300713825,0.7682112396898431,-0.07529270784264333,0.10194271981615485,L69HYJ4Y3TR91,4965,472,A5,nonvegan
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1,-0.011572742485749497,0.02226712265424873,0.6032564441477739,-0.05521630288807701,0.03207081791657801,ED5J990H5VAZT,16649,1359,A5,nonvegan
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:gendermale,-0.011249256389642342,0.018959976296214768,0.5529697249245946,-0.048410809930223286,0.0259122971509386,ED5J990H5VAZT,16649,1359,A5,nonvegan
pooled,any_exposureTRUE:gendermale,-2.4291355388168095e-4,0.008998130875978597,0.9784629232772488,-0.01787925007079973,0.017393422963036368,pooled,66784,5836,A5,nonvegan
