estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
13.282615054016366,25.676624049121905,0.5173037946345835,0.6049441055507172,exposure_L69HYJ4Y3TR91_1,-37.04356808226257,63.6087981902953,L69HYJ4Y3TR91,4965,472,A6,breakfast
-8.958356360253896e-4,8.269271708861298e-4,-1.0833307545879982,0.27866163910126035,vegan_price_real,-0.002516612890962204,7.249416189114248e-4,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.0023561073254401554,0.0014200709965305383,1.6591475575492383,0.0970860620832954,vegetarian_price_real,-4.2723182775969946e-4,0.00513944647864001,L69HYJ4Y3TR91,4965,472,A6,breakfast
4.327245665064215e-4,7.807563603795528e-4,0.554237645013944,0.5794162181494427,meat_price_real,-0.0010975578998375017,0.001963007032850345,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.3666690497646832,0.10662768255854495,3.4387791328331647,5.843437706973828e-4,weekend,0.1576787919499351,0.5756593075794313,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.2476547567461914,0.20301555481874253,1.2198806981430752,0.22251010388843817,holiday_window,-0.15025573069854395,0.6455652441909268,L69HYJ4Y3TR91,4965,472,A6,breakfast
-0.08863750648655251,0.2280228503411906,-0.3887220353307759,0.6974817800412978,month_cat2,-0.5355622931552861,0.3582872801821811,L69HYJ4Y3TR91,4965,472,A6,breakfast
-0.4744003066916614,0.41303665500690756,-1.1485670846422278,0.2507345360872295,month_cat3,-1.2839521505052003,0.33515153712187745,L69HYJ4Y3TR91,4965,472,A6,breakfast
-0.4929835361842244,0.601650291899949,-0.8193855181677611,0.4125664947455907,month_cat4,-1.6722181083081242,0.6862510359396755,L69HYJ4Y3TR91,4965,472,A6,breakfast
-0.7654386757488554,0.7042159317538653,-1.0869374594274137,0.2770644499607394,month_cat5,-2.145701901986431,0.6148245504887206,L69HYJ4Y3TR91,4965,472,A6,breakfast
-1.0813798152075416,0.8661081618819186,-1.2485505422993255,0.21182951135019126,month_cat6,-2.778951812496102,0.616192182081019,L69HYJ4Y3TR91,4965,472,A6,breakfast
-13.211669975050459,0.5704188931723287,-23.16134709629804,1.117293946002156e-118,month_cat8,-14.329691005668224,-12.093648944432694,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.5968611716276394,0.5048245262983656,1.182314132009659,0.23708108021165167,month_cat9,-0.3925948999171571,1.586317243172436,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.6284889331600194,0.39247581835726586,1.6013443472532969,0.10930067176224188,month_cat10,-0.14076367082022168,1.3977415371402606,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.2730067967026438,0.25304937308960845,1.0788677062083378,0.28064670684264803,month_cat11,-0.22296997455298878,0.7689835679582764,L69HYJ4Y3TR91,4965,472,A6,breakfast
-0.056614296548525664,0.18260041780225297,-0.31004472623844753,0.7565269444025502,month_cat12,-0.4145111154409415,0.30128252234389014,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.010877914377416429,0.004549865619629625,2.3908210234793548,0.016810745520169132,date_code,0.0019601777629423642,0.01979565099189049,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.1769412969270044,0.11521461850506576,1.5357538758783864,0.12459875598141058,day_of_week_cat1,-0.04887935534292448,0.40276194919693326,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.21001848211641821,0.11869298479684805,1.7694262426366698,0.07682276942779745,day_of_week_cat2,-0.022619768085403946,0.4426567323182404,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.13868414749778038,0.1280195735345392,1.0833042453493562,0.27867340156644127,day_of_week_cat3,-0.11223421662991642,0.3896025116254772,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.14565008441191565,0.09406310088174466,1.548429544067718,0.12151891268764105,day_of_week_cat4,-0.03871359331630389,0.3300137621401352,L69HYJ4Y3TR91,4965,472,A6,breakfast
0.004900537620119557,0.08661732676867412,0.056576874430762016,0.9548822565616445,day_of_week_cat5,-0.16486942284648173,0.17467049808672083,L69HYJ4Y3TR91,4965,472,A6,breakfast
-1.3000342061416514e-4,9.472591409953084e-5,-1.3724166385722851,0.1699337733668704,breakfast_price_real,-3.1566621224924556e-4,5.56593710209153e-5,L69HYJ4Y3TR91,4965,472,A6,breakfast
-0.004058200714346969,0.007694558164478424,-0.5274117925420939,0.5979076561105984,exposure_L69HYJ4Y3TR91_1:date_code,-0.01913953471672468,0.011023133288030743,L69HYJ4Y3TR91,4965,472,A6,breakfast
-0.22007897205673688,0.1298820540111878,-1.694452507178395,0.09017932915525564,exposure_L69HYJ4Y3TR91_1:gendermale,-0.47464779791866496,0.034489853805191206,L69HYJ4Y3TR91,4965,472,A6,breakfast
