location_id,cross_over_date,first_plant_based_mention,batch,promo_name
SRQS8F7JWA9MZ,2020-09-09 00:00:00-04:00,Impossible,1.0,Impossible
2HRX9P6HKXA8V,2019-06-05 03:00:00-04:00,Beyond Sausage,1.0,Beyond Sausage
JHDN7CF1C03X5,2019-09-06 01:00:00-04:00,Beyond Burger,1.0,Beyond Burger
L69HYJ4Y3TR91,2023-01-10 00:00:00-05:00,Impossible Sausage Egg And Cheese,1.0,Impossible Sausage
ED5J990H5VAZT,2021-10-01 01:00:00-04:00,Vegan Bacon,2.0,"['Vegan', 'Bacon']"
W8T41JZK0ZMEP,2021-03-06 00:00:00-05:00,Vegan Breakfast Sandwich,1.0,Vegan Breakfast Sandwich
EMBVNVD207CC6,2020-09-03 00:00:00-04:00,Vegan,1.0,Vegan
AQD04SM0J92WA,2019-07-12 03:00:00-04:00,Vegan Queso Fresco,1.0,"['Vegan', 'Queso']"
C0BE4NDSW26QN,2019-09-03 00:00:00-04:00,Beyond Burger,1.0,Beyond
75WYSXR9QBK5M,2023-01-31 05:00:00-05:00,Kimchi Veggie Burger,1.0,Kimchee Veggie Burger
V3Q26BHF3SE2H,2021-03-24 01:00:00-04:00,Beyond Burger,1.0,Beyond Sausage
LBZEEFSBJNB3Z,2022-02-03 03:00:00-05:00,Vegan Wake And Fake,1.0,Wake And Fake
LBMCPAYT7W36V,2021-12-04 00:00:00-05:00,Vegan Sausage Egg And Cheese,1.0,"['Vegan Sausage', 'Impossible Sausage']"
SAFK7ND1HR6XS,2019-09-11 03:00:00-04:00,Chile Verde Jackfruits Taco,1.0,Verde Jackfruit
CB2KHY1C2G9PT,2020-07-03 00:00:00-04:00,Beyond Meat Patty Melt,1.0,Beyond Meat Patty Melt
L3XS7WSJ4AJA3,2022-06-02 19:00:00-04:00,Vegan Elvis,1.0,Vegan Elvis
S8MT0YGD2KTN9,2019-03-11 00:00:00-04:00,Vegan Burger,1.0,Vegan Pattie
LFZFT3VASXPED,2022-04-07 10:00:00-04:00,Better Than Beyond,1.0,Better Than Beyond
1SQPTEGYPH0GA,2020-06-14 02:00:00-04:00,Impossible Meatball,1.0,Impossible
9XKJD8DQTH559,2021-07-28 00:00:00-04:00,Impossible Beef,1.0,Impossible
LQ5EH4BKGV61T,2023-01-06 00:00:00-05:00,Beyond Burger,1.0,Beyond Burger
78AY09MVJVTYE,2015-08-09 00:00:00-04:00,Veggie Sausage,1.0,Veggie Sausage
1G5AJ17XCH2A8,2021-01-12 01:00:00-05:00,Beyond Burger,2.0,Beyond
3AXDVZJYN9DRS,2016-11-23 19:00:00-05:00,Vegan Cheese,1.0,Vegan
MS8R16DY0JQAM,2022-04-05 03:00:00-04:00,Beyond Burger,1.0,Beyond
N0PC58FB2XAZ3,2022-08-09 01:00:00-04:00,Arkie Vegan,1.0,Arkie Vegan
ADPFRN3QZRCXK,2021-07-08 03:00:00-04:00,Impossible Orbit Burger,2.0,Impossible Orbit
WJA3YCD4QBWRX,2020-08-05 00:00:00-04:00,Vegan Burger,1.0,Vegan Burger
0RJH3FFPYBPEY,2018-03-09 00:00:00-05:00,Impossible Burger,1.0,Impossible Burger
LZ5MR1TS37E7W,2023-04-03 03:00:00-04:00,Impossible Burger,1.0,Impossible Burger
VLZX7K2M9QD4T,2021-10-18 00:00:00+00:00,Black Sheep,,Black Sheep
