"date","datatype","station","attributes","value"
"2013-01-01T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",117
"2013-01-01T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",44
"2013-01-02T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",111
"2013-01-02T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",28
"2013-01-03T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",150
"2013-01-03T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",22
"2013-01-03T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",78
"2013-01-04T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",144
"2013-01-04T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",44
"2013-01-05T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",156
"2013-01-05T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",44
"2013-01-06T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",117
"2013-01-06T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",56
"2013-01-07T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",97
"2013-01-07T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",100
"2013-01-07T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",44
"2013-01-07T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",78
"2013-01-08T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-08T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",150
"2013-01-08T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",61
"2013-01-09T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-09T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",172
"2013-01-09T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",61
"2013-01-09T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",94
"2013-01-10T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-10T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",117
"2013-01-10T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",28
"2013-01-10T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",56
"2013-01-11T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-11T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",111
"2013-01-11T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",33
"2013-01-11T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",67
"2013-01-12T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-12T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",111
"2013-01-12T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",6
"2013-01-13T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-13T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",111
"2013-01-13T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",0
"2013-01-14T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-14T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",111
"2013-01-14T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",0
