"date","datatype","station","attributes","value"
"2013-01-01T00:00:00","ADPT","GHCND:USW00012839",",,W,",156
"2013-01-01T00:00:00","ASLP","GHCND:USW00012839",",,W,",10203
"2013-01-01T00:00:00","ASTP","GHCND:USW00012839",",,W,",10190
"2013-01-01T00:00:00","AWBT","GHCND:USW00012839",",,W,",183
"2013-01-01T00:00:00","AWND","GHCND:USW00012839",",,X,",31
"2013-01-01T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-01T00:00:00","RHAV","GHCND:USW00012839",",,W,",65
"2013-01-01T00:00:00","RHMN","GHCND:USW00012839",",,W,",54
"2013-01-01T00:00:00","RHMX","GHCND:USW00012839",",,W,",81
"2013-01-01T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",261
"2013-01-01T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",194
"2013-01-01T00:00:00","WDF2","GHCND:USW00012839",",,X,",130
"2013-01-01T00:00:00","WDF5","GHCND:USW00012839",",,X,",180
"2013-01-01T00:00:00","WSF2","GHCND:USW00012839",",,X,",76
"2013-01-01T00:00:00","WSF5","GHCND:USW00012839",",,X,",125
"2013-01-02T00:00:00","ADPT","GHCND:USW00012839",",,W,",183
"2013-01-02T00:00:00","ASLP","GHCND:USW00012839",",,W,",10179
"2013-01-02T00:00:00","ASTP","GHCND:USW00012839",",,W,",10166
"2013-01-02T00:00:00","AWBT","GHCND:USW00012839",",,W,",200
"2013-01-02T00:00:00","AWND","GHCND:USW00012839",",,X,",17
"2013-01-02T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-02T00:00:00","RHAV","GHCND:USW00012839",",,W,",76
"2013-01-02T00:00:00","RHMN","GHCND:USW00012839",",,W,",60
"2013-01-02T00:00:00","RHMX","GHCND:USW00012839",",,W,",87
"2013-01-02T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",272
"2013-01-02T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",183
"2013-01-02T00:00:00","WDF2","GHCND:USW00012839",",,X,",140
"2013-01-02T00:00:00","WDF5","GHCND:USW00012839",",,X,",330
"2013-01-02T00:00:00","WSF2","GHCND:USW00012839",",,X,",58
"2013-01-02T00:00:00","WSF5","GHCND:USW00012839",",,X,",94
"2013-01-03T00:00:00","ADPT","GHCND:USW00012839",",,W,",189
"2013-01-03T00:00:00","ASLP","GHCND:USW00012839",",,W,",10190
"2013-01-03T00:00:00","ASTP","GHCND:USW00012839",",,W,",10173
"2013-01-03T00:00:00","AWBT","GHCND:USW00012839",",,W,",206
"2013-01-03T00:00:00","AWND","GHCND:USW00012839",",,X,",20
"2013-01-03T00:00:00","PRCP","GHCND:USW00012839","T,,X,2400",0
"2013-01-03T00:00:00","RHAV","GHCND:USW00012839",",,W,",75
"2013-01-03T00:00:00","RHMN","GHCND:USW00012839",",,W,",53
"2013-01-03T00:00:00","RHMX","GHCND:USW00012839",",,W,",90
"2013-01-03T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",278
"2013-01-03T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",206
"2013-01-03T00:00:00","WDF2","GHCND:USW00012839",",,X,",130
"2013-01-03T00:00:00","WDF5","GHCND:USW00012839",",,X,",120
"2013-01-03T00:00:00","WSF2","GHCND:USW00012839",",,X,",63
"2013-01-03T00:00:00","WSF5","GHCND:USW00012839",",,X,",103
"2013-01-03T00:00:00","WT16","GHCND:USW00012839",",,X,",1
"2013-01-04T00:00:00","ADPT","GHCND:USW00012839",",,W,",200
"2013-01-04T00:00:00","ASLP","GHCND:USW00012839",",,W,",10217
"2013-01-04T00:00:00","ASTP","GHCND:USW00012839",",,W,",10200
"2013-01-04T00:00:00","AWBT","GHCND:USW00012839",",,W,",211
"2013-01-04T00:00:00","AWND","GHCND:USW00012839",",,X,",13
"2013-01-04T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",3
"2013-01-04T00:00:00","RHAV","GHCND:USW00012839",",,W,",81
"2013-01-04T00:00:00","RHMN","GHCND:USW00012839",",,W,",60
"2013-01-04T00:00:00","RHMX","GHCND:USW00012839",",,W,",96
"2013-01-04T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",283
"2013-01-04T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",189
"2013-01-04T00:00:00","WDF2","GHCND:USW00012839",",,X,",130
"2013-01-04T00:00:00","WDF5","GHCND:USW00012839",",,X,",130
"2013-01-04T00:00:00","WSF2","GHCND:USW00012839",",,X,",40
"2013-01-04T00:00:00","WSF5","GHCND:USW00012839",",,X,",63
"2013-01-04T00:00:00","WT01","GHCND:USW00012839",",,W,",1
"2013-01-04T00:00:00","WT16","GHCND:USW00012839",",,X,",1
"2013-01-05T00:00:00","ADPT","GHCND:USW00012839",",,W,",194
"2013-01-05T00:00:00","ASLP","GHCND:USW00012839",",,W,",10227
"2013-01-05T00:00:00","ASTP","GHCND:USW00012839",",,W,",10217
"2013-01-05T00:00:00","AWBT","GHCND:USW00012839",",,W,",211
"2013-01-05T00:00:00","AWND","GHCND:USW00012839",",,X,",26
"2013-01-05T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-05T00:00:00","RHAV","GHCND:USW00012839",",,W,",81
"2013-01-05T00:00:00","RHMN","GHCND:USW00012839",",,W,",64
"2013-01-05T00:00:00","RHMX","GHCND:USW00012839",",,W,",93
"2013-01-05T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",278
"2013-01-05T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",200
"2013-01-05T00:00:00","WDF2","GHCND:USW00012839",",,X,",90
"2013-01-05T00:00:00","WDF5","GHCND:USW00012839",",,X,",100
"2013-01-05T00:00:00","WSF2","GHCND:USW00012839",",,X,",63
"2013-01-05T00:00:00","WSF5","GHCND:USW00012839",",,X,",80
"2013-01-05T00:00:00","WT13","GHCND:USW00012839",",,X,",1
"2013-01-06T00:00:00","ADPT","GHCND:USW00012839",",,W,",206
"2013-01-06T00:00:00","ASLP","GHCND:USW00012839",",,W,",10203
"2013-01-06T00:00:00","ASTP","GHCND:USW00012839",",,W,",10193
"2013-01-06T00:00:00","AWBT","GHCND:USW00012839",",,W,",217
"2013-01-06T00:00:00","AWND","GHCND:USW00012839",",,X,",33
"2013-01-06T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",13
"2013-01-06T00:00:00","RHAV","GHCND:USW00012839",",,W,",81
"2013-01-06T00:00:00","RHMN","GHCND:USW00012839",",,W,",69
"2013-01-06T00:00:00","RHMX","GHCND:USW00012839",",,W,",90
"2013-01-06T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",278
"2013-01-06T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",217
"2013-01-06T00:00:00","WDF2","GHCND:USW00012839",",,X,",130
"2013-01-06T00:00:00","WDF5","GHCND:USW00012839",",,X,",170
"2013-01-06T00:00:00","WSF2","GHCND:USW00012839",",,X,",76
"2013-01-06T00:00:00","WSF5","GHCND:USW00012839",",,X,",107
"2013-01-06T00:00:00","WT01","GHCND:USW00012839",",,W,",1
"2013-01-06T00:00:00","WT13","GHCND:USW00012839",",,X,",1
"2013-01-06T00:00:00","WT16","GHCND:USW00012839",",,X,",1
"2013-01-07T00:00:00","ADPT","GHCND:USW00012839",",,W,",194
"2013-01-07T00:00:00","ASLP","GHCND:USW00012839",",,W,",10200
"2013-01-07T00:00:00","ASTP","GHCND:USW00012839",",,W,",10186
"2013-01-07T00:00:00","AWBT","GHCND:USW00012839",",,W,",211
"2013-01-07T00:00:00","AWND","GHCND:USW00012839",",,X,",21
"2013-01-07T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-07T00:00:00","RHAV","GHCND:USW00012839",",,W,",80
"2013-01-07T00:00:00","RHMN","GHCND:USW00012839",",,W,",64
"2013-01-07T00:00:00","RHMX","GHCND:USW00012839",",,W,",93
"2013-01-07T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",272
"2013-01-07T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",200
