Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2020-01-01,2020,01,01,NA,1,NA,-1.2,NA,-0.1,NA,18.1,NA,0,NA,NA,NA,NA,NA,0.2,NA,1,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-02,2020,01,02,NA,6.2,NA,0.9,NA,3.6,NA,14.4,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-03,2020,01,03,NA,7.7,NA,3.6,NA,5.7,NA,12.3,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-04,2020,01,04,NA,3.6,NA,0.3,NA,2,NA,16,NA,0,NA,NA,NA,NA,NA,1.5,NA,2,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-05,2020,01,05,NA,1.9,NA,-1.2,NA,0.3,NA,17.7,NA,0,NA,NA,NA,NA,NA,5.6,NA,2,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-06,2020,01,06,NA,2.9,NA,-1.7,NA,0.6,NA,17.4,NA,0,NA,NA,NA,NA,NA,0.2,NA,7,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-07,2020,01,07,NA,3.9,NA,-3,NA,0.4,NA,17.6,NA,0,NA,NA,NA,NA,NA,0,NA,4,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-08,2020,01,08,NA,0.7,NA,-7.9,NA,-3.6,NA,21.6,NA,0,NA,NA,NA,NA,NA,1.6,NA,5,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-09,2020,01,09,NA,3.4,NA,-9.8,NA,-3.2,NA,21.2,NA,0,NA,NA,NA,NA,NA,0,NA,3,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-10,2020,01,10,NA,7.6,NA,3.3,NA,5.4,NA,12.6,NA,0,NA,NA,NA,NA,NA,1.1,NA,2,NA,NA,M,NA,M
