restaurant_id,analysis,outcome,exposure,n_obs,n_exposed,n_unexposed,distinct_exposure,is_binary,missing_unexposed,missing_exposed,only_one_value,exposure_values
2HRX9P6HKXA8V,proportion_targeted,breakfast_p,breakfast_dishes_presence,807,807,0,1,FALSE,TRUE,FALSE,TRUE,1
ED5J990H5VAZT,proportion_targeted,breakfast_p,breakfast_dishes_presence,2618,2152,466,2,TRUE,FALSE,FALSE,FALSE,"0, 1"
JHDN7CF1C03X5,proportion_targeted,breakfast_p,breakfast_dishes_presence,1527,1525,2,2,TRUE,FALSE,FALSE,FALSE,"0, 1"
L69HYJ4Y3TR91,proportion_targeted,breakfast_p,breakfast_dishes_presence,318,317,1,2,TRUE,FALSE,FALSE,FALSE,"0, 1"
SRQS8F7JWA9MZ,proportion_targeted,breakfast_p,breakfast_dishes_presence,1507,1472,35,2,TRUE,FALSE,FALSE,FALSE,"0, 1"
W8T41JZK0ZMEP,proportion_targeted,breakfast_p,breakfast_dishes_presence,1201,814,387,2,TRUE,FALSE,FALSE,FALSE,"0, 1"
JHDN7CF1C03X5,proportion_targeted,chicken_p,chicken_dishes_presence,1527,1527,0,1,FALSE,TRUE,FALSE,TRUE,1
W8T41JZK0ZMEP,proportion_targeted,chicken_p,chicken_dishes_presence,1201,1201,0,1,FALSE,TRUE,FALSE,TRUE,1
ED5J990H5VAZT,proportion_targeted,dairy_p,dairy_dishes_presence,2618,2563,55,2,TRUE,FALSE,FALSE,FALSE,"0, 1"
JHDN7CF1C03X5,proportion_targeted,dairy_p,dairy_dishes_presence,1527,1527,0,1,FALSE,TRUE,FALSE,TRUE,1
W8T41JZK0ZMEP,proportion_targeted,dairy_p,dairy_dishes_presence,1201,1201,0,1,FALSE,TRUE,FALSE,TRUE,1
ED5J990H5VAZT,proportion_targeted,egg_p,egg_dishes_presence,2618,2563,55,2,TRUE,FALSE,FALSE,FALSE,"0, 1"
W8T41JZK0ZMEP,proportion_targeted,egg_p,egg_dishes_presence,1201,1201,0,1,FALSE,TRUE,FALSE,TRUE,1
JHDN7CF1C03X5,proportion_targeted,untextured_p,untextured_dishes_presence,1527,1517,10,2,TRUE,FALSE,FALSE,FALSE,"0, 1"
SRQS8F7JWA9MZ,proportion_targeted,untextured_p,untextured_dishes_presence,1507,1507,0,1,FALSE,TRUE,FALSE,TRUE,1
W8T41JZK0ZMEP,proportion_targeted,untextured_p,untextured_dishes_presence,1201,1201,0,1,FALSE,TRUE,FALSE,TRUE,1
