analysis,outcome,exposure,exposure_column,distinct_values,incorrectly_standardized,standardization_issue,very_sparse,high_zero_prop,prop_exposure_zero,potential_separation,prop_outcome_zero_when_exp_zero,data_quality_issue,data_quality_warning
proportion,chicken_fish,mpbamod_dishes_count,exposure_2HRX9P6HKXA8V_1,2,FALSE,OK,TRUE,FALSE,0.8988468287791427,FALSE,0.6073072095941988,TRUE,Very sparse (≤2 values)
proportion,chicken_fish,mpbamod_dishes_count,exposure_ED5J990H5VAZT_1,6,FALSE,OK,FALSE,TRUE,0.9316871396339935,FALSE,0.5649132248082873,TRUE,High zeros (93.2%)
proportion,chicken_fish,mpbamod_dishes_count,exposure_L69HYJ4Y3TR91_1,3,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.561656050955414,TRUE,High zeros (98.4%)
proportion,chicken_fish,mpbamod_dishes_prop,exposure_L69HYJ4Y3TR91_1,8,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.561656050955414,TRUE,High zeros (98.4%)
proportion,chicken_fish,vegan_dishes_count,exposure_L69HYJ4Y3TR91_1,7,FALSE,OK,FALSE,TRUE,0.9601403860616696,FALSE,0.5590078328981724,TRUE,High zeros (96.0%)
proportion,chicken_fish,vegan_dishes_count,exposure_SRQS8F7JWA9MZ_1,2,FALSE,OK,TRUE,FALSE,0.8312860366006518,FALSE,0.4692400482509047,TRUE,Very sparse (≤2 values)
proportion,chicken_fish,vegan_dishes_prop,exposure_L69HYJ4Y3TR91_1,20,TRUE,"Values outside [0,1]: min=-1.50, max=1.68",FALSE,TRUE,0.9601403860616696,FALSE,0.5590078328981724,TRUE,High zeros (96.0%); Low variation
proportion,chicken_fish,vegetarian_dishes_count,exposure_L69HYJ4Y3TR91_1,13,TRUE,Has decimals (should be integers),FALSE,TRUE,0.9601403860616696,FALSE,0.5590078328981724,TRUE,High zeros (96.0%); Low variation
proportion,chicken_fish,vegetarian_dishes_prop,exposure_L69HYJ4Y3TR91_1,23,TRUE,"Values outside [0,1]: min=-2.23, max=4.73",FALSE,TRUE,0.9601403860616696,FALSE,0.5590078328981724,TRUE,High zeros (96.0%); Low variation
proportion,meat,mpbamod_dishes_count,exposure_2HRX9P6HKXA8V_1,2,FALSE,OK,TRUE,FALSE,0.8988468287791427,FALSE,0.18853716357551248,TRUE,Very sparse (≤2 values)
proportion,meat,mpbamod_dishes_count,exposure_ED5J990H5VAZT_1,6,FALSE,OK,FALSE,TRUE,0.9316871396339935,FALSE,0.1727431723395668,TRUE,High zeros (93.2%)
proportion,meat,mpbamod_dishes_count,exposure_L69HYJ4Y3TR91_1,3,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.17834394904458598,TRUE,High zeros (98.4%)
proportion,meat,mpbamod_dishes_prop,exposure_L69HYJ4Y3TR91_1,8,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.17834394904458598,TRUE,High zeros (98.4%)
proportion,meat,vegan_dishes_count,exposure_L69HYJ4Y3TR91_1,7,FALSE,OK,FALSE,TRUE,0.9601403860616696,FALSE,0.18237597911227155,TRUE,High zeros (96.0%)
proportion,meat,vegan_dishes_count,exposure_SRQS8F7JWA9MZ_1,2,FALSE,OK,TRUE,FALSE,0.8312860366006518,FALSE,0.2094390832328106,TRUE,Very sparse (≤2 values)
proportion,meat,vegan_dishes_prop,exposure_L69HYJ4Y3TR91_1,20,TRUE,"Values outside [0,1]: min=-1.50, max=1.68",FALSE,TRUE,0.9601403860616696,FALSE,0.18237597911227155,TRUE,High zeros (96.0%); Low variation
proportion,meat,vegetarian_dishes_count,exposure_L69HYJ4Y3TR91_1,13,TRUE,Has decimals (should be integers),FALSE,TRUE,0.9601403860616696,FALSE,0.18237597911227155,TRUE,High zeros (96.0%); Low variation
proportion,meat,vegetarian_dishes_prop,exposure_L69HYJ4Y3TR91_1,23,TRUE,"Values outside [0,1]: min=-2.23, max=4.73",FALSE,TRUE,0.9601403860616696,FALSE,0.18237597911227155,TRUE,High zeros (96.0%); Low variation
proportion,nonvegan,mpbamod_dishes_count,exposure_2HRX9P6HKXA8V_1,2,FALSE,OK,TRUE,FALSE,0.8988468287791427,FALSE,0.11839352949379445,TRUE,Very sparse (≤2 values)
proportion,nonvegan,mpbamod_dishes_count,exposure_ED5J990H5VAZT_1,6,FALSE,OK,FALSE,TRUE,0.9316871396339935,FALSE,0.11502757971209471,TRUE,High zeros (93.2%)
proportion,nonvegan,mpbamod_dishes_count,exposure_L69HYJ4Y3TR91_1,3,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.11426751592356688,TRUE,High zeros (98.4%)
proportion,nonvegan,mpbamod_dishes_prop,exposure_L69HYJ4Y3TR91_1,8,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.11426751592356688,TRUE,High zeros (98.4%)
proportion,nonvegan,vegan_dishes_count,exposure_L69HYJ4Y3TR91_1,7,FALSE,OK,FALSE,TRUE,0.9601403860616696,FALSE,0.11684073107049608,TRUE,High zeros (96.0%)
proportion,nonvegan,vegan_dishes_count,exposure_SRQS8F7JWA9MZ_1,2,FALSE,OK,TRUE,FALSE,0.8312860366006518,FALSE,0.1335946924004825,TRUE,Very sparse (≤2 values)
proportion,nonvegan,vegan_dishes_prop,exposure_L69HYJ4Y3TR91_1,20,TRUE,"Values outside [0,1]: min=-1.50, max=1.68",FALSE,TRUE,0.9601403860616696,FALSE,0.11684073107049608,TRUE,High zeros (96.0%); Low variation
proportion,nonvegan,vegetarian_dishes_count,exposure_L69HYJ4Y3TR91_1,13,TRUE,Has decimals (should be integers),FALSE,TRUE,0.9601403860616696,FALSE,0.11684073107049608,TRUE,High zeros (96.0%); Low variation
proportion,nonvegan,vegetarian_dishes_prop,exposure_L69HYJ4Y3TR91_1,23,TRUE,"Values outside [0,1]: min=-2.23, max=4.73",FALSE,TRUE,0.9601403860616696,FALSE,0.11684073107049608,TRUE,High zeros (96.0%); Low variation
proportion,total,mpbamod_dishes_count,exposure_2HRX9P6HKXA8V_1,2,FALSE,OK,TRUE,FALSE,0.8988468287791427,FALSE,0.10918979221865849,TRUE,Very sparse (≤2 values)
proportion,total,mpbamod_dishes_count,exposure_ED5J990H5VAZT_1,6,FALSE,OK,FALSE,TRUE,0.9316871396339935,FALSE,0.1061482577694067,TRUE,High zeros (93.2%)
proportion,total,mpbamod_dishes_count,exposure_L69HYJ4Y3TR91_1,3,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.10585987261146497,TRUE,High zeros (98.4%)
proportion,total,mpbamod_dishes_prop,exposure_L69HYJ4Y3TR91_1,8,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.10585987261146497,TRUE,High zeros (98.4%)
proportion,total,vegan_dishes_count,exposure_L69HYJ4Y3TR91_1,7,FALSE,OK,FALSE,TRUE,0.9601403860616696,FALSE,0.10822454308093994,TRUE,High zeros (96.0%)
proportion,total,vegan_dishes_count,exposure_SRQS8F7JWA9MZ_1,2,FALSE,OK,TRUE,FALSE,0.8312860366006518,FALSE,0.12364294330518698,TRUE,Very sparse (≤2 values)
