restaurant_id,analysis,outcome,exposure,issue_summary,separation,quasi_separation,separation_type,n_obs,n_exposed,n_unexposed,distinct_outcome_unexposed,distinct_outcome_exposed,very_sparse_exposure,very_sparse_outcome,distinct_values_exposure,distinct_values_outcome,correlation,mean_outcome_unexposed,mean_outcome_exposed,outcome_pct_zero_when_exp0,prop_zero_exposure,prop_zero_outcome,high_zero_exposure,high_zero_outcome,imbalanced,small_sample,problematic,exposure_column
2HRX9P6HKXA8V,proportion,chicken_fish,mpbamod_dishes_count,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,807,807,0,0,67,TRUE,FALSE,1,67,NA,NA,16.79,NA,0,0.128,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,chicken_fish,mpbamod_dishes_count,OK,FALSE,FALSE,OK,2618,545,2073,8,14,FALSE,FALSE,6,14,0.46,0.19,1.57,89.9,0.792,0.811,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,chicken_fish,mpbamod_dishes_count,Imbal(46%),FALSE,FALSE,OK,1527,703,0,0,50,FALSE,FALSE,18,56,-0.063,NA,18.27,NA,0,0.215,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,chicken_fish,mpbamod_dishes_count,OK,FALSE,FALSE,OK,318,128,190,6,8,FALSE,FALSE,3,8,0.358,0.48,1.32,66.8,0.597,0.553,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,chicken_fish,mpbamod_dishes_count,SEPARATION | Out_sparse(1),TRUE,FALSE,No variation in outcome for either exposure level (perfect separation),1507,1051,456,1,1,FALSE,TRUE,3,1,NA,0,0,100,0.303,1,FALSE,TRUE,FALSE,FALSE,TRUE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,chicken_fish,mpbamod_dishes_count,Imbal(56%),FALSE,FALSE,OK,1201,667,0,0,27,FALSE,FALSE,18,27,0.046,NA,7.55,NA,0,0.185,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,chicken_fish,mpbamod_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,67,FALSE,FALSE,5,67,-0.209,NA,16.79,NA,0,0.128,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,chicken_fish,mpbamod_dishes_prop,Imbal(21%),FALSE,FALSE,OK,2618,545,0,0,14,FALSE,FALSE,14,14,0.432,NA,1.57,NA,0,0.811,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,chicken_fish,mpbamod_dishes_prop,Imbal(62%),FALSE,FALSE,OK,1527,952,0,0,51,FALSE,FALSE,51,56,-0.117,NA,18.47,NA,0,0.215,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,chicken_fish,mpbamod_dishes_prop,OK,FALSE,FALSE,OK,318,128,190,6,8,FALSE,FALSE,8,8,0.344,0.48,1.32,66.8,0.597,0.553,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,chicken_fish,mpbamod_dishes_prop,SEPARATION | Out_sparse(1),TRUE,FALSE,No variation in outcome for either exposure level (perfect separation),1507,1051,456,1,1,FALSE,TRUE,6,1,NA,0,0,100,0.303,1,FALSE,TRUE,FALSE,FALSE,TRUE,exposure_SRQS8F7JWA9MZ_1
