outcome,exposure_group,exposure_type,mean,q5,q95,rhat
chicken_fish,mpbamod,Count,1.0313314079922524,0.9055163957278602,1.198057805262027,1.0103555292095219
chicken_fish,mpbamod,Proportion,0.8348745287667697,0.5291434562765096,1.3224630568087066,1.0020798810868754
chicken_fish,vegan,Count,1.1919197094450453,0.8832628449710513,1.5655815462254212,1.0312009483601763
chicken_fish,vegan,Proportion,1.0810937729850827,0.7488546298121861,1.50418910149351,1.0222835183809937
chicken_fish,vegetarian,Count,1.2138882168501206,0.7815448039920279,1.7194244281050668,1.0004088092648649
chicken_fish,vegetarian,Proportion,0.8334474710994008,0.47423170386713925,1.4922341851188863,1.024860369233907
meat,mpbamod,Count,1.0013931363282955,0.949254143362104,1.0646998622933894,1.0020330743523618
meat,mpbamod,Proportion,0.9640630510251152,0.7830486907960685,1.2296175671228187,1.000026708504304
meat,vegan,Count,1.1540507495072996,0.8507461849062087,1.5227393244415275,1.004832215490452
meat,vegan,Proportion,1.3685872621177944,0.6914968729592401,2.669591728377273,1.0036259135973935
meat,vegetarian,Count,1.0838462582445123,0.8988758966817239,1.3080288377481022,1.0010460908021983
meat,vegetarian,Proportion,1.0054082060754412,0.6980305215686873,1.487564918240555,1.0021351687917333
nonvegan,mpbamod,Count,1.027533492313314,0.9799118160389637,1.0861276488696079,1.0042100432067587
nonvegan,mpbamod,Proportion,0.9666274996593021,0.7794630451585289,1.2684860465041872,1.0057052655045462
nonvegan,vegan,Count,1.2372916885305865,0.96429717409001,1.5832426435814873,1.0018615677413762
nonvegan,vegan,Proportion,1.3605838833750714,0.7145409646112,2.6374642652763187,1.0004674098529736
nonvegan,vegetarian,Count,1.1526412466856482,0.9242388454469284,1.4372846876981473,1.0045939329145208
nonvegan,vegetarian,Proportion,1.0730912160420376,0.7008961839434172,1.6010066697565533,1.0033135070461412
total,mpbamod,Count,1.024170721441251,0.9750114689771372,1.0889058339390676,1.001890790557717
total,mpbamod,Proportion,0.9682244352614985,0.7857194375158733,1.2574697285772283,1.0021735419765714
total,vegan,Count,1.2400226199858464,0.9298391451489061,1.6384068716883864,1.0042501539329443
total,vegan,Proportion,1.445039715064394,0.7214286838040983,2.8156369331661493,1.001269042585763
total,vegetarian,Count,1.119011091985305,0.9270627678268244,1.3558070691396604,1.0086074871890118
total,vegetarian,Proportion,1.1116049892256208,0.7444007103172713,1.6555991210547092,1.0060718419006263
vegan,mpbamod,Count,1.0529975329962957,0.9903894602705898,1.1469867084721352,1.0010532350489425
vegan,mpbamod,Proportion,1.0760322044766666,0.7626606150455018,1.6830388521522552,1.0008506751924802
vegan,vegan,Count,1.907832151032942,0.6475073073432007,5.345649219195217,1.01750368155828
vegan,vegan,Proportion,2.3000514895682613,0.696592108298297,6.926128506333064,1.0015533162745784
vegan,vegetarian,Count,1.0870745123383556,1.0021336795614866,1.188370570106266,1.0019452137593117
vegan,vegetarian,Proportion,1.1196077238378146,0.9492309818435777,1.366077575773713,1.0005975658513075
vegetarian,mpbamod,Count,1.094644738121491,0.9797451325184637,1.2330582308083262,1.0014758654715685
vegetarian,mpbamod,Proportion,1.6040191513412845,0.7398343642001783,3.6022800780812894,1.0018924378661025
vegetarian,vegan,Count,1.2306554091671373,1.0384654763329713,1.474636472361886,1.005255445758403
vegetarian,vegan,Proportion,1.0819078551460215,0.9522732957703535,1.2937140626708286,1.0017571310291622
vegetarian,vegetarian,Count,1.162069999116446,0.9594974751120621,1.3910296106138038,1.0009671153451405
vegetarian,vegetarian,Proportion,1.152338852953644,0.5291122377335454,2.361768139095868,1.0026101518585433
