outcome,exposure_type,mean,q5,q95,rhat
Breakfast,Count,1.6939305689753341,0.6426299023519307,3.96857068140505,1.0224508242698191
Breakfast,Presence,1.7935208229666666,0.5623103,2.965745,1.0035084086881496
Chicken,Count,1.0787238396685999,0.7310906636807579,1.5239277530415003,1.0052690833191684
Chicken,Presence,0.08878061074393333,-1.6108795,1.7563180000000003,1.0011500629672099
Dairy,Count,1.459080749496712,0.8315488772968204,2.4674733700805307,1.002615583246039
Dairy,Presence,1.6369652326242223,-0.02374141499999997,3.3087050000000002,1.0018599412627727
Egg,Count,1.418478743496415,0.6061352700002616,2.903822579840726,1.0041831729686743
Egg,Presence,1.3219356932051112,-0.3366821,2.983724000000001,1.010853915109285
Untextured,Count,1.1379279538436111,0.7186115007839644,1.7351651566132669,1.084837786173446
Untextured,Presence,0.6006248927102222,-0.43358055,1.5411820000000003,1.002192713043419
