outcome,effect_type,mean,q5,q95,rhat
chicken_fish,Level Change,0.8756289867807393,0.5677596790824997,1.3879218410272256,1.1572540293510722
chicken_fish,Slope Change,0.9977718952615738,0.4092268423153391,2.37109055713488,1.0673767608878129
meat,Level Change,0.8393453061272576,0.7003557211104384,0.9747633211409387,1.019469189376848
meat,Slope Change,1.0262004502228241,0.6057490727704025,1.848091989779837,1.008427118860087
nonvegan,Level Change,0.881018004143696,0.6676812766981177,1.164596237857917,1.089032671656248
nonvegan,Slope Change,1.1119201392671547,0.711153876464965,1.6148008719976479,1.1252363746560994
total,Level Change,0.905296457083464,0.7015811187416613,1.177277771488449,1.007209330741514
total,Slope Change,1.205755396464298,0.6821619745479554,2.2694703992988474,1.022480077441171
vegan,Level Change,1.119839885456819,0.9251586339604871,1.4045364225812058,1.358705569745215
vegan,Slope Change,1.2838689369927336,0.6213782712791173,4.335459056446353,1.3262509149513573
vegetarian,Level Change,1.003336353850152,0.725278072055722,1.4251042942645336,1.006359110122586
vegetarian,Slope Change,1.2335249201317604,0.8591757324342172,1.8619479041010174,1.0021551005179403
