outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,source,pred_path,color_group,step_size
breakfast,level change,0.842782928144026,0.842782928144026,0.5300511726113163,1.3928774286397476,1.0004118007458,2703.00395091767,Pooled,POOLED,finalized_redone_trunc_cp,NA,Animal,0.5
breakfast,slope change,0.8021757646160721,0.8021757646160721,0.33935857067494396,2.0980848973419994,1.00065442799972,3934.89746144297,Pooled,POOLED,finalized_redone_trunc_cp,NA,Animal,0.5
untextured,level change,1.080233471360674,1.080233471360674,0.5165291652140975,2.4841810552451684,1.01042910104574,181.478657553481,Pooled,POOLED,finalized_redone_trunc_cp,NA,Animal,0.5
untextured,slope change,0.6935414210316766,0.6935414210316766,0.2685238613216218,1.9113019326914475,1.0112403634854,176.724441195302,Pooled,POOLED,finalized_redone_trunc_cp,NA,Animal,0.5
Total (A3),level change,1.0666328986201772,1.0666328986201772,0.9725404845487229,1.1903216324805947,1.00855247768506,169.890282725995,Pooled,POOLED,finalized_redone_trunc_cp,NA,Total,0.5
Total (A3),slope change,1.821720641144471,1.821720641144471,1.1028435805753642,2.6022273464364756,1.01325188828432,139.989598074159,Pooled,POOLED,finalized_redone_trunc_cp,NA,Total,0.5
breakfast,level change,0.84,NA,0.68,1.03,1.00019014689066,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc_cp,NA,Animal,0.5
breakfast,level change,0.91,NA,0.7,1.26,1.00087833707847,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc_cp,NA,Animal,0.5
breakfast,level change,0.77,NA,0.54,1.02,0.999835823809117,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc_cp,NA,Animal,0.5
breakfast,slope change,0.56,NA,0.38,0.88,1.00018768467054,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc_cp,NA,Animal,0.5
breakfast,slope change,0.76,NA,0.22,2.9,0.999884074414089,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc_cp,NA,Animal,0.5
breakfast,slope change,1.05,NA,0.6,1.86,1.00064740381577,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc_cp,NA,Animal,0.5
textured,level change,1.22,NA,1.14,1.31,1.0098175799851,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone_trunc_cp,NA,Animal,0.5
textured,slope change,0.69,NA,0.33,1.44,1.0116819923268,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone_trunc_cp,NA,Animal,0.5
untextured,level change,1.08,NA,0.95,1.27,1.00216224740543,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,NA,Animal,0.5
untextured,level change,1.05,NA,0.93,1.22,1.01026319763749,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,NA,Animal,0.5
untextured,slope change,0.51,NA,0.16,1.09,1.00166907238823,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,NA,Animal,0.5
untextured,slope change,0.87,NA,0.42,2.89,1.00249200851401,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,NA,Animal,0.5
