"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"vegetarian","1SQPTEGYPH0GA","Level Change","Base",0.0188904187804782,-0.1346009995,0.21993360575
"vegetarian","2HRX9P6HKXA8V","Level Change","Base",-0.0526973558360873,-0.174575188,0.0658768608250001
"vegetarian","78AY09MVJVTYE","Level Change","Base",-0.0719784877867167,-0.1919772995,0.023506093525
"vegetarian","9XKJD8DQTH559","Level Change","Base",-0.178878729743267,-0.39386237625,0.00990576066500003
"vegetarian","9XKJD8DQTH559","Level Change","Base",-0.156174591649337,-0.3426867745,0.029743166325
"vegetarian","C0BE4NDSW26QN","Level Change","Base",-0.0710384881785243,-0.3262622835,0.19197221725
"vegetarian","C0BE4NDSW26QN","Level Change","Base",-0.080785614813138,-0.3403691655,0.16397763575
"vegetarian","ED5J990H5VAZT","Level Change","Base",-0.0158202130632043,-0.079640113775,0.050651493175
"vegetarian","EMBVNVD207CC6","Level Change","Base",0.130955506807039,-0.068343938175,0.430024139
"vegetarian","L69HYJ4Y3TR91","Level Change","Base",-0.0100230610842747,-0.161790706,0.16265120725
"vegetarian","LBZEEFSBJNB3Z","Level Change","Base",0.0477917361655767,-0.080952314975,0.206571858
"vegetarian","LQ5EH4BKGV61T","Level Change","Base",0.0284731293917667,-0.169821047,0.31901582925
"vegetarian","S8MT0YGD2KTN9","Level Change","Base",-0.100946458567052,-0.2137947515,-0.000828655842249993
"vegetarian","SAFK7ND1HR6XS","Level Change","Base",-0.0874724107392487,-0.2143196845,0.0213590768250001
"vegetarian","SRQS8F7JWA9MZ","Level Change","Base",-0.00516219365504367,-0.0963056254,0.0823283366
"vegetarian","SRQS8F7JWA9MZ","Level Change","Base",0.0610807471479487,-0.02609391775,0.1541198745
"vegetarian","V3Q26BHF3SE2H","Level Change","Base",-0.109233197654092,-0.3375774825,0.0682878429500001
"vegetarian","V3Q26BHF3SE2H","Level Change","Base",0.143890037650638,-0.0224212209,0.3628951545
"vegetarian","V3Q26BHF3SE2H","Level Change","Base",-0.00955073616616853,-0.153051212,0.11697712675
"vegetarian","V3Q26BHF3SE2H","Level Change","Base",0.119474106294796,-0.02054346825,0.28908498975
"vegetarian","W8T41JZK0ZMEP","Level Change","Base",-0.0365257859172637,-0.24767392875,0.1392460395
"vegetarian","W8T41JZK0ZMEP","Level Change","Base",0.2343246026863,0.0557421259,0.4525294715
"vegetarian","W8T41JZK0ZMEP","Level Change","Base",0.03707085250441,-0.1375738195,0.198692884
"vegetarian","W8T41JZK0ZMEP","Level Change","Base",0.0515222038914933,-0.12616690725,0.214212048
"vegetarian","W8T41JZK0ZMEP","Level Change","Base",0.0806733186048657,-0.11800391775,0.3087069715
"vegetarian","pooled","Level Change","Base",-0.00985355427504163,-0.08371025815,0.078435068875
"vegetarian","1SQPTEGYPH0GA","Slope Change","Base",0.129034558796146,-0.013452183325,0.27243715975
"vegetarian","2HRX9P6HKXA8V","Slope Change","Base",0.0187066881643517,-0.04883719665,0.0892030281
"vegetarian","78AY09MVJVTYE","Slope Change","Base",-0.0835395642385,-0.128444614,-0.037068349425
"vegetarian","9XKJD8DQTH559","Slope Change","Base",0.0241571338325467,-0.21141257225,0.24369535125
"vegetarian","9XKJD8DQTH559","Slope Change","Base",0.032415153266112,-0.1857811995,0.263054647
"vegetarian","C0BE4NDSW26QN","Slope Change","Base",-0.00906018429917767,-0.20217953675,0.1489425645
"vegetarian","C0BE4NDSW26QN","Slope Change","Base",0.0195514351680273,-0.140468766,0.21854070575
"vegetarian","ED5J990H5VAZT","Slope Change","Base",-0.135393441884867,-0.22782827925,-0.04324065525
"vegetarian","EMBVNVD207CC6","Slope Change","Base",0.276617772207167,0.061511978575,0.491752507
"vegetarian","L69HYJ4Y3TR91","Slope Change","Base",-0.0615410675026146,-0.36145844575,0.21317542775
"vegetarian","LBZEEFSBJNB3Z","Slope Change","Base",0.132293148954171,-0.0654934642,0.342337985
"vegetarian","LQ5EH4BKGV61T","Slope Change","Base",0.0186319753200467,-0.2835065385,0.35815038325
"vegetarian","S8MT0YGD2KTN9","Slope Change","Base",-0.05247021566273,-0.1384486655,0.040449430725
"vegetarian","SAFK7ND1HR6XS","Slope Change","Base",-0.0820625160729083,-0.42337786925,0.18743103025
"vegetarian","SRQS8F7JWA9MZ","Slope Change","Base",-0.00153955682029333,-0.16775697275,0.25049403225
"vegetarian","SRQS8F7JWA9MZ","Slope Change","Base",-0.0447685872052412,-0.29515291625,0.11731907925
"vegetarian","V3Q26BHF3SE2H","Slope Change","Base",-0.0833191567805897,-0.38607067325,0.15060527725
"vegetarian","V3Q26BHF3SE2H","Slope Change","Base",-0.0739643629666333,-0.36044093525,0.144834916
"vegetarian","V3Q26BHF3SE2H","Slope Change","Base",-0.039307376175049,-0.24687077825,0.238764974000001
