"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"untextured_t2","1SQPTEGYPH0GA","Level Change","Base",0.00861718871,-0.213833883,0.13429634175
"untextured_t2","9XKJD8DQTH559","Level Change","Base",-0.0752167747428,-0.1246586405,0.0051408786075
"untextured_t2","9XKJD8DQTH559","Level Change","Base",0.093763922907,-0.031231607425,0.18875155725
"untextured_t2","C0BE4NDSW26QN","Level Change","Base",-0.117492908623333,-0.2465318615,0.02083143845
"untextured_t2","C0BE4NDSW26QN","Level Change","Base",0.142248568083333,-0.053341744375,0.43815206475
"untextured_t2","JHDN7CF1C03X5","Level Change","Base",1.41271054847667e-05,-4.5215445075e-05,6.4094850375e-05
"untextured_t2","LQ5EH4BKGV61T","Level Change","Base",-0.25285230803,-0.4760849715,-0.1227772545
"untextured_t2","S8MT0YGD2KTN9","Level Change","Base",-0.144462110650533,-0.32770515975,-0.0044213195375
"untextured_t2","SRQS8F7JWA9MZ","Level Change","Base",0.0279020675576667,-0.27296021675,0.37636539025
"untextured_t2","SRQS8F7JWA9MZ","Level Change","Base",0.347347857024667,0.0459048071,0.65969586375
"untextured_t2","pooled","Level Change","Base",-0.0511602753373333,-0.142518101,-0.0036716693825
"untextured_t2","1SQPTEGYPH0GA","Slope Change","Base",-0.0161414902513333,-0.2432739365,0.15307874975
"untextured_t2","9XKJD8DQTH559","Slope Change","Base",0.000574528915333335,-0.13657230475,0.2241817935
"untextured_t2","9XKJD8DQTH559","Slope Change","Base",-0.0294882831273333,-0.26081686025,0.182669785
"untextured_t2","C0BE4NDSW26QN","Slope Change","Base",0.0185950951576667,-0.018346911725,0.038808627475
"untextured_t2","C0BE4NDSW26QN","Slope Change","Base",-0.0621254006489333,-0.1404197855,-0.0014276526
"untextured_t2","JHDN7CF1C03X5","Slope Change","Base",6.30656152183333e-05,-0.0001779932035,0.000259607722
"untextured_t2","LQ5EH4BKGV61T","Slope Change","Base",-0.00111563524,-0.195285452,0.37180313575
"untextured_t2","S8MT0YGD2KTN9","Slope Change","Base",0.115173403835,0.03626931115,0.19450468025
"untextured_t2","SRQS8F7JWA9MZ","Slope Change","Base",0.0235522779486667,-0.12157952975,0.25000539025
"untextured_t2","SRQS8F7JWA9MZ","Slope Change","Base",-0.0996547153084065,-0.21344610275,0.00021741208525
"untextured_t2","pooled","Slope Change","Base",-0.0401339661613333,-0.13624270125,0.06364030075
"untextured_t2","1SQPTEGYPH0GA","Gender x Level","Female",-0.0687008962403333,-0.302879662,0.070034952875
"untextured_t2","9XKJD8DQTH559","Gender x Level","Female",-0.0255764727466667,-0.1461423935,0.156897545
"untextured_t2","9XKJD8DQTH559","Gender x Level","Female",0.0417685272426667,-0.14313453025,0.20750670775
"untextured_t2","C0BE4NDSW26QN","Gender x Level","Female",0.0488132172223333,-0.1308104305,0.2159763815
"untextured_t2","C0BE4NDSW26QN","Gender x Level","Female",-0.0807342403306667,-0.21092753375,0.070956129475
"untextured_t2","LQ5EH4BKGV61T","Gender x Level","Female",-0.3976981493302,-1.20156733,0.0179713776
