outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id
chicken_fish,mpbamod,Count,-0.021464239518033335,-0.17205312499999997,0.05817409000000004,1.0043142579691682,Pooled,POOLED
chicken_fish,mpbamod,Proportion,-1.11407947007,-2.338966,0.2774670500000003,0.999901510211722,Pooled,POOLED
chicken_fish,vegan,Count,0.1527746853082,-0.18927047499999997,0.479843225,1.0090804074759532,Pooled,POOLED
chicken_fish,vegan,Proportion,0.6737307774143333,-0.4990857999999999,1.8669520000000002,1.001711348359496,Pooled,POOLED
chicken_fish,vegetarian,Count,0.08912258275662,-0.0517834025,0.24276402500000002,1.0050799998880577,Pooled,POOLED
chicken_fish,vegetarian,Proportion,-0.17456695051966667,-1.68745225,1.3390727500000004,1.0006603334734918,Pooled,POOLED
meat,mpbamod,Count,-0.021284325753533333,-0.23344787500000003,0.1722492,1.001351352045772,Pooled,POOLED
meat,mpbamod,Proportion,-0.501600699835,-1.81720975,0.7761475500000002,1.0021543808314255,Pooled,POOLED
meat,vegan,Count,0.17933322441933333,-0.1411004,0.5121627750000001,0.9997865091136683,Pooled,POOLED
meat,vegan,Proportion,0.2527304346531667,-0.9574775499999999,1.2796267500000003,1.000621242363303,Pooled,POOLED
meat,vegetarian,Count,0.03192271213583334,-0.030296169999999994,0.09193898250000002,1.0011703440307644,Pooled,POOLED
meat,vegetarian,Proportion,-0.4572368431712,-1.6892232500000002,0.7872974250000002,1.001864308672492,Pooled,POOLED
nonvegan,mpbamod,Count,-0.0209724566542,-0.30284645,0.2440082,1.001093727548236,Pooled,POOLED
nonvegan,mpbamod,Proportion,-0.6396933234516666,-2.0332912499999996,0.7958566750000002,0.9997886817187853,Pooled,POOLED
nonvegan,vegan,Count,0.21090876449166668,-0.116423325,0.5778747500000003,1.0029079403961387,Pooled,POOLED
nonvegan,vegan,Proportion,0.7282488187106667,-0.368110375,1.7043222500000004,1.000076053453321,Pooled,POOLED
nonvegan,vegetarian,Count,0.05000779177,-0.026049337499999988,0.12711442500000003,1.0026631892598532,Pooled,POOLED
nonvegan,vegetarian,Proportion,0.299171070563,-0.725887325,1.2337182500000001,1.0010117831263627,Pooled,POOLED
total,mpbamod,Count,-0.005043245704533334,-0.25612429999999997,0.24946530000000006,1.0022687446725063,Pooled,POOLED
total,mpbamod,Proportion,-0.6185194575916667,-2.10214825,0.7938322000000004,1.0004162154518608,Pooled,POOLED
total,vegan,Count,0.201755871232,-0.14023597499999996,0.53465525,1.0036878644029106,Pooled,POOLED
total,vegan,Proportion,0.820155473172,-0.34666155,1.8592155000000001,1.0008539645497734,Pooled,POOLED
total,vegetarian,Count,0.04868238309926667,-0.03205465,0.12400540000000003,1.0035231546239145,Pooled,POOLED
total,vegetarian,Proportion,0.36187719771866667,-0.6952847,1.3027275,1.0004352656904227,Pooled,POOLED
vegan,mpbamod,Count,0.026918896444766666,-0.19435664999999996,0.2533062500000001,1.0021267008171233,Pooled,POOLED
vegan,mpbamod,Proportion,-0.431156196482,-1.7972685,0.9468200750000004,1.0004989814761498,Pooled,POOLED
vegan,vegan,Count,0.14859774802463332,-0.07586067499999999,0.39297565,1.0268143172262534,Pooled,POOLED
vegan,vegan,Proportion,1.6395966421866666,0.45304967500000004,2.730951,1.0010634966366803,Pooled,POOLED
vegan,vegetarian,Count,0.06571472755046667,-0.019398987499999996,0.151744425,1.000970997780158,Pooled,POOLED
vegan,vegetarian,Proportion,1.12768197328,0.06474919500000005,2.049993000000001,1.0000388028676452,Pooled,POOLED
vegetarian,mpbamod,Count,0.0156060800132,-0.3219514,0.3549750000000002,1.0091773429823248,Pooled,POOLED
vegetarian,mpbamod,Proportion,-0.4328414530401,-1.909799,1.05700475,1.00097208361814,Pooled,POOLED
vegetarian,vegan,Count,0.18318415040033334,-0.0896967625,0.456108475,1.0018621216115238,Pooled,POOLED
vegetarian,vegan,Proportion,0.7610357355703333,-0.275163575,1.822543,1.0018647687031037,Pooled,POOLED
vegetarian,vegetarian,Count,0.0707442783567,-0.0454945825,0.16680492500000005,1.0072366137715598,Pooled,POOLED
vegetarian,vegetarian,Proportion,1.1840107785717333,-0.10282862499999991,2.2133480000000008,1.0006623186656225,Pooled,POOLED
chicken_fish,mpbamod,Count,-0.05129329438755058,-0.342490308946776,0.0769610411361284,1.0010816949046422,Restaurant,2HRX9P6HKXA8V
chicken_fish,mpbamod,Count,-0.01005033585350145,-0.05129329438755058,0.02955880224154443,1.0019753522712715,Restaurant,JHDN7CF1C03X5
chicken_fish,mpbamod,Count,-0.030459207484708574,-0.2876820724517809,0.13976194237515863,1.0006818460096518,Restaurant,L69HYJ4Y3TR91
chicken_fish,mpbamod,Count,-0.020202707317519466,-0.08338160893905101,0.02955880224154443,1.0005737749067487,Restaurant,ED5J990H5VAZT
chicken_fish,mpbamod,Count,0,-0.030459207484708574,0.03922071315328133,0.9996169022311844,Restaurant,W8T41JZK0ZMEP
chicken_fish,mpbamod,Proportion,-1.6607312068216509,-4.605170185988091,0.9321640810304452,1.0001082933575685,Restaurant,2HRX9P6HKXA8V
chicken_fish,mpbamod,Proportion,-2.4079456086518722,-4.605170185988091,-0.7133498878774648,0.9996660643973482,Restaurant,JHDN7CF1C03X5
chicken_fish,mpbamod,Proportion,-1.171182981502945,-3.912023005428146,1.7900914121273581,1.0006233436380847,Restaurant,L69HYJ4Y3TR91
chicken_fish,mpbamod,Proportion,-1.5606477482646683,-2.8134107167600364,-0.37106368139083207,1.0004094974432818,Restaurant,ED5J990H5VAZT
chicken_fish,mpbamod,Proportion,-0.3285040669720361,-1.9661128563728327,1.6695918352538475,1.0017192735894835,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegan,Count,0.01980262729617973,-0.1743533871447778,0.2151113796169455,1.0001126464132821,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegan,Count,0.01980262729617973,-0.01005033585350145,0.04879016416943205,1.0008089523317938,Restaurant,JHDN7CF1C03X5
chicken_fish,vegan,Count,0.20701416938432612,-0.030459207484708574,0.4382549309311553,1.000109105503495,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegan,Count,0.5653138090500605,0.22314355131420976,0.8919980393051105,1.0013620576964477,Restaurant,ED5J990H5VAZT
