outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id
Breakfast,Count,0.39566860447317775,-0.8718392499999998,1.701801749999999,1.0019869516533995,Pooled,POOLED
Breakfast,Presence,0.7032924891302222,-0.74705655,2.0945679999999993,1.0014174843965487,Pooled,POOLED
Chicken,Count,0.267306625073,-0.299683525,0.5886311750000002,1.3594314638501295,Pooled,POOLED
Chicken,Presence,0.2230039519822889,-0.8570122499999999,1.3821692499999974,1.0167502513708846,Pooled,POOLED
Dairy,Count,0.0647177114787,-0.160183,0.2572750249999991,1.006627815936204,Pooled,POOLED
Dairy,Presence,0.15380180004353333,-0.953366975,1.2582179999999976,1.0015952401694972,Pooled,POOLED
Egg,Count,0.024208185306333334,-0.8116020749999999,0.6934649250000005,1.0073824542429093,Pooled,POOLED
Egg,Presence,0.059014927895,-1.029712,1.2105732500000004,1.0067691932642744,Pooled,POOLED
Untextured,Count,0.19317056710966668,-0.465943375,0.8197082749999989,1.032232641361222,Pooled,POOLED
Untextured,Presence,0.5922618744465111,-0.4785095749999999,1.5850969999999989,1.0273789664125732,Pooled,POOLED
Breakfast,Count,-0.6539264674066639,-0.9675840262617056,-0.31471074483970024,1.0009506508590371,Restaurant,2HRX9P6HKXA8V
Breakfast,Count,-0.030459207484708574,-0.19845093872383832,0.12221763272424911,1.0005035310719712,Restaurant,ED5J990H5VAZT
Breakfast,Count,2.8570447537800976,1.780024213009634,4.064400685849028,0.999678060286415,Restaurant,L69HYJ4Y3TR91
Breakfast,Presence,1.5871923034867805,-1.3093333199837622,4.672454932793688,1.0023939867332616,Restaurant,2HRX9P6HKXA8V
Breakfast,Presence,-0.5108256237659907,-0.843970070294529,-0.18632957819149348,0.999628240575794,Restaurant,ED5J990H5VAZT
Breakfast,Presence,2.847232265235547,1.7867469274045107,4.026244149518169,1.0000495285894138,Restaurant,L69HYJ4Y3TR91
Chicken,Count,0.02955880224154443,-0.020202707317519466,0.0769610411361284,1.180186360337677,Restaurant,JHDN7CF1C03X5
Chicken,Count,0.1906203596086497,0.02955880224154443,0.3074846997479607,1.3540070266718136,Restaurant,W8T41JZK0ZMEP
Chicken,Presence,0.36464311358790924,-1.3470736479666092,2.770711962226921,1.0134810409033397,Restaurant,JHDN7CF1C03X5
Chicken,Presence,0.23901690047049992,-0.030459207484708574,0.5187937934151675,1.0004127240001996,Restaurant,W8T41JZK0ZMEP
Dairy,Count,0.06765864847381486,-0.01005033585350145,0.13976194237515863,1.0019438037136001,Restaurant,ED5J990H5VAZT
Dairy,Count,0.10436001532424286,0.058268908123975824,0.14842000511827322,0.9997951979960014,Restaurant,JHDN7CF1C03X5
Dairy,Count,0.03922071315328133,-0.01005033585350145,0.09531017980432493,1.0012485593799498,Restaurant,W8T41JZK0ZMEP
Dairy,Presence,0.131028262406404,-0.10536051565782628,0.371563556432483,1.0010260516253129,Restaurant,ED5J990H5VAZT
Dairy,Presence,0.13976194237515863,-1.8971199848858813,2.3988039507345884,1.0016841257342735,Restaurant,JHDN7CF1C03X5
Dairy,Presence,0.29266961396282004,-1.3470736479666092,2.1587147225743437,1.0013468759633422,Restaurant,W8T41JZK0ZMEP
Egg,Count,0.01980262729617973,-0.040821994520255166,0.08617769624105241,1.0007588381918033,Restaurant,ED5J990H5VAZT
Egg,Count,0.06765864847381486,0.01980262729617973,0.131028262406404,1.004153467531167,Restaurant,W8T41JZK0ZMEP
Egg,Presence,0.03922071315328133,-0.2876820724517809,0.3576744442718159,1.0002786727899573,Restaurant,ED5J990H5VAZT
Egg,Presence,0.09531017980432493,-1.6094379124341003,1.8931119634883424,1.0030338577098077,Restaurant,W8T41JZK0ZMEP
Untextured,Count,0.02955880224154443,-0.07257069283483537,0.13976194237515863,1.0054413479425934,Restaurant,JHDN7CF1C03X5
Untextured,Count,0.04879016416943205,-0.07257069283483537,0.17395330712343798,1.0016820069886674,Restaurant,SRQS8F7JWA9MZ
Untextured,Count,0.5596157879354227,0.4054651081081644,0.7178397931503168,1.0040591084904555,Restaurant,W8T41JZK0ZMEP
Untextured,Presence,0.7701082216960737,-0.08338160893905101,1.7101878155342434,1.0033054855645231,Restaurant,JHDN7CF1C03X5
Untextured,Presence,0.04879016416943205,-0.07257069283483537,0.16551443847757333,1.003071736835137,Restaurant,SRQS8F7JWA9MZ
Untextured,Presence,1.5602476682433286,1.1600209167967532,1.9878743481543455,1.0026857669216518,Restaurant,W8T41JZK0ZMEP
