outcome,effect_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group,ess_bulk
total,Level Change,1.2051663657372789,0.8154609033563456,1.7804054602110881,1.0002964675355035,Pooled,POOLED,Total,NA
total,Slope Change,1.26101159388639,0.8226196383170638,1.9097543572154556,1.000917417330015,Pooled,POOLED,Total,NA
nonvegan,Level Change,1.2034706889993152,0.8548655704079257,1.7518996263904776,1.0164870836965516,Pooled,POOLED,Animal,NA
nonvegan,Slope Change,1.263332263864311,0.9022694080205854,1.7321428350264523,1.0009472053498936,Pooled,POOLED,Animal,NA
meat,Level Change,1.2549060113909918,0.7991992021173147,1.9186983242428477,1.0076389962541217,Pooled,POOLED,Animal,NA
meat,Slope Change,1.2797142784363864,0.7541204882504423,2.0247960410161454,1.034272207592509,Pooled,POOLED,Animal,NA
chicken_fish,Level Change,1.2414889803193363,0.7400612321933281,2.148569829032827,1.0006821513774444,Pooled,POOLED,Animal,NA
chicken_fish,Slope Change,1.8332955314891486,0.9029574024900966,3.8021387980936208,1.000418397619787,Pooled,POOLED,Animal,NA
vegetarian,Level Change,1.1815780240800509,0.8507529696340874,1.6724816644491445,1.0198422753627328,Pooled,POOLED,Plant-based,NA
vegetarian,Slope Change,1.1960729531422862,0.8178411740374609,1.745683902365975,1.00831827905534,Pooled,POOLED,Plant-based,NA
vegan,Level Change,1.2154106097425577,0.8319614694421099,1.781972550196783,1.001354426388509,Pooled,POOLED,Plant-based,NA
vegan,Slope Change,1.3510118613447248,0.7767193234152294,2.3353388538175444,1.0005634536938017,Pooled,POOLED,Plant-based,NA
total,Level Change,1.03,0.99,1.07,0.9994271365653982,Restaurant,VLZX7K2M9QD4T,Total,NA
total,Slope Change,0.98,0.85,1.13,1.0005329099038827,Restaurant,VLZX7K2M9QD4T,Total,NA
total,Level Change,1.87,1.59,2.21,1.0015612983342956,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Level Change,1.15,0.98,1.36,0.9995863429233991,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Slope Change,0.83,0.3,2.08,1.0008004113517228,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Slope Change,0.94,0.39,2.64,1.001399246179382,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Level Change,1.12,0.98,1.26,1.000750463094139,Restaurant,2HRX9P6HKXA8V,Total,NA
total,Slope Change,0.94,0.92,0.97,1.0053774539982572,Restaurant,2HRX9P6HKXA8V,Total,NA
total,Level Change,0.72,0.65,0.79,0.9996117267094037,Restaurant,JHDN7CF1C03X5,Total,NA
total,Slope Change,0.99,0.96,1.03,1.0008774705745356,Restaurant,JHDN7CF1C03X5,Total,NA
total,Level Change,1.15,1.04,1.27,1.0011109087153278,Restaurant,L69HYJ4Y3TR91,Total,NA
total,Slope Change,3.08,2.37,4.04,1.0014335260537683,Restaurant,L69HYJ4Y3TR91,Total,NA
total,Level Change,2.25,1.94,2.62,0.9999906249108959,Restaurant,ED5J990H5VAZT,Total,NA
total,Slope Change,1.37,1.15,1.63,0.9995819080548972,Restaurant,ED5J990H5VAZT,Total,NA
nonvegan,Level Change,1.02,0.97,1.06,0.9997917513329144,Restaurant,VLZX7K2M9QD4T,Animal,NA
nonvegan,Slope Change,0.99,0.85,1.14,0.9994298553492523,Restaurant,VLZX7K2M9QD4T,Animal,NA
nonvegan,Level Change,1.86,1.59,2.18,1.000799955017377,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Level Change,1.15,0.98,1.36,0.9996636233299848,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Slope Change,0.86,0.35,1.94,1.0003912734967562,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Slope Change,0.91,0.41,2.3,1.0002964193499357,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Level Change,1.13,1,1.28,1.0011353953293947,Restaurant,2HRX9P6HKXA8V,Animal,NA
nonvegan,Slope Change,0.94,0.91,0.97,0.999452521512045,Restaurant,2HRX9P6HKXA8V,Animal,NA
nonvegan,Level Change,0.72,0.66,0.78,0.99980394924769,Restaurant,JHDN7CF1C03X5,Animal,NA
nonvegan,Slope Change,1.01,0.98,1.04,1.0001169191324146,Restaurant,JHDN7CF1C03X5,Animal,NA
nonvegan,Level Change,1.16,1.06,1.28,0.9994950526410796,Restaurant,L69HYJ4Y3TR91,Animal,NA
nonvegan,Slope Change,2.55,1.92,3.33,0.9993862712331629,Restaurant,L69HYJ4Y3TR91,Animal,NA
nonvegan,Level Change,2.19,1.89,2.56,1.0055257045303758,Restaurant,ED5J990H5VAZT,Animal,NA
nonvegan,Slope Change,1.36,1.15,1.61,1.0023894526188766,Restaurant,ED5J990H5VAZT,Animal,NA
meat,Level Change,1.04,1,1.08,0.9997796981479773,Restaurant,VLZX7K2M9QD4T,Animal,NA
meat,Slope Change,0.9,0.79,1.03,0.9997801085878151,Restaurant,VLZX7K2M9QD4T,Animal,NA
meat,Level Change,1.79,1.51,2.11,0.9994493509041367,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Level Change,1.06,0.89,1.27,0.9995230863201415,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Slope Change,0.81,0.27,1.97,1.0097868010074664,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Slope Change,0.99,0.41,3.01,1.00956652023665,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Level Change,1.15,1.01,1.31,0.999527182005943,Restaurant,2HRX9P6HKXA8V,Animal,NA
meat,Slope Change,0.92,0.89,0.95,0.9999716537756915,Restaurant,2HRX9P6HKXA8V,Animal,NA
meat,Level Change,0.69,0.63,0.75,0.9994556227308642,Restaurant,JHDN7CF1C03X5,Animal,NA
meat,Slope Change,1.01,0.98,1.04,1.0011471008834352,Restaurant,JHDN7CF1C03X5,Animal,NA
meat,Level Change,1.05,0.92,1.21,1.00125277269327,Restaurant,L69HYJ4Y3TR91,Animal,NA
meat,Slope Change,4.35,2.86,6.5,0.9997871740283631,Restaurant,L69HYJ4Y3TR91,Animal,NA
meat,Level Change,3,2.46,3.68,1.0041561430610002,Restaurant,ED5J990H5VAZT,Animal,NA
meat,Slope Change,1.43,1.15,1.78,1.004375817645552,Restaurant,ED5J990H5VAZT,Animal,NA
chicken_fish,Level Change,1.02,0.97,1.06,1.004424592074238,Restaurant,VLZX7K2M9QD4T,Animal,NA
chicken_fish,Slope Change,0.99,0.85,1.14,1.0064381199774364,Restaurant,VLZX7K2M9QD4T,Animal,NA
chicken_fish,Level Change,1.12,0.96,1.31,0.9994391964299665,Restaurant,2HRX9P6HKXA8V,Animal,NA
chicken_fish,Slope Change,0.88,0.85,0.91,1.0029109755740313,Restaurant,2HRX9P6HKXA8V,Animal,NA
chicken_fish,Level Change,0.7,0.64,0.77,0.9995657373205378,Restaurant,JHDN7CF1C03X5,Animal,NA
chicken_fish,Slope Change,1.12,1.09,1.16,0.9996725908688459,Restaurant,JHDN7CF1C03X5,Animal,NA
chicken_fish,Level Change,1.39,0.87,2.17,1.00395474840321,Restaurant,L69HYJ4Y3TR91,Animal,NA
chicken_fish,Slope Change,7.21,2.29,23.15,1.0019794451242852,Restaurant,L69HYJ4Y3TR91,Animal,NA
chicken_fish,Level Change,2.92,2.02,4.24,1.000205069026031,Restaurant,ED5J990H5VAZT,Animal,NA
chicken_fish,Slope Change,3.42,2.29,5.13,1.0007588974488286,Restaurant,ED5J990H5VAZT,Animal,NA
vegetarian,Level Change,1.01,0.96,1.06,1.0034577434517604,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
vegetarian,Slope Change,1.08,0.91,1.27,1.0010690114707268,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
vegetarian,Level Change,2.21,1.84,2.6,0.9994029732038283,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Level Change,1.49,1.25,1.76,1.0035333980428172,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Slope Change,0.95,0.43,2.53,1.0021058718892684,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Slope Change,0.76,0.29,1.69,1.0025075783596717,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Level Change,1.04,0.91,1.19,1.0110307880385072,Restaurant,2HRX9P6HKXA8V,Plant-based,NA
vegetarian,Slope Change,1,0.97,1.03,1.001038939144573,Restaurant,2HRX9P6HKXA8V,Plant-based,NA
vegetarian,Level Change,0.74,0.69,0.8,1.0012170743669493,Restaurant,JHDN7CF1C03X5,Plant-based,NA
vegetarian,Slope Change,0.99,0.96,1.01,0.9996835525353083,Restaurant,JHDN7CF1C03X5,Plant-based,NA
vegetarian,Level Change,1.21,1.09,1.34,0.9998565117110831,Restaurant,L69HYJ4Y3TR91,Plant-based,NA
vegetarian,Slope Change,2.44,1.82,3.28,0.9997002975464951,Restaurant,L69HYJ4Y3TR91,Plant-based,NA
vegetarian,Level Change,1.87,1.62,2.15,1.0001234258794127,Restaurant,ED5J990H5VAZT,Plant-based,NA
vegetarian,Slope Change,1.19,1.01,1.41,1.0002214787578902,Restaurant,ED5J990H5VAZT,Plant-based,NA
vegan,Level Change,1.19,1.14,1.25,0.9999577919199675,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
vegan,Slope Change,0.92,0.8,1.07,0.9998395201151049,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
vegan,Level Change,1.65,1.33,2.06,1.0022463695406232,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegan,Level Change,1.08,0.88,1.37,1.0009117223426287,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegan,Slope Change,0.67,0.18,1.61,1.0028749653505051,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegan,Slope Change,1.06,0.44,3.89,1.0026830891531286,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
