outcome,effect_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group,ess_bulk
breakfast,Level Change,1.4073700915567466,0.8085736576767376,2.4232839514471123,1.0017782414968424,Pooled,POOLED,finalized_simple,Animal,NA
breakfast,Slope Change,1.6493114330048695,0.859417237709757,3.261836074922438,1.001582741937206,Pooled,POOLED,finalized_simple,Animal,NA
textured,Level Change,1.173767744800163,1.1215533566562437,1.2261606318299698,1.0019266694587647,Pooled,POOLED,finalized_simple,Animal,NA
textured,Slope Change,0.79997647394663,0.6967103125921457,0.9272987260538398,1.0003880860014898,Pooled,POOLED,finalized_simple,Animal,NA
untextured,Level Change,1.342602898665098,0.47800308143247777,3.2596774540231843,1.0011925716637444,Pooled,POOLED,finalized_simple,Animal,NA
untextured,Slope Change,0.8945139855870419,0.3744581336241637,2.290825252686926,0.9996883172310137,Pooled,POOLED,finalized_simple,Animal,NA
Total (A3),Level Change,1.2051663657372789,0.8154609033563456,1.7804054602110881,1.0002964675355035,Pooled,POOLED,finalized_simple,Total,NA
Total (A3),Slope Change,1.26101159388639,0.8226196383170638,1.9097543572154556,1.000917417330015,Pooled,POOLED,finalized_simple,Total,NA
breakfast,Level Change,1.22,1.07,1.41,0.9996401087253023,Restaurant,2HRX9P6HKXA8V,finalized_simple,Animal,NA
breakfast,Slope Change,0.92,0.89,0.96,0.9993787175423728,Restaurant,2HRX9P6HKXA8V,finalized_simple,Animal,NA
breakfast,Level Change,1.03,0.9,1.17,0.9999701930112675,Restaurant,L69HYJ4Y3TR91,finalized_simple,Animal,NA
breakfast,Slope Change,3.96,2.76,5.83,1.0007574426055523,Restaurant,L69HYJ4Y3TR91,finalized_simple,Animal,NA
breakfast,Level Change,2.46,2.02,3.01,0.9995548385689043,Restaurant,ED5J990H5VAZT,finalized_simple,Animal,NA
breakfast,Slope Change,1.57,1.26,1.95,0.9996452105327688,Restaurant,ED5J990H5VAZT,finalized_simple,Animal,NA
textured,Level Change,1.17,1.12,1.23,1.0019266694587647,Restaurant,VLZX7K2M9QD4T,finalized_simple,Animal,NA
textured,Slope Change,0.8,0.7,0.93,1.0003880860014898,Restaurant,VLZX7K2M9QD4T,finalized_simple,Animal,NA
untextured,Level Change,2.02,1.75,2.36,0.9995465500582202,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal,NA
untextured,Level Change,1.1,0.94,1.3,1.0023115554201822,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal,NA
untextured,Slope Change,0.77,0.27,1.72,1.001256435853521,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal,NA
untextured,Slope Change,0.94,0.42,2.64,1.000555307042404,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal,NA
