outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
total,mpbamod,Count,1.0312638224834076,0.8973927404584473,1.1577098656956915,1.0246103689293478,Pooled,POOLED,Total
total,mpbamod,Proportion,1.0224236288105444,0.9152805121811738,1.135186069065812,1.0119905071951012,Pooled,POOLED,Total
total,vegan,Count,1.2064004021872203,0.8581688748731239,1.6265016396246172,1.0321728288573113,Pooled,POOLED,Total
total,vegan,Proportion,1.0913434317155217,0.9703090548341916,1.2211073365656533,1.0128693353443976,Pooled,POOLED,Total
total,vegetarian,Count,1.0457428170285767,1.003311917068086,1.10542994523062,1.0254579664563603,Pooled,POOLED,Total
total,vegetarian,Proportion,1.0981009789678084,0.9872927328715464,1.1965915018083346,1.0078998435577542,Pooled,POOLED,Total
nonvegan,mpbamod,Count,1.0219719810304606,0.792715865366772,1.1548827804089525,1.0217224815306314,Pooled,POOLED,Animal
nonvegan,mpbamod,Proportion,1.0167280027715393,0.9141550732793013,1.1092425000789734,1.0112045660038544,Pooled,POOLED,Animal
nonvegan,vegan,Count,1.1717356200571498,0.8033255339408503,1.6134237921450678,1.060854587784399,Pooled,POOLED,Animal
nonvegan,vegan,Proportion,1.0714080545305928,0.9567080566897352,1.1949004183661431,1.0162998606662785,Pooled,POOLED,Animal
nonvegan,vegetarian,Count,1.0437214890504662,0.987609509657159,1.100340508407085,1.0189352443260047,Pooled,POOLED,Animal
nonvegan,vegetarian,Proportion,1.0751689214866582,0.9956479265883674,1.1636885560769854,1.0364743064444362,Pooled,POOLED,Animal
meat,mpbamod,Count,1.0201116899290337,0.920698058419149,1.1406672805714737,1.0219328815311688,Pooled,POOLED,Animal
meat,mpbamod,Proportion,1.0535340167087874,0.9688546556605294,1.1271206122935844,1.0055086051884847,Pooled,POOLED,Animal
meat,vegan,Count,1.2242943479035666,0.8317273260418013,1.849731789627327,1.0258091599202765,Pooled,POOLED,Animal
meat,vegan,Proportion,1.012826153874008,0.8940787012188453,1.1500042925265788,1.0327423702491652,Pooled,POOLED,Animal
meat,vegetarian,Count,1.0224550257145315,0.9765431170061464,1.0713687831107808,1.0052276987725548,Pooled,POOLED,Animal
meat,vegetarian,Proportion,0.9444240525564633,0.8595388108760905,1.053269375368147,1.0492220139392971,Pooled,POOLED,Animal
chicken_fish,mpbamod,Count,1.005795375014297,0.9056331446910109,1.1003282534329173,1.007685723385545,Pooled,POOLED,Animal
chicken_fish,mpbamod,Proportion,1.0312783611227707,0.8813162503316976,1.1858118256971446,1.000785081867011,Pooled,POOLED,Animal
chicken_fish,vegan,Count,1.1148353082583757,0.8487547106682823,1.5040280114672655,1.0028707062922775,Pooled,POOLED,Animal
chicken_fish,vegan,Proportion,0.9796859307732645,0.8472493166888942,1.1415236441483951,1.0032023899920162,Pooled,POOLED,Animal
chicken_fish,vegetarian,Count,1.0717412084157751,0.9271595072383825,1.282949276784914,1.0307246701016723,Pooled,POOLED,Animal
chicken_fish,vegetarian,Proportion,0.9295429548992612,0.7906291168474738,1.1106641003227071,1.0022995470679332,Pooled,POOLED,Animal
vegetarian,mpbamod,Count,1.0562991525431749,0.8175392010546322,1.314666899267664,1.066083400231267,Pooled,POOLED,Plant-based
vegetarian,mpbamod,Proportion,0.9919871639428958,0.8586242542399414,1.1429321823211087,1.005116309399977,Pooled,POOLED,Plant-based
vegetarian,vegan,Count,1.184401828489947,0.9343884526703499,1.5315635244292187,1.0237696383162251,Pooled,POOLED,Plant-based
vegetarian,vegan,Proportion,1.1025666194411383,1.0078615053767674,1.214398843091184,1.04992891750951,Pooled,POOLED,Plant-based
vegetarian,vegetarian,Count,1.0655486129711669,0.971232752987281,1.1657047328172954,1.0135150510127704,Pooled,POOLED,Plant-based
vegetarian,vegetarian,Proportion,1.2075690776922234,1.0590474425478604,1.2996867189464114,1.037881680033974,Pooled,POOLED,Plant-based
vegan,mpbamod,Count,1.0403012772203055,0.9092359568467966,1.1876710634695504,1.0097635999199097,Pooled,POOLED,Plant-based
vegan,mpbamod,Proportion,1.0007296453457026,0.8896256257292637,1.1260079048658438,1.015845124457427,Pooled,POOLED,Plant-based
vegan,vegan,Count,1.1349358885977252,0.91563698494742,1.4418719000501148,1.0136758347091264,Pooled,POOLED,Plant-based
vegan,vegan,Proportion,1.1648604847857307,1.0192054111145556,1.2913558655962871,1.0007664119023554,Pooled,POOLED,Plant-based
vegan,vegetarian,Count,1.0500796038234819,0.9892214023993878,1.1206422405254768,1.0269782768550348,Pooled,POOLED,Plant-based
vegan,vegetarian,Proportion,1.134492251321396,1.0227190031392825,1.242516706781426,1.0117014558297612,Pooled,POOLED,Plant-based
total,mpbamod,Count,1.2,1.12,1.28,1.0008533834341002,Restaurant,SRQS8F7JWA9MZ,Total
total,mpbamod,Count,0.9,0.76,1.05,1.0026710443279006,Restaurant,2HRX9P6HKXA8V,Total
total,mpbamod,Count,1,0.97,1.03,1.0015076998647916,Restaurant,JHDN7CF1C03X5,Total
total,mpbamod,Count,1.1,0.98,1.24,1.001842081867491,Restaurant,L69HYJ4Y3TR91,Total
total,mpbamod,Count,1.02,1.01,1.04,1.0049037414506032,Restaurant,ED5J990H5VAZT,Total
total,mpbamod,Count,1.02,1,1.04,1.0019697266901073,Restaurant,W8T41JZK0ZMEP,Total
total,mpbamod,Proportion,1.1825932020636374,1.108449222600272,1.2624067600353122,1.0022502494334025,Restaurant,SRQS8F7JWA9MZ,Total
total,mpbamod,Proportion,0.9124435365554808,0.6762433378062414,1.125092775800282,1.003529215962884,Restaurant,2HRX9P6HKXA8V,Total
total,mpbamod,Proportion,0.9502002165056764,0.8424172486141028,1.0544958918547662,1.0013782736272896,Restaurant,JHDN7CF1C03X5,Total
total,mpbamod,Proportion,1.074946183300194,0.8594928497600735,1.373132366772672,1.0045855949916835,Restaurant,L69HYJ4Y3TR91,Total
total,mpbamod,Proportion,1.0342196941293802,0.99899547129175,1.0690633991544003,1.0018884656141416,Restaurant,ED5J990H5VAZT,Total
total,mpbamod,Proportion,1.0544958918547662,0.959299887533659,1.1620495159034718,1.0096539499703494,Restaurant,W8T41JZK0ZMEP,Total
total,vegan,Count,2.38,2.05,2.76,1.0006919680176134,Restaurant,SRQS8F7JWA9MZ,Total
total,vegan,Count,1.01,0.92,1.1,1.0028104796908337,Restaurant,2HRX9P6HKXA8V,Total
total,vegan,Count,0.99,0.98,1.01,0.9997125893314841,Restaurant,JHDN7CF1C03X5,Total
total,vegan,Count,1.12,1.06,1.18,1.0009647506041959,Restaurant,L69HYJ4Y3TR91,Total
total,vegan,Count,1.27,1.21,1.35,1.0002607778112778,Restaurant,ED5J990H5VAZT,Total
total,vegan,Count,1.03,1.01,1.04,1.0005548986522794,Restaurant,W8T41JZK0ZMEP,Total
total,vegan,Proportion,1.2037882108921085,1.1385395159938556,1.2768657796385043,1.0018497859288666,Restaurant,SRQS8F7JWA9MZ,Total
total,vegan,Proportion,1.0029602531456534,0.8513399225207846,1.1767163239645777,1.0017590915211874,Restaurant,2HRX9P6HKXA8V,Total
total,vegan,Proportion,0.9252855568989151,0.8469842998552983,1.0158242733348055,1.0003659644828025,Restaurant,JHDN7CF1C03X5,Total
total,vegan,Proportion,1.3824645957372221,1.1596989598793381,1.6497369685533512,1.0057606876565321,Restaurant,L69HYJ4Y3TR91,Total
total,vegan,Proportion,1.1663760453543888,1.0500712315941094,1.294170633985754,1.0014639301403847,Restaurant,ED5J990H5VAZT,Total
total,vegan,Proportion,1.128843996786771,1.0304653117863476,1.2425101905916196,1.0021017416661198,Restaurant,W8T41JZK0ZMEP,Total
total,vegetarian,Count,1.06,1.04,1.09,1.0031119224841982,Restaurant,SRQS8F7JWA9MZ,Total
total,vegetarian,Count,1.01,0.94,1.08,1.0085842497985436,Restaurant,2HRX9P6HKXA8V,Total
total,vegetarian,Count,1,0.99,1.02,1.000743630169403,Restaurant,JHDN7CF1C03X5,Total
total,vegetarian,Count,1.07,1.03,1.11,1.0079404710860673,Restaurant,L69HYJ4Y3TR91,Total
total,vegetarian,Count,1.11,1.09,1.14,1.0004427149025357,Restaurant,ED5J990H5VAZT,Total
total,vegetarian,Count,1.02,1.01,1.03,1.000609449230466,Restaurant,W8T41JZK0ZMEP,Total
total,vegetarian,Proportion,1.0998411800099641,1.0557299559853683,1.1481227094267568,1.0004836745843153,Restaurant,SRQS8F7JWA9MZ,Total
total,vegetarian,Proportion,1.044123984639697,0.8739716291356506,1.1830345510319877,1.0064553162768997,Restaurant,2HRX9P6HKXA8V,Total
total,vegetarian,Proportion,1.0385688332697405,0.9384855431870388,1.13051268020414,1.0145408961366638,Restaurant,JHDN7CF1C03X5,Total
total,vegetarian,Proportion,1.1932064343076842,1.0519880555770451,1.4500187368137778,1.0229312371202928,Restaurant,L69HYJ4Y3TR91,Total
total,vegetarian,Proportion,1.1548650678821377,1.058159820292016,1.280260877611609,1.0119345852308799,Restaurant,ED5J990H5VAZT,Total
total,vegetarian,Proportion,1.1708049129648923,1.0679618300990312,1.3175987353894736,1.0097281611138869,Restaurant,W8T41JZK0ZMEP,Total
nonvegan,mpbamod,Count,1.2,1.13,1.29,1.002570422870471,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,mpbamod,Count,0.91,0.77,1.06,1.0014599497979777,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,mpbamod,Count,1,0.97,1.03,1.0021661346107695,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,mpbamod,Count,1.07,0.94,1.23,1.007156468161086,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,mpbamod,Count,1.02,1,1.04,1.0005175358269083,Restaurant,ED5J990H5VAZT,Animal
nonvegan,mpbamod,Count,1.02,1,1.04,1.0004728256587565,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,mpbamod,Proportion,1.1888523221053675,1.1115762237178446,1.2721323532877689,1.0008902008909388,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,mpbamod,Proportion,0.8977344508701224,0.6762433378062414,1.1076549166739913,1.0024786225661988,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,mpbamod,Proportion,0.9861703143068244,0.8835676359470228,1.102362896841745,1.0123569206913887,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,mpbamod,Proportion,1.0494252306643652,0.8376158603010033,1.356011183014287,1.0026035555940087,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,mpbamod,Proportion,1.0289284225448128,0.9938315630347766,1.0662900584785258,1.0077050919427775,Restaurant,ED5J990H5VAZT,Animal
nonvegan,mpbamod,Proportion,0.9838794565405263,0.8865681505652133,1.0932990799580533,1.0034493391452677,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,vegan,Count,2.26,1.95,2.64,1.0006234488679857,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,vegan,Count,1.01,0.92,1.11,1.0011037818453974,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegan,Count,0.99,0.97,1,0.9999233130737857,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegan,Count,1.1,1.04,1.15,1.0050097936646025,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegan,Count,1.27,1.2,1.34,1.0010063409921615,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegan,Count,1.04,1.02,1.05,1.0037323930157633,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,vegan,Proportion,1.1843497779440253,1.1233497625229583,1.2537967024973569,1.0005755842749888,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,vegan,Proportion,1.0048909381985118,0.8594928497600735,1.1620495159034718,1.0001264553862326,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegan,Proportion,0.8977344508701224,0.8154443636507333,0.9895192582062144,1.0006341010212834,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegan,Proportion,1.2932841785799247,1.083503918542181,1.569134094015928,1.0043354444557746,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegan,Proportion,1.1484108568244147,1.0342196941293802,1.275864703780241,1.0015765469725635,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegan,Proportion,1.096831852506676,0.9938315630347766,1.2161953140715362,1.0079166771865395,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,vegetarian,Count,1.07,1.04,1.09,1.0009234931006876,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,vegetarian,Count,1.01,0.95,1.08,1.0041025336399203,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegetarian,Count,1,0.99,1.01,1.0006101114593897,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegetarian,Count,1.06,1.02,1.1,1.004002474768875,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegetarian,Count,1.11,1.08,1.13,1.001269346363853,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegetarian,Count,1.03,1.01,1.04,1.0100938235167172,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,vegetarian,Proportion,1.100265093106018,1.055114547698332,1.1489852070249764,1.002084508679495,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,vegetarian,Proportion,1.0349560586847328,0.8772762586965452,1.1633371184295769,1.0209531651905168,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegetarian,Proportion,1.0113973287615656,0.9124435365554808,1.1088444625307663,1.0216583525588152,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegetarian,Proportion,1.1406985334187598,1.0019822247447452,1.3826813000049483,1.004785808990058,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegetarian,Proportion,1.1331373183758615,1.0413797439924106,1.2608011730832882,1.0017618445076375,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegetarian,Proportion,1.073370373006841,0.9742021249237081,1.1850024937030994,1.0036763632065218,Restaurant,W8T41JZK0ZMEP,Animal
meat,mpbamod,Count,1.13,1.04,1.22,1.0056280828587563,Restaurant,SRQS8F7JWA9MZ,Animal
meat,mpbamod,Count,0.97,0.82,1.1,1.0077159350856044,Restaurant,2HRX9P6HKXA8V,Animal
meat,mpbamod,Count,1,0.97,1.03,1.0002216079029713,Restaurant,JHDN7CF1C03X5,Animal
meat,mpbamod,Count,1.03,0.91,1.18,1.0052969134910552,Restaurant,L69HYJ4Y3TR91,Animal
meat,mpbamod,Count,1.02,1,1.04,1.001000159733376,Restaurant,ED5J990H5VAZT,Animal
meat,mpbamod,Count,1,0.98,1.02,1.0018913057635856,Restaurant,W8T41JZK0ZMEP,Animal
meat,mpbamod,Proportion,1.119427181170775,1.0500712315941094,1.2001600575667746,1.0114853198828844,Restaurant,SRQS8F7JWA9MZ,Animal
meat,mpbamod,Proportion,1.0183993761470242,0.8154443636507333,1.1615308587170674,1.0101686278567552,Restaurant,2HRX9P6HKXA8V,Animal
meat,mpbamod,Proportion,1.0825282218556607,0.9872980226511102,1.193816927533861,1.0037611059666358,Restaurant,JHDN7CF1C03X5,Animal
meat,mpbamod,Proportion,1.0500712315941094,0.8555037734677596,1.2371658645840293,1.006727718882712,Restaurant,L69HYJ4Y3TR91,Animal
meat,mpbamod,Proportion,1.0364147944268143,0.9850308790880502,1.0849527973813544,1.009268886138835,Restaurant,ED5J990H5VAZT,Animal
meat,mpbamod,Proportion,1.0474654632468505,0.9453388051113798,1.146963565187456,1.0060553839751816,Restaurant,W8T41JZK0ZMEP,Animal
meat,vegan,Count,2.61,2.21,3.11,1.0136226706171225,Restaurant,SRQS8F7JWA9MZ,Animal
meat,vegan,Count,0.98,0.88,1.08,1.0019690503933854,Restaurant,2HRX9P6HKXA8V,Animal
meat,vegan,Count,0.97,0.96,0.99,1.000191623105571,Restaurant,JHDN7CF1C03X5,Animal
meat,vegan,Count,1.09,1.02,1.16,0.9997251550921517,Restaurant,L69HYJ4Y3TR91,Animal
meat,vegan,Count,1.17,1.08,1.26,1.0014664454160562,Restaurant,ED5J990H5VAZT,Animal
meat,vegan,Count,0.99,0.98,1.01,1.0070589419442888,Restaurant,W8T41JZK0ZMEP,Animal
meat,vegan,Proportion,1.2570241546313097,1.1814832989196156,1.3406742973279453,1.0014877291304385,Restaurant,SRQS8F7JWA9MZ,Animal
meat,vegan,Proportion,0.9330329915368074,0.7860030855966228,1.102362896841745,1.00271351631673,Restaurant,2HRX9P6HKXA8V,Animal
meat,vegan,Proportion,0.8325532074018731,0.754770860611584,0.9101363514059139,0.9998838273396023,Restaurant,JHDN7CF1C03X5,Animal
meat,vegan,Proportion,1.2787376463944058,1.026583631304232,1.614658489827023,1.001048775400209,Restaurant,L69HYJ4Y3TR91,Animal
