outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group
Breakfast,Count,0.9544983871978563,0.9544983871978563,0.9938244474687227,0.701018343270223,1.4936328771185436,1.0138495953349884,Pooled,POOLED,finalized_redone_trunc,Animal
Breakfast,Presence,0.9844124303009457,0.9646596081778613,0.9844124303009457,0.9088697108281579,1.10020309546192,1.004456834235794,Pooled,POOLED,finalized_redone_trunc,Animal
Chicken,Count,1.1283518042765228,1.1283518042765228,1.0099997824342166,0.6959067030324766,1.8788493188265865,1.029184938511602,Pooled,POOLED,finalized_redone_trunc,Animal
Chicken,Presence,1.0204727833594698,1.4272239836825822,1.0204727833594698,0.9113379655306411,1.1579059694112581,1.0595111362013454,Pooled,POOLED,finalized_redone_trunc,Animal
Dairy,Count,1.0262566367271304,1.0262566367271304,1.002496622009085,0.8695279941664278,1.0778505402861305,1.043016897309382,Pooled,POOLED,finalized_redone_trunc,Animal
Dairy,Presence,1.0091076100930212,1.2450640002000215,1.0091076100930212,0.9039924684366987,1.131706024066723,1.0524472241262193,Pooled,POOLED,finalized_redone_trunc,Animal
Egg,Count,1.077284769525032,1.077284769525032,1.0052558061287828,0.6539684959601296,1.809957112055424,1.0097180539500654,Pooled,POOLED,finalized_redone_trunc,Animal
Egg,Presence,1.0106790393653964,1.2728469669095528,1.0106790393653964,0.8986105427480306,1.1358991330187052,1.0020904999743245,Pooled,POOLED,finalized_redone_trunc,Animal
Total (A1),Count,1.0332584814347086,1.0332584814347086,1.0031027374384347,0.8973927404584473,1.1577098656956915,1.0246103689293478,Pooled,POOLED,finalized_redone_trunc,Total
Total (A1),Presence,1.0239266049540283,1.4402332098743686,1.0239266049540283,0.9152805121811738,1.135186069065812,1.0119905071951012,Pooled,POOLED,finalized_redone_trunc,Total
Breakfast,Count,0.92,NA,0.9914099375802411,0.77,1.1,1.0005194010918412,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,Animal
Breakfast,Count,0.91,NA,0.9906400125831298,0.8,1.03,1.0013514761720212,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Breakfast,Count,0.94,NA,0.9931083206487682,0.73,1.22,1.001413308754952,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,Animal
Breakfast,Presence,1.023002376400692,NA,1.023002376400692,0.867004045984223,1.3320685781293047,1.00949610724137,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,Animal
Breakfast,Presence,0.9407358536805698,NA,0.9407358536805698,0.9124435365554808,0.9703382962383449,1.0009043220229614,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Breakfast,Presence,0.9905802884568966,NA,0.9905802884568966,0.9533210199136081,1.026583631304232,1.000202350857892,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,Animal
Chicken,Count,1.07,NA,1.0064136146004503,1.02,1.11,1.0080412273550594,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Chicken,Count,1.13,NA,1.0122679332752775,1.05,1.22,1.0116982663743859,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Chicken,Presence,1.071673526169567,NA,1.071673526169567,0.8835676359470228,1.4479231182334018,1.2787738987163326,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Chicken,Presence,1.0233441742033491,NA,1.0233441742033491,1.0058439001618265,1.042759988957706,1.1959940624411158,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Dairy,Count,1.03,NA,1.0031786209467182,1,1.06,1.0043587644717613,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Dairy,Count,1.04,NA,1.0036502085192096,1.01,1.07,1.0021742776183384,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Dairy,Count,1.04,NA,1.0036724945391193,1.02,1.06,1.000780916529724,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Dairy,Presence,0.9997437601862861,NA,0.9997437601862861,0.9861703143068244,1.0131890444241456,1.001576921177201,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Dairy,Presence,1.110245276968003,NA,1.110245276968003,0.8894799631049141,1.7456981266106786,1.0256382347999196,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Dairy,Presence,1.0242249806575336,NA,1.0242249806575336,0.8376158603010033,1.2700542257903127,1.0428190002520743,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Egg,Count,1.03,NA,1.0028119194370995,0.98,1.07,1.0001616984894242,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Egg,Count,1.06,NA,1.005503763647419,1.02,1.09,1.0016910237543852,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Egg,Presence,1.0098752972660445,NA,1.0098752972660445,0.9861703143068244,1.0342196941293802,1.0007150739266082,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Egg,Presence,1.0107839907679395,NA,1.0107839907679395,0.8089433786991753,1.2105832751075947,1.0028886321343649,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Untextured,Count,1.1,NA,1.0092842267936095,1.01,1.21,1.273588304635101,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,Animal
Untextured,Presence,1.0092842267936095,NA,1.0092842267936095,1.0009955282949736,1.0192448764914566,1.273588304635101,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,Animal
