outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,color_group
total,Level Change,1.0679081528144854,1.0679081528144854,0.9725404845487229,1.1903216324805947,1.0085524776850567,169.89028272599504,Pooled,POOLED,Total
total,Slope Change,1.8584062605211842,1.8584062605211842,1.1028435805753642,2.602227346436477,1.013251888284324,139.98959807415932,Pooled,POOLED,Total
nonvegan,Level Change,1.0557416003527955,1.0557416003527955,0.9432502477330593,1.1741489649194978,1.0054869099888042,298.36150351031165,Pooled,POOLED,Animal
nonvegan,Slope Change,1.8182795296530063,1.8182795296530063,1.1096579614492836,2.595718027821302,1.0125179070703023,191.28327441435508,Pooled,POOLED,Animal
meat,Level Change,1.0140242738644083,1.0140242738644083,0.9097175429641539,1.0928591878317768,1.0084344854007652,270.7462865489264,Pooled,POOLED,Animal
meat,Slope Change,1.733565083806732,1.733565083806732,1.0571555469982206,2.3726926512580238,1.012674953100152,156.89817574497906,Pooled,POOLED,Animal
chicken_fish,Level Change,0.947563740717657,0.947563740717657,0.68442926691398,1.11426968580188,1.0071502769648637,257.9581899961705,Pooled,POOLED,Animal
chicken_fish,Slope Change,1.834562660630337,1.834562660630337,0.7637243716503249,3.296084503775592,1.0102908775289072,172.9545764244596,Pooled,POOLED,Animal
vegetarian,Level Change,1.0968105965745638,1.0968105965745638,0.8993931237944752,1.3418754835435243,1.008104025216693,195.9857503162239,Pooled,POOLED,Plant-based
vegetarian,Slope Change,1.5032695670833747,1.5032695670833747,1.0452309962164517,2.403790580640292,1.0082776350491216,269.3483756152436,Pooled,POOLED,Plant-based
vegan,Level Change,1.124503094742771,1.124503094742771,1.004462918037268,1.3471927729570023,1.1128052779234932,44.960754539167084,Pooled,POOLED,Plant-based
vegan,Slope Change,1.1391484595191748,1.1391484595191748,0.6276775341770786,2.0071981612649865,1.191937741492016,12.145366912939082,Pooled,POOLED,Plant-based
total,Level Change,1.05,NA,0.98,1.12,1.0021290493696051,NA,Restaurant,VLZX7K2M9QD4T,Total
total,Slope Change,1.82,NA,0.98,2.87,1.004422407887125,NA,Restaurant,VLZX7K2M9QD4T,Total
total,Level Change,1.06,NA,0.96,1.17,1.0028025395924178,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Level Change,1.06,NA,0.97,1.16,1.0053651656663283,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Slope Change,0.35,NA,0.15,0.65,1.0024717977460817,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Slope Change,1.51,NA,0.67,2.88,1.0039399084626475,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Level Change,0.99,NA,0.83,1.11,1.0143692782999385,NA,Restaurant,2HRX9P6HKXA8V,Total
total,Slope Change,2,NA,1.24,3.16,1.0134104478785626,NA,Restaurant,2HRX9P6HKXA8V,Total
