outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,color_group,step_size
total,Level Change,0.0058725382576,-0.157369325,0.25666365,1.01355373767856,164.018249696776,Pooled,POOLED,Total,0.03636363636363637
total,Slope Change,0.0355401739596667,-0.2362435,0.2644802,1.01841545947306,139.159439706198,Pooled,POOLED,Total,0.06666666666666667
total,Gender x Level,0.0416488712884,-0.34975705,0.330633075,1.04451144411476,102.927526399675,Pooled,POOLED,Total,0.06666666666666667
nonvegan,Level Change,-0.0187943422176667,-0.26819565,0.2218596,1.02719426345497,196.895125506507,Pooled,POOLED,Animal,0.03636363636363637
nonvegan,Slope Change,0.0381643290074167,-0.25930055,0.33202135,1.04133282131263,84.2067513101857,Pooled,POOLED,Animal,0.06666666666666667
nonvegan,Gender x Level,0.0966887206173,-0.1942047,0.43017835,1.0373912609869,145.451941350658,Pooled,POOLED,Animal,0.06666666666666667
meat,Level Change,0.0158970809943967,-0.110298875,0.1444825,1.01190509572113,189.861865980202,Pooled,POOLED,Animal,0.03636363636363637
meat,Slope Change,0.1649198593303,-0.160587775,0.583639725,1.04448175457076,108.825780394026,Pooled,POOLED,Animal,0.06666666666666667
meat,Gender x Level,-0.0444200325917,-0.293702825,0.19849015,1.01694199540457,116.880128412869,Pooled,POOLED,Animal,0.06666666666666667
chicken_fish,Level Change,0.065282275,-0.114005,0.193754025,2.59984174527487,3.56819668605656,Pooled,POOLED,Animal,0.03636363636363637
chicken_fish,Slope Change,-0.152209353366667,-0.198799025,-0.0757572,2.52037569946999,3.61023560528629,Pooled,POOLED,Animal,0.06666666666666667
chicken_fish,Gender x Level,-0.0534191083,-0.0740311025,-0.0199122,3.14715467771338,3.39130767493599,Pooled,POOLED,Animal,0.06666666666666667
vegetarian,Level Change,-0.0270289260115,-0.175567875,0.102329225,1.02683598693921,142.067244349401,Pooled,POOLED,Plant-based,0.03636363636363637
vegetarian,Slope Change,-0.0532896272137,-0.382701775,0.2721682,1.01641939810617,165.258817020467,Pooled,POOLED,Plant-based,0.06666666666666667
vegetarian,Gender x Level,0.107610123617167,-0.165996125,0.317099825,1.00919534245136,129.31615102457,Pooled,POOLED,Plant-based,0.06666666666666667
vegan,Level Change,0.0118411328713667,-0.0933607625,0.109476175,1.12838474865292,24.1218648782872,Pooled,POOLED,Plant-based,0.03636363636363637
