outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
total,mpbamod,Count,1,1,1,1,1,NA,Pooled,POOLED,Total
total,mpbamod,Proportion,1,1,1,1,1,NA,Pooled,POOLED,Total
total,vegan,Count,1,1,1,1,1,NA,Pooled,POOLED,Total
total,vegan,Proportion,1,1,1,1,1,NA,Pooled,POOLED,Total
total,vegetarian,Count,1,1,1,1,1,NA,Pooled,POOLED,Total
total,vegetarian,Proportion,1,1,1,1,1,NA,Pooled,POOLED,Total
nonvegan,mpbamod,Count,0.9968010641898415,0.7524811161434249,1.2193989885183885,0.9968010641898415,0.9991555043683168,1.0217224815306314,Pooled,POOLED,Animal
nonvegan,mpbamod,Proportion,0.9970259569719001,0.8547350616329299,1.1554721952696165,1.2329458067878263,0.9970259569719001,1.0112045660038544,Pooled,POOLED,Animal
nonvegan,vegan,Count,0.9997863181905088,0.6004210889537517,1.5994879551586583,0.9997863181905088,0.9973785955121817,1.060854587784399,Pooled,POOLED,Animal
nonvegan,vegan,Proportion,0.9844848322759682,0.8453060137368614,1.1307082725604254,1.0944547454496305,0.9844848322759682,1.0162998606662785,Pooled,POOLED,Animal
nonvegan,vegetarian,Count,0.9987232261084228,0.9211893381257013,1.069535041896306,0.9987232261084228,0.9998131300204246,1.0189352443260047,Pooled,POOLED,Animal
nonvegan,vegetarian,Proportion,0.9809775636219411,0.8703383063896641,1.1119878310854139,0.9959535395278173,0.9809775636219411,1.0364743064444362,Pooled,POOLED,Animal
meat,mpbamod,Count,0.9921283604465105,0.85009028924315,1.1624233830457622,0.9921283604465105,0.9989428809859118,1.0219328815311688,Pooled,POOLED,Animal
meat,mpbamod,Proportion,1.032752244597219,0.9014155301070277,1.1749372859357559,1.6923967622452523,1.032752244597219,1.0055086051884847,Pooled,POOLED,Animal
meat,vegan,Count,1.0443159013313994,0.6138371279185556,1.5815856967080713,1.0443159013313994,1.0017671701353887,1.0258091599202765,Pooled,POOLED,Animal
meat,vegan,Proportion,0.9314190990273207,0.7873862583934562,1.0988892011949123,0.6859624478308487,0.9314190990273207,1.0327423702491652,Pooled,POOLED,Animal
meat,vegetarian,Count,0.9782417718346049,0.9058427777411985,1.0398493722096847,0.9782417718346049,0.9977556870727535,1.0052276987725548,Pooled,POOLED,Animal
meat,vegetarian,Proportion,0.861974686018215,0.7599815479573401,0.9862017146996509,0.28446932634855066,0.861974686018215,1.0492220139392971,Pooled,POOLED,Animal
chicken_fish,mpbamod,Count,0.9793385024665121,0.8348524490253568,1.1428462913377782,0.9793385024665121,0.9976543706663252,1.007685723385545,Pooled,POOLED,Animal
chicken_fish,mpbamod,Proportion,1.0135114270519952,0.8381350470385605,1.1955431966865206,1.6236008564424396,1.0135114270519952,1.000785081867011,Pooled,POOLED,Animal
chicken_fish,vegan,Count,0.9470884205046931,0.5936577821318821,1.4269360525759287,0.9470884205046931,0.9925202761314721,1.0028707062922775,Pooled,POOLED,Animal
chicken_fish,vegan,Proportion,0.9008863116404331,0.7456395481281985,1.0848196261578429,0.5310565763132478,0.9008863116404331,1.0032023899920162,Pooled,POOLED,Animal
chicken_fish,vegetarian,Count,1.0357639344965268,0.8915086178859298,1.2553803005416766,1.0357639344965268,1.0032025346746196,1.0307246701016723,Pooled,POOLED,Animal
chicken_fish,vegetarian,Proportion,0.8511382055169734,0.7057011897938092,1.0410174554960674,0.3146156834036413,0.8511382055169734,1.0022995470679332,Pooled,POOLED,Animal
vegetarian,mpbamod,Count,1.0339760840720196,0.7559853358609907,1.3157144814769262,1.0339760840720196,1.0024973463535365,1.066083400231267,Pooled,POOLED,Plant-based
vegetarian,mpbamod,Proportion,0.9742050710015301,0.8103806993768635,1.1656741946675708,1.113798967379113,0.9742050710015301,1.005116309399977,Pooled,POOLED,Plant-based
vegetarian,vegan,Count,1.0021457350512193,0.6601101212505639,1.4869037422033442,1.0021457350512193,0.9983658336958092,1.0237696383162251,Pooled,POOLED,Plant-based
vegetarian,vegan,Proportion,1.0131490664849714,0.8737476871292459,1.178338095953689,1.4787821387600089,1.0131490664849714,1.04992891750951,Pooled,POOLED,Plant-based
vegetarian,vegetarian,Count,1.020592229641516,0.8954945799859698,1.1230229647354733,1.020592229641516,1.0018946405961973,1.0135150510127704,Pooled,POOLED,Plant-based
vegetarian,vegetarian,Proportion,1.1024870033801937,0.9378331094508917,1.2572001085073332,3.306119357036408,1.1024870033801937,1.037881680033974,Pooled,POOLED,Plant-based
vegan,mpbamod,Count,1.0129148157659538,0.8431705384279655,1.2229174478952376,1.0129148157659538,1.0009138731444789,1.0097635999199097,Pooled,POOLED,Plant-based
