outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,color_group
Breakfast,Count,0.9243591125607947,0.6626739279982004,1.4001405291178417,0.9243591125607947,0.9904818219677258,1.0138495953349884,Pooled,POOLED,finalized_redone_trunc,Animal
Breakfast,Presence,0.9669811913600099,0.8471264084954588,1.12992502390906,0.982277410649141,0.9669811913600099,1.004456834235794,Pooled,POOLED,finalized_redone_trunc,Animal
Chicken,Count,1.0961692244503864,0.6603506613357871,1.8401172676342705,1.0961692244503864,1.006913766135538,1.029184938511602,Pooled,POOLED,finalized_redone_trunc,Animal
Chicken,Presence,1.0028029778795353,0.8653131776410699,1.1714976640714958,1.3646720171055609,1.0028029778795353,1.0595111362013454,Pooled,POOLED,finalized_redone_trunc,Animal
Dairy,Count,1.0072541581699008,0.8915704506103028,1.1606159203212563,1.0072541581699008,1.0005267450264852,1.043016897309382,Pooled,POOLED,finalized_redone_trunc,Animal
Dairy,Presence,0.9846473040911703,0.8535826157548093,1.138306461180982,1.0944697142231363,0.9846473040911703,1.0524472241262193,Pooled,POOLED,finalized_redone_trunc,Animal
Egg,Count,1.0467046966287565,0.6323531558492924,1.7693383355963288,1.0467046966287565,1.0021870689524484,1.0097180539500654,Pooled,POOLED,finalized_redone_trunc,Animal
Egg,Presence,0.9900197829244951,0.8445248879795768,1.150413056556557,1.2042081440519379,0.9900197829244951,1.0020904999743245,Pooled,POOLED,finalized_redone_trunc,Animal
Total (A1),Count,1,1,1,1,1,NA,Pooled,POOLED,finalized_redone_trunc,Total
Total (A1),Presence,1,1,1,1,1,NA,Pooled,POOLED,finalized_redone_trunc,Total
Breakfast,Count,1.02,0.81,1.29,NA,1.0017077286194813,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,Animal
Breakfast,Count,0.89,0.78,1,NA,0.9883819810569663,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Breakfast,Count,0.86,0.65,1.12,NA,0.9837605507033883,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,Animal
Breakfast,Presence,1.1306345696744973,0.8469842998552983,1.6254667749265155,NA,1.1306345696744973,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,Animal
Breakfast,Presence,0.9101247424246036,0.8705505632961241,0.9533210199136081,NA,0.9101247424246036,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Breakfast,Presence,0.9276991907003385,0.7247796636776955,1.1599622586540013,NA,0.9276991907003385,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,Animal
Chicken,Count,1.06,1.01,1.12,NA,1.006269327437577,NA,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Chicken,Count,1.11,1.03,1.21,NA,1.010609071211324,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Chicken,Presence,1.1360670869026084,0.8950584438464527,1.5804148228437185,NA,1.1360670869026084,NA,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Chicken,Presence,0.9721557254496244,0.8804725142695762,1.0696103757250688,NA,0.9721557254496244,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Dairy,Count,1.01,0.97,1.04,NA,1.0011276693793785,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Dairy,Count,1.04,1,1.08,NA,1.0034993892233748,NA,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Dairy,Count,1.02,0.99,1.05,NA,1.0020240632114386,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Dairy,Presence,0.9670851470141556,0.9330329915368074,1.0029602531456534,NA,0.9670851470141556,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Dairy,Presence,1.1921234917075048,0.9146993820210588,2.4754982991494123,NA,1.1921234917075048,NA,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Dairy,Presence,0.9634392630390692,0.7664958432641342,1.2089618135644327,NA,0.9634392630390692,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Egg,Count,1.01,0.96,1.05,NA,1.0006702500562463,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Egg,Count,1.04,1,1.08,NA,1.0038560699309726,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Egg,Presence,0.9768688954582511,0.9366995991172014,1.0200841112177017,NA,0.9768688954582511,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Egg,Presence,0.9597480526770675,0.7664958432641342,1.171046590191539,NA,0.9597480526770675,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Untextured,Count,0.91,0.82,1.04,NA,0.9909759286563904,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,Animal
Untextured,Presence,0.853573921377099,0.7943282347242815,0.9124435365554808,NA,0.853573921377099,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,Animal
