outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,color_group
breakfast,Level Change,0.8128700825049735,0.4929044337889213,1.326259958920184,0.8128700825049735,1.0004118007457974,2703.0039509176686,Pooled,POOLED,3,finalized_redone_trunc_cp,Animal
breakfast,Slope Change,0.5025091742297884,0.1788822832416469,1.3078234573753873,0.5025091742297884,1.0006544279997165,3934.897461442967,Pooled,POOLED,3,finalized_redone_trunc_cp,Animal
untextured,Level Change,1.093583282175733,0.4824135066988467,2.3340046181401397,1.093583282175733,1.0104291010457362,181.47865755348062,Pooled,POOLED,1,finalized_redone_trunc_cp,Animal
untextured,Slope Change,0.4338195367040142,0.14311457797026111,1.091054462059942,0.4338195367040142,1.011240363485403,176.72444119530238,Pooled,POOLED,1,finalized_redone_trunc_cp,Animal
Total (A3),Level Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc_cp,Total
Total (A3),Slope Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc_cp,Total
breakfast,Level Change,0.85,0.66,1.09,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,Animal
breakfast,Slope Change,0.3,0.16,0.53,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,Animal
breakfast,Level Change,0.83,0.59,1.16,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,Animal
breakfast,Slope Change,0.44,0.08,1.42,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,Animal
breakfast,Level Change,0.73,0.49,0.97,NA,NA,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,Animal
breakfast,Slope Change,0.66,0.33,1.15,NA,NA,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,Animal
textured,Level Change,1.17,1.06,1.29,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,Animal
textured,Slope Change,0.44,0.16,1.04,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,Animal
untextured,Level Change,1.02,0.86,1.22,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
untextured,Level Change,1.02,0.87,1.22,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
untextured,Level Change,0.99,0.84,1.18,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
untextured,Level Change,1,0.85,1.17,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
untextured,Slope Change,1.88,0.42,4.75,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
untextured,Slope Change,0.43,0.09,1.08,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
untextured,Slope Change,3.32,0.93,10.76,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
untextured,Slope Change,0.76,0.22,2.32,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
