outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
total,mpbamod,Count,0,0,0,1,1,NA,Pooled,POOLED,Total
total,mpbamod,Proportion,0,0,0,1,1,NA,Pooled,POOLED,Total
total,vegan,Count,0,0,0,1,1,NA,Pooled,POOLED,Total
total,vegan,Proportion,0,0,0,1,1,NA,Pooled,POOLED,Total
total,vegetarian,Count,0,0,0,1,1,NA,Pooled,POOLED,Total
total,vegetarian,Proportion,0,0,0,1,1,NA,Pooled,POOLED,Total
nonvegan,mpbamod,Count,-0.009050986612975,-0.2843793775,0.198358105,0.996801064189841,0.999155504368317,1.02172248153063,Pooled,POOLED,Animal
nonvegan,mpbamod,Proportion,-0.0558628476915,-1.569637275,1.445090875,1.23294580678783,0.9970259569719,1.01120456600385,Pooled,POOLED,Animal
nonvegan,vegan,Count,-0.029154966097725,-0.510124055,0.46968355,0.999786318190509,0.997378595512182,1.0608545877844,Pooled,POOLED,Animal
nonvegan,vegan,Proportion,-0.1843572129105,-1.6805657075,1.2284422625,1.09445474544963,0.984484832275968,1.01629986066628,Pooled,POOLED,Animal
nonvegan,vegetarian,Count,-0.001934781659375,-0.082089685,0.06722401375,0.998723226108423,0.999813130020425,1.018935244326,Pooled,POOLED,Animal
nonvegan,vegetarian,Proportion,-0.21104519630075,-1.38873285,1.061492525,0.995953539527817,0.980977563621941,1.03647430644444,Pooled,POOLED,Animal
meat,mpbamod,Count,-0.010872940965275,-0.1624127125,0.15050694925,0.992128360446511,0.998942880985912,1.02193288153117,Pooled,POOLED,Animal
meat,mpbamod,Proportion,0.2997432748005,-1.0378894,1.612147725,1.69239676224525,1.03275224459722,1.00550860518848,Pooled,POOLED,Animal
meat,vegan,Count,0.01472358384325,-0.48802565,0.458427949275,1.0443159013314,1.00176717013539,1.02580915992028,Pooled,POOLED,Animal
meat,vegan,Proportion,-0.74664848080201,-2.390363525,0.942998525,0.685962447830849,0.931419099027321,1.03274237024917,Pooled,POOLED,Animal
meat,vegetarian,Count,-0.0225208392532225,-0.0988895225,0.03907586825,0.978241771834605,0.997755687072754,1.00522769877255,Pooled,POOLED,Animal
meat,vegetarian,Proportion,-1.507623106156,-2.74461125,-0.138943664999999,0.284469326348551,0.861974686018215,1.0492220139393,Pooled,POOLED,Animal
chicken_fish,mpbamod,Count,-0.0237736923271525,-0.1805002775,0.1335218975,0.979338502466512,0.997654370666325,1.00768572338554,Pooled,POOLED,Animal
chicken_fish,mpbamod,Proportion,0.093210684975955,-1.765760375,1.7860064,1.62360085644244,1.013511427052,1.00078508186701,Pooled,POOLED,Animal
chicken_fish,vegan,Count,-0.077391199197,-0.52145225,0.355529525,0.947088420504693,0.992520276131472,1.00287070629228,Pooled,POOLED,Animal
chicken_fish,vegan,Proportion,-1.08943689536925,-2.93512975,0.814137300000001,0.531056576313248,0.900886311640433,1.00320238999202,Pooled,POOLED,Animal
