outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,color_group
Breakfast,Count,-0.09734097589445,-0.41147222275,0.336572609525,0.9243591125607947,0.9904818219677258,1.0138495953349884,Pooled,POOLED,finalized_redone_trunc,Animal
Breakfast,Presence,-0.3647414043243,-1.6590535284999999,1.2215128000000006,0.982277410649141,0.9669811913600099,1.004456834235794,Pooled,POOLED,finalized_redone_trunc,Animal
Chicken,Count,0.066422452508725,-0.41498428000000004,0.6098293020000001,1.0961692244503864,1.006913766135538,1.029184938511602,Pooled,POOLED,finalized_redone_trunc,Animal
Chicken,Presence,-0.0014867573545,-1.4466378249999998,1.5828298500000002,1.3646720171055609,1.0028029778795353,1.0595111362013454,Pooled,POOLED,finalized_redone_trunc,Animal
Dairy,Count,0.00504964875515,-0.11477082000000001,0.14895083,1.0072541581699008,1.0005267450264852,1.043016897309382,Pooled,POOLED,finalized_redone_trunc,Animal
Dairy,Presence,-0.1802926612419,-1.58312945,1.295415975000001,1.0944697142231363,0.9846473040911703,1.0524472241262193,Pooled,POOLED,finalized_redone_trunc,Animal
Egg,Count,0.019260822792549998,-0.45830725,0.570605655,1.0467046966287565,1.0021870689524484,1.0097180539500654,Pooled,POOLED,finalized_redone_trunc,Animal
Egg,Presence,-0.13041978850255,-1.6898107250000003,1.4012105750000001,1.2042081440519379,0.9900197829244951,1.0020904999743245,Pooled,POOLED,finalized_redone_trunc,Animal
Total (A1),Count,0,0,0,1,1,NA,Pooled,POOLED,finalized_redone_trunc,Total
Total (A1),Presence,0,0,0,1,1,NA,Pooled,POOLED,finalized_redone_trunc,Total
Breakfast,Count,0.01980262729617973,-0.21072103131565253,0.25464221837358075,NA,1.0017077286194813,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,Animal
Breakfast,Count,-0.11653381625595151,-0.2484613592984996,0,NA,0.9883819810569663,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Breakfast,Count,-0.15082288973458366,-0.4307829160924542,0.11332868530700327,NA,0.9837605507033883,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,Animal
Breakfast,Presence,6.173285978860254,-1.6607312068216509,4.8579502064306075,NA,1.1306345696744973,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,Animal
Breakfast,Presence,-0.916290731874155,-1.3862943611198906,-0.4780358009429998,NA,0.9101247424246036,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Breakfast,Presence,-0.05129329438755058,-3.2188758248682006,1.4838746894587547,NA,0.9276991907003385,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,Animal
Chicken,Count,0.058268908123975824,0.009950330853168092,0.11332868530700327,NA,1.006269327437577,NA,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Chicken,Count,0.10436001532424286,0.02955880224154443,0.1906203596086497,NA,1.010609071211324,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Chicken,Presence,6.900911916500129,-1.1086626245216111,4.576873586832978,NA,1.1360670869026084,NA,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Chicken,Presence,-0.1743533871447778,-1.2729656758128873,0.6729444732424258,NA,0.9721557254496244,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Dairy,Count,0.009950330853168092,-0.030459207484708574,0.03922071315328133,NA,1.0011276693793785,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Dairy,Count,0.03922071315328133,0,0.0769610411361284,NA,1.0034993892233748,NA,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Dairy,Count,0.01980262729617973,-0.01005033585350145,0.04879016416943205,NA,1.0020240632114386,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Dairy,Presence,-0.31471074483970024,-0.6931471805599453,0.02955880224154443,NA,0.9670851470141556,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Dairy,Presence,17.834347316648785,-0.8915981192837836,9.064417087455487,NA,1.1921234917075048,NA,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Dairy,Presence,1.5518087995974639,-2.659260036932778,1.8976198599275322,NA,0.9634392630390692,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Egg,Count,0.009950330853168092,-0.040821994520255166,0.04879016416943205,NA,1.0006702500562463,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Egg,Count,0.03922071315328133,0,0.0769610411361284,NA,1.0038560699309726,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Egg,Presence,-0.21072103131565253,-0.6539264674066639,0.19885085874516517,NA,0.9768688954582511,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Egg,Presence,0.10436001532424286,-2.659260036932778,1.5789787049493917,NA,0.9597480526770675,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Untextured,Count,-0.09431067947124129,-0.19845093872383832,0.03922071315328133,NA,0.9909759286563904,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,Animal
Untextured,Presence,-1.5141277326297755,-2.3025850929940455,-0.916290731874155,NA,0.853573921377099,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,Animal
