outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,color_group,implied_from,n_negative,n_total_draws
total,Level Change,1,1,1,1,NA,NA,Pooled,POOLED,Total,NA,NA,NA
total,Slope Change,1,1,1,1,NA,NA,Pooled,POOLED,Total,NA,NA,NA
nonvegan,Level Change,0.9908318110629576,0.8559159796691386,1.135251920281627,0.9908318110629576,1.0054869099888042,298.36150351031165,Pooled,POOLED,Animal,NA,NA,NA
nonvegan,Slope Change,1.022818851414204,0.5570225514675657,1.8353189984223153,1.022818851414204,1.0125179070703023,191.28327441435508,Pooled,POOLED,Animal,NA,NA,NA
meat,Level Change,0.9517870748113803,0.8216081136422376,1.0705888674214856,0.9517870748113803,1.0084344854007652,270.7462865489264,Pooled,POOLED,Animal,NA,NA,NA
meat,Slope Change,0.9722990628871314,0.530973162738259,1.7771886755761845,0.9722990628871314,1.012674953100152,156.89817574497906,Pooled,POOLED,Animal,NA,NA,NA
chicken_fish,Level Change,0.8893459253600495,0.6327134926797146,1.074135210518318,0.8893459253600495,1.0071502769648637,257.9581899961705,Pooled,POOLED,Animal,NA,NA,NA
chicken_fish,Slope Change,1.0271207507805948,0.3778888119171477,2.0657945554045347,1.0271207507805948,1.0102908775289072,172.9545764244596,Pooled,POOLED,Animal,NA,NA,NA
vegetarian,Level Change,1.0295887581232548,0.8129708885638226,1.27404931157024,1.0295887581232548,1.008104025216693,195.9857503162239,Pooled,POOLED,Plant-based,NA,NA,NA
vegetarian,Slope Change,0.8442214208144063,0.48619596071585447,1.5577109049500166,0.8442214208144063,1.0082776350491216,269.3483756152436,Pooled,POOLED,Plant-based,NA,NA,NA
vegan,Level Change,1.055308286619652,0.899586795225634,1.2874578723299508,1.055308286619652,1.1128052779234932,44.960754539167084,Pooled,POOLED,Plant-based,NA,NA,NA
vegan,Slope Change,0.6413439211288826,0.3153903274463589,1.3070002749378231,0.6413439211288826,1.191937741492016,12.145366912939082,Pooled,POOLED,Plant-based,NA,NA,NA
nonvegan,Level Change,1,0.91,1.09,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Animal,NA,NA,NA
nonvegan,Slope Change,1.08,0.45,2.18,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Animal,NA,NA,NA
nonvegan,Level Change,1,0.88,1.14,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
nonvegan,Level Change,1.01,0.88,1.15,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
nonvegan,Level Change,1,0.87,1.14,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
nonvegan,Level Change,1,0.88,1.13,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
nonvegan,Slope Change,1.24,0.38,3.04,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
nonvegan,Slope Change,0.28,0.09,0.66,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
nonvegan,Slope Change,4.86,1.61,11.77,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
nonvegan,Slope Change,1.13,0.34,2.72,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
nonvegan,Level Change,1,0.79,1.23,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Animal,NA,NA,NA
nonvegan,Slope Change,1.05,0.53,1.92,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Animal,NA,NA,NA
nonvegan,Level Change,1,0.89,1.11,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Animal,NA,NA,NA
nonvegan,Slope Change,1.05,0.8,1.33,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Animal,NA,NA,NA
nonvegan,Level Change,1,0.8,1.25,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Animal,NA,NA,NA
nonvegan,Slope Change,1.07,0.35,2.48,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Animal,NA,NA,NA
nonvegan,Level Change,0.99,0.84,1.17,NA,NA,NA,Restaurant,ED5J990H5VAZT,Animal,NA,NA,NA
nonvegan,Slope Change,0.95,0.66,1.36,NA,NA,NA,Restaurant,ED5J990H5VAZT,Animal,NA,NA,NA
meat,Level Change,0.99,0.91,1.09,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Animal,NA,NA,NA
meat,Slope Change,1,0.42,1.97,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Animal,NA,NA,NA
meat,Level Change,0.97,0.84,1.1,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
meat,Level Change,0.97,0.85,1.1,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
meat,Level Change,0.97,0.85,1.1,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
meat,Level Change,0.97,0.86,1.1,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
meat,Slope Change,1.13,0.35,2.71,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
meat,Slope Change,0.26,0.08,0.69,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
meat,Slope Change,4.99,1.48,12.11,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
meat,Slope Change,1.14,0.38,2.74,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Animal,NA,NA,NA
meat,Level Change,1,0.8,1.23,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Animal,NA,NA,NA
meat,Slope Change,0.91,0.43,1.59,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Animal,NA,NA,NA
meat,Level Change,0.95,0.85,1.05,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Animal,NA,NA,NA
meat,Slope Change,1.01,0.77,1.28,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Animal,NA,NA,NA
meat,Level Change,0.9,0.71,1.05,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Animal,NA,NA,NA
meat,Slope Change,0.95,0.32,2,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Animal,NA,NA,NA
meat,Level Change,0.95,0.78,1.11,NA,NA,NA,Restaurant,ED5J990H5VAZT,Animal,NA,NA,NA
meat,Slope Change,1.02,0.67,1.47,NA,NA,NA,Restaurant,ED5J990H5VAZT,Animal,NA,NA,NA
chicken_fish,Level Change,0.95,0.86,1.04,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Animal,NA,NA,NA
chicken_fish,Slope Change,0.74,0.28,1.6,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Animal,NA,NA,NA
chicken_fish,Level Change,0.95,0.73,1.2,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Animal,NA,NA,NA
chicken_fish,Slope Change,0.81,0.39,1.41,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Animal,NA,NA,NA
chicken_fish,Level Change,0.92,0.81,1.03,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Animal,NA,NA,NA
chicken_fish,Slope Change,0.98,0.74,1.27,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Animal,NA,NA,NA
chicken_fish,Level Change,0.87,0.53,1.25,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Animal,NA,NA,NA
chicken_fish,Slope Change,1.49,0.19,4.96,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Animal,NA,NA,NA
chicken_fish,Level Change,0.82,0.48,1.05,NA,NA,NA,Restaurant,ED5J990H5VAZT,Animal,NA,NA,NA
chicken_fish,Slope Change,2.11,0.96,4,NA,NA,NA,Restaurant,ED5J990H5VAZT,Animal,NA,NA,NA
vegetarian,Level Change,1,0.91,1.11,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,NA,NA,NA
vegetarian,Slope Change,0.93,0.44,1.89,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,NA,NA,NA
vegetarian,Level Change,1.12,0.97,1.31,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Level Change,1.13,0.97,1.31,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Level Change,1.08,0.93,1.24,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Level Change,1.08,0.94,1.24,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Slope Change,1.92,0.57,4.62,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Slope Change,0.44,0.13,1.09,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Slope Change,3.66,1.09,9.9,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Slope Change,0.84,0.25,2.15,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Level Change,0.89,0.7,1.14,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,NA,NA,NA
vegetarian,Slope Change,0.85,0.43,1.67,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,NA,NA,NA
vegetarian,Level Change,1.01,0.9,1.13,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Plant-based,NA,NA,NA
vegetarian,Slope Change,0.73,0.55,0.93,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Plant-based,NA,NA,NA
vegetarian,Level Change,1.2,0.89,1.59,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,NA,NA,NA
vegetarian,Slope Change,0.95,0.29,2.74,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,NA,NA,NA
vegetarian,Level Change,1.05,0.9,1.22,NA,NA,NA,Restaurant,ED5J990H5VAZT,Plant-based,NA,NA,NA
vegetarian,Slope Change,0.82,0.59,1.12,NA,NA,NA,Restaurant,ED5J990H5VAZT,Plant-based,NA,NA,NA
vegan,Level Change,1.11,1,1.22,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,NA,NA,NA
vegan,Slope Change,0.49,0.18,1.01,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,NA,NA,NA
vegan,Level Change,1.05,0.91,1.2,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Level Change,1.05,0.91,1.21,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Level Change,1.11,0.97,1.28,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Level Change,1.11,0.98,1.28,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Slope Change,2.1,0.57,4.85,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Slope Change,0.49,0.14,1.23,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Slope Change,7.41,2.12,19.99,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Slope Change,1.71,0.53,4.62,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Level Change,1.04,0.86,1.28,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,NA,NA,NA
vegan,Slope Change,0.67,0.37,1.07,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,NA,NA,NA
vegan,Level Change,0.97,0.86,1.07,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Plant-based,NA,NA,NA
vegan,Slope Change,0.52,0.41,0.65,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Plant-based,NA,NA,NA
vegan,Level Change,1.04,0.82,1.35,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,NA,NA,NA
vegan,Slope Change,1.47,0.28,5.38,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,NA,NA,NA
vegan,Level Change,1.13,0.94,1.46,NA,NA,NA,Restaurant,ED5J990H5VAZT,Plant-based,NA,NA,NA
vegan,Slope Change,0.82,0.56,1.19,NA,NA,NA,Restaurant,ED5J990H5VAZT,Plant-based,NA,NA,NA
vegetarian,Level Change,1.0723193877829296,0.8941166911283025,1.2675878286585314,NA,NA,NA,Implied,IMPLIED,Implied Veg,meat,0,6000
vegan,Level Change,1.0825137004333811,-0.2172672825505442,2.2967561774759018,NA,NA,NA,Implied,IMPLIED,Implied Vegan,nonvegan,261,6000
vegetarian,Slope Change,1.041551405669303,-0.1657831915160028,1.7035402524913466,NA,NA,NA,Implied,IMPLIED,Implied Veg,meat,193,6000
vegan,Slope Change,0.7946303372721643,-6.517871570853842,4.98679701001342,NA,NA,NA,Implied,IMPLIED,Implied Vegan,nonvegan,1747,6000
