outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
total,mpbamod,Count,1,1,1,1,1,NA,Pooled,POOLED,Total
total,mpbamod,Proportion,1,1,1,1,1,NA,Pooled,POOLED,Total
total,vegan,Count,1,1,1,1,1,NA,Pooled,POOLED,Total
total,vegan,Proportion,1,1,1,1,1,NA,Pooled,POOLED,Total
total,vegetarian,Count,1,1,1,1,1,NA,Pooled,POOLED,Total
total,vegetarian,Proportion,1,1,1,1,1,NA,Pooled,POOLED,Total
vegetarian,mpbamod,Count,1.00720761140073,0.9317848334705549,1.087640666857124,1.00720761140073,1.00064825793739,1.00986550584983,Pooled,POOLED,Plant-based
vegetarian,mpbamod,Proportion,1.01328551491492,0.8693943160791211,1.1885821953208613,1.52131897417438,1.01328551491492,1.02611729398468,Pooled,POOLED,Plant-based
vegetarian,vegan,Count,0.986664014102702,0.8851111983625071,1.0847853260595544,0.986664014102702,0.998534032897097,1.00211710872981,Pooled,POOLED,Plant-based
vegetarian,vegetarian,Proportion,1.03723568395833,0.9522685526517206,1.1302983569241551,1.57213393843071,1.03723568395833,1.01601935396981,Pooled,POOLED,Plant-based
vegan,mpbamod,Count,1.02425956324775,0.9408177903789429,1.121646786577542,1.02425956324775,1.00230843922715,1.0216551946903,Pooled,POOLED,Plant-based
vegan,mpbamod,Proportion,1.03423281544657,0.8604901064844075,1.2304860011438306,2.03996900251632,1.03423281544657,1.010702546537,Pooled,POOLED,Plant-based
vegan,vegan,Count,1.02643049448861,0.9155823429650082,1.1543475668103078,1.02643049448861,1.0024393218941,1.0050888444834,Pooled,POOLED,Plant-based
vegan,vegetarian,Proportion,0.987405960288995,0.9017501379213102,1.0858361132073078,0.978124381207143,0.987405960288995,1.00386486160666,Pooled,POOLED,Plant-based
vegetarian,mpbamod,Count,NA,0.9300863808627902,1.085263051574361,NA,1.00048809728026,1.008786766822,Restaurant,1SQPTEGYPH0GA,Plant-based
vegetarian,mpbamod,Count,NA,0.7507328853876445,1.154696886095064,NA,0.99380039086166,1.00225912838172,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,mpbamod,Count,NA,0.932964741112586,1.1418799712776684,NA,1.0030056970323,1.00204164032356,Restaurant,78AY09MVJVTYE,Plant-based
vegetarian,mpbamod,Count,NA,0.963757675870061,1.0178998571620148,NA,0.998826301229592,1.00394807978971,Restaurant,9XKJD8DQTH559,Plant-based
vegetarian,mpbamod,Count,NA,0.8849903042800353,1.2107676806493524,NA,1.00433748501962,1.00339202127266,Restaurant,C0BE4NDSW26QN,Plant-based
vegetarian,mpbamod,Count,NA,0.8953802351140198,1.0697817723786704,NA,0.997889655482409,1.00092231566852,Restaurant,CB2KHY1C2G9PT,Plant-based
vegetarian,mpbamod,Count,NA,0.9838474723197177,1.0209394359359354,NA,1.00035101855385,1.00924146294868,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,mpbamod,Count,NA,0.8023622564606556,1.1138706903694364,NA,0.995393398397786,1.00562554018403,Restaurant,EMBVNVD207CC6,Plant-based
vegetarian,mpbamod,Count,NA,0.9561461052964682,1.046394501160686,NA,0.999793277617015,1.00004995812083,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,mpbamod,Count,NA,0.8667087173920359,1.2352938726299452,NA,1.00477328417433,1.00076675558124,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,mpbamod,Count,NA,0.8781520632504414,1.0745136075268402,NA,0.996938113979668,1.00896957144368,Restaurant,LBZEEFSBJNB3Z,Plant-based
vegetarian,mpbamod,Count,NA,0.716460947310335,1.3719214887250413,NA,0.998033406904154,1.00778562272793,Restaurant,LFZFT3VASXPED,Plant-based
vegetarian,mpbamod,Count,NA,0.8423173050719169,1.2803659769736548,NA,1.00408345975463,1.01216838798767,Restaurant,LQ5EH4BKGV61T,Plant-based
vegetarian,mpbamod,Count,NA,0.8501785577438608,1.2030330915655476,NA,1.0016088845067,1.02518247567533,Restaurant,S8MT0YGD2KTN9,Plant-based
vegetarian,mpbamod,Count,NA,0.7570588793232719,1.2626198166923237,NA,0.997279221724684,1.00091151859584,Restaurant,SAFK7ND1HR6XS,Plant-based
vegetarian,mpbamod,Count,NA,1.0753480377731652,1.2790102066567888,NA,1.01578008497602,1.00732882147425,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,mpbamod,Count,NA,0.9538157221641412,1.0514889563263434,NA,1.00028606790456,1.01053926575522,Restaurant,V3Q26BHF3SE2H,Plant-based
vegetarian,mpbamod,Count,NA,0.9635932948285519,1.0224952801050655,NA,0.999074592654441,1.00262183880574,Restaurant,W8T41JZK0ZMEP,Plant-based
