"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"vegan","1SQPTEGYPH0GA","Level Change","Base",-0.0920460622515,-0.34619361185,0.04627278425
"vegan","1SQPTEGYPH0GA","Level Change","Base",-0.184712051778433,-0.399053983,0.03457479725
"vegan","1SQPTEGYPH0GA","Level Change","Base",-0.0694872766962667,-0.29221699,0.109018805
"vegan","1SQPTEGYPH0GA","Level Change","Base",0.479322567008567,0.1714359,0.773540985
"vegan","2HRX9P6HKXA8V","Level Change","Base",0.00962538829136667,-0.125568476,0.14490858275
"vegan","2HRX9P6HKXA8V","Level Change","Base",-0.025156211016566,-0.113678455,0.059595668
"vegan","2HRX9P6HKXA8V","Level Change","Base",0.00326205693526,-0.161696785,0.15993501
"vegan","2HRX9P6HKXA8V","Level Change","Base",0.1986176606659,0.011416845,0.3892877575
"vegan","78AY09MVJVTYE","Level Change","Base",-0.063451711636366,-0.249393565,0.08115591725
"vegan","78AY09MVJVTYE","Level Change","Base",-0.0263958277840333,-0.11392379,0.0548698325
"vegan","78AY09MVJVTYE","Level Change","Base",0.130322654227467,-0.0450910225,0.3502970925
"vegan","78AY09MVJVTYE","Level Change","Base",-0.214081999813833,-0.4744553325,0.03376437
"vegan","9XKJD8DQTH559","Level Change","Base",-0.114090796334466,-0.3254080525,0.11220929
"vegan","9XKJD8DQTH559","Level Change","Base",0.00495484926926667,-0.226571669,0.1868497104
"vegan","9XKJD8DQTH559","Level Change","Base",-0.06298849470907,-0.31092695,0.17121598925
"vegan","9XKJD8DQTH559","Level Change","Base",-0.0597974656475633,-0.28750494,0.1619123425
"vegan","9XKJD8DQTH559","Level Change","Base",-0.1550527002922,-0.4839612125,0.1636544175
"vegan","9XKJD8DQTH559","Level Change","Base",0.517218082766033,-0.089561515,1.3900144075
"vegan","9XKJD8DQTH559","Level Change","Base",-0.134787746988667,-0.45286078475,0.1754039125
"vegan","9XKJD8DQTH559","Level Change","Base",-0.515196292956997,-1.3242352625,0.0489999485
"vegan","C0BE4NDSW26QN","Level Change","Base",0.0509253681826667,-0.17623925,0.2797103575
"vegan","C0BE4NDSW26QN","Level Change","Base",0.0578853122793645,-0.157512905,0.2883857775
"vegan","C0BE4NDSW26QN","Level Change","Base",-0.00496690725603,-0.15518057525,0.1608692495
"vegan","C0BE4NDSW26QN","Level Change","Base",-0.0593118303399667,-0.24942183425,0.0942654075
"vegan","C0BE4NDSW26QN","Level Change","Base",-0.0309169946907733,-0.38775541,0.3115337235
"vegan","C0BE4NDSW26QN","Level Change","Base",-0.1075478401236,-0.68704070425,0.418705145
"vegan","C0BE4NDSW26QN","Level Change","Base",-0.03282606484819,-0.37540119,0.31456046
"vegan","C0BE4NDSW26QN","Level Change","Base",-0.09757060659093,-0.63073397,0.463748235
"vegan","ED5J990H5VAZT","Level Change","Base",0.0178845278364207,-0.04382734025,0.0811155465
"vegan","ED5J990H5VAZT","Level Change","Base",-0.00701416081916333,-0.1051023525,0.0879521715
"vegan","ED5J990H5VAZT","Level Change","Base",0.0150180482764433,-0.0309559754225,0.0612998507
"vegan","ED5J990H5VAZT","Level Change","Base",-0.0266238453704167,-0.07365265,0.01912994525
"vegan","EMBVNVD207CC6","Level Change","Base",-0.0916580550919967,-0.3362712575,0.05906107025
"vegan","EMBVNVD207CC6","Level Change","Base",-0.184791416967433,-0.4023150375,0.0430481675000001
"vegan","EMBVNVD207CC6","Level Change","Base",-0.0520281358296,-0.2263132384,0.10827817
"vegan","EMBVNVD207CC6","Level Change","Base",0.0228481918200367,-0.228804675,0.282369203
"vegan","L69HYJ4Y3TR91","Level Change","Base",-0.0367661029444633,-0.2074700575,0.110044265
"vegan","L69HYJ4Y3TR91","Level Change","Base",-0.0179962862716667,-0.269333313,0.240542355
"vegan","L69HYJ4Y3TR91","Level Change","Base",-0.176697345051233,-0.38015033,0.0155057625
"vegan","L69HYJ4Y3TR91","Level Change","Base",0.051631317813,-0.13612491175,0.23739695975
"vegan","LBZEEFSBJNB3Z","Level Change","Base",0.0370001620976,-0.087862785,0.18504934175
"vegan","LBZEEFSBJNB3Z","Level Change","Base",0.0965801259592,-0.07869526125,0.322775965
"vegan","LBZEEFSBJNB3Z","Level Change","Base",0.118981474498667,-0.02301749475,0.27993901375
"vegan","LBZEEFSBJNB3Z","Level Change","Base",-0.0902379317363333,-0.2237446333,0.042454402
"vegan","LQ5EH4BKGV61T","Level Change","Base",-0.00220412516993333,-0.20504389,0.2206660175
"vegan","LQ5EH4BKGV61T","Level Change","Base",-0.0193372005316,-0.303488005,0.2564910725
"vegan","LQ5EH4BKGV61T","Level Change","Base",-0.00554809756918667,-0.2934913805,0.28431469
"vegan","LQ5EH4BKGV61T","Level Change","Base",0.0435485547801333,-0.43962645,0.548988557000001
"vegan","S8MT0YGD2KTN9","Level Change","Base",0.0450259256138867,-0.1041953175,0.274245553
"vegan","S8MT0YGD2KTN9","Level Change","Base",-0.0213424509640333,-0.1396795,0.1084506325
"vegan","S8MT0YGD2KTN9","Level Change","Base",0.0273925998929233,-0.128228189,0.18871857575
"vegan","S8MT0YGD2KTN9","Level Change","Base",0.0869851059580467,-0.123454635,0.30398233075
"vegan","SAFK7ND1HR6XS","Level Change","Base",-0.0332291850348533,-0.17186231825,0.10020861675
"vegan","SAFK7ND1HR6XS","Level Change","Base",-0.0285835928827133,-0.29828317875,0.241235265
"vegan","SAFK7ND1HR6XS","Level Change","Base",-0.0398575507653167,-0.205056113,0.1058657285
"vegan","SAFK7ND1HR6XS","Level Change","Base",0.0276394174315667,-0.164382525,0.231120225
"vegan","SRQS8F7JWA9MZ","Level Change","Base",-0.0237484811111667,-0.12149181,0.071353515
"vegan","SRQS8F7JWA9MZ","Level Change","Base",0.0338528007919333,-0.064258785,0.1328817125
"vegan","SRQS8F7JWA9MZ","Level Change","Base",0.0775988567047224,-0.108212945,0.30378393
"vegan","SRQS8F7JWA9MZ","Level Change","Base",0.0562614158425233,-0.16346395775,0.25053915
"vegan","SRQS8F7JWA9MZ","Level Change","Base",-0.101255512262467,-0.2743165275,0.0552655575
"vegan","SRQS8F7JWA9MZ","Level Change","Base",0.02907143572443,-0.137867855,0.2036665325
"vegan","SRQS8F7JWA9MZ","Level Change","Base",0.0698116507336667,-0.09039949,0.250891193
"vegan","SRQS8F7JWA9MZ","Level Change","Base",0.01237412419274,-0.1687510835,0.186322055
"vegan","V3Q26BHF3SE2H","Level Change","Base",0.0457572063554333,-0.0966929275,0.19372350425
"vegan","V3Q26BHF3SE2H","Level Change","Base",0.0750615426490067,-0.06953717675,0.209210825
"vegan","V3Q26BHF3SE2H","Level Change","Base",-0.1043905131888,-0.24388751,0.02087328
"vegan","V3Q26BHF3SE2H","Level Change","Base",0.0042356732044,-0.120150345,0.1474190275
"vegan","V3Q26BHF3SE2H","Level Change","Base",0.01325180938912,-0.26420627425,0.274087275
"vegan","V3Q26BHF3SE2H","Level Change","Base",0.0141571720702267,-0.2545473875,0.248147465
"vegan","V3Q26BHF3SE2H","Level Change","Base",0.0560631774721,-0.1532774975,0.34337078375
"vegan","V3Q26BHF3SE2H","Level Change","Base",0.0147515439055633,-0.258447715,0.25334963
"vegan","V3Q26BHF3SE2H","Level Change","Base",0.0392813803413933,-0.24024603025,0.318955828
"vegan","V3Q26BHF3SE2H","Level Change","Base",0.21734343774601,-0.0625123225,0.5878612125
"vegan","V3Q26BHF3SE2H","Level Change","Base",-0.0389035259914333,-0.29013165225,0.2003845525
"vegan","V3Q26BHF3SE2H","Level Change","Base",-0.0103472221934433,-0.31053385,0.2445878985
"vegan","V3Q26BHF3SE2H","Level Change","Base",0.0382703573025743,-0.1415376825,0.2241894375
"vegan","V3Q26BHF3SE2H","Level Change","Base",-0.0932058075433233,-0.283455785,0.0863181625
"vegan","V3Q26BHF3SE2H","Level Change","Base",0.00106084804486667,-0.2122991675,0.2037483325
"vegan","V3Q26BHF3SE2H","Level Change","Base",-0.140677265357533,-0.3739040025,0.080643735
"vegan","W8T41JZK0ZMEP","Level Change","Base",-0.0736305953554,-0.25863225,0.1278696
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.149540694912033,-0.041133975,0.339137315
"vegan","W8T41JZK0ZMEP","Level Change","Base",-0.108123991986667,-0.285514835,0.0566502625
"vegan","W8T41JZK0ZMEP","Level Change","Base",-0.0661063293625667,-0.2467608325,0.10110973775
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.000274904560033333,-0.193053025,0.2074007975
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.0279522141996733,-0.22412701825,0.30357993
"vegan","W8T41JZK0ZMEP","Level Change","Base",-0.0267093381540353,-0.3557492805,0.1811314425
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.03495724779257,-0.209888565,0.34159840725
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.0142275697501467,-0.23995383675,0.293210785
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.0224166595902567,-0.21992703075,0.287067117
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.2150697140506,-0.08580006475,0.6594146075
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.0641588818898,-0.23142103125,0.346781515
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.245101613699023,0.0183893175,0.4982205625
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.00234525534003333,-0.2234348275,0.222441855
"vegan","W8T41JZK0ZMEP","Level Change","Base",-0.1186429687964,-0.4096520675,0.140895035
"vegan","W8T41JZK0ZMEP","Level Change","Base",-0.0473533265859333,-0.3187341525,0.1967910675
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.0715293784395333,-0.18500652,0.3388142325
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.0995941748099333,-0.16872145025,0.387918182
"vegan","W8T41JZK0ZMEP","Level Change","Base",-0.258818280507733,-0.7440657225,0.0925198875
"vegan","W8T41JZK0ZMEP","Level Change","Base",0.151294177462967,-0.1396969475,0.4846415725
"vegan","pooled","Level Change","Base",-0.0187739962109667,-0.095078325,0.04884664
"vegan","pooled","Slope Change","Base",-0.0304824561470767,-0.1369705,0.066749755
"vegan","pooled","Gender x Level","Female",0.0481139529115567,-0.1049896365,0.202778886
"vegan","pooled","Gender x Level","Male",-0.00949477593306,-0.111399455,0.0793912425
