outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,color_group
total,Level Change,0,0,0,1,NA,NA,Pooled,POOLED,Total
total,Slope Change,0,0,0,1,NA,NA,Pooled,POOLED,Total
nonvegan,Level Change,0.0339083955571033,-0.2946098585,0.37668822225,1.04968115918956,1.00106356145795,1279.60284792116,Pooled,POOLED,Animal
nonvegan,Slope Change,-0.335380106158883,-0.845977790075,0.24546888625,0.742754627328319,1.00038859036906,1582.7839629192,Pooled,POOLED,Animal
meat,Level Change,-0.112251699073735,-0.3273495795,0.0899357295,0.898422301519873,1.69921625850374,696.747937932313,Pooled,POOLED,Animal
meat,Slope Change,-0.490839408335293,-0.98576283985,0.158952446475,0.638796691228968,1.25259089992189,20.111373835968,Pooled,POOLED,Animal
chicken_fish,Level Change,-0.0558815522410333,-0.322519675,0.2014143525,0.953914670432803,1.13349842644907,18.8462203546077,Pooled,POOLED,Animal
chicken_fish,Slope Change,-0.127731208795667,-0.666587225,0.417792605,0.91523107562978,1.03796914604619,50.9690407151888,Pooled,POOLED,Animal
vegetarian,Level Change,0.0445900580046,-0.1993437975,0.3952607425,1.05755175618114,1.22097268383495,11.7787782839776,Pooled,POOLED,Plant-based
vegetarian,Slope Change,-0.440730209415,-0.7511280625,-0.0185685925,0.655826562236651,1.01304501188119,33.1571399804258,Pooled,POOLED,Plant-based
vegan,Level Change,0.1167149759545,-0.295891275,0.4277367125,1.14194261584307,1.04002359987779,15.3156264336368,Pooled,POOLED,Plant-based
vegan,Slope Change,-0.447636519062,-0.7682521075,0.0212074599999998,0.652766019138968,1.09873305935545,43.1107127184188,Pooled,POOLED,Plant-based
