outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,color_group
total,Level Change,0.06450686309287666,1.0679081528144854,-0.027843575,0.17422354999999998,1.0085524776850567,169.89028272599504,Pooled,POOLED,Total
total,Slope Change,0.599781461695,1.8584062605211842,0.0978919175,0.9563677499999994,1.013251888284324,139.98959807415932,Pooled,POOLED,Total
nonvegan,Level Change,0.052940044437416664,1.0557416003527955,-0.058423657500000004,0.16054359999999998,1.0054869099888042,298.36150351031165,Pooled,POOLED,Animal
nonvegan,Slope Change,0.5773673924438333,1.8182795296530063,0.104051825,0.953863175,1.0125179070703023,191.28327441435508,Pooled,POOLED,Animal
meat,Level Change,0.012961041357235,1.0140242738644083,-0.09462112,0.08879736999999985,1.0084344854007652,270.7462865489264,Pooled,POOLED,Animal
meat,Slope Change,0.530072719335,1.733565083806732,0.055581855,0.8640254499999999,1.012674953100152,156.89817574497906,Pooled,POOLED,Animal
chicken_fish,Level Change,-0.06051652020090267,0.947563740717657,-0.379169975,0.10819919999999983,1.0071502769648637,257.9581899961705,Pooled,POOLED,Animal
chicken_fish,Slope Change,0.5466047253965,1.834562660630337,-0.269548325,1.1927352499999997,1.0102908775289072,172.9545764244596,Pooled,POOLED,Animal
vegetarian,Level Change,0.08730268007679666,1.0968105965745638,-0.10603504999999999,0.2940682499999999,1.008104025216693,195.9857503162239,Pooled,POOLED,Plant-based
vegetarian,Slope Change,0.38809711752116666,1.5032695670833747,0.04423790999999999,0.8770468999999997,1.0082776350491216,269.3483756152436,Pooled,POOLED,Plant-based
vegan,Level Change,0.11472743455388333,1.124503094742771,0.004452988749999999,0.298023,1.1128052779234932,44.960754539167084,Pooled,POOLED,Plant-based
vegan,Slope Change,0.09172145075046667,1.1391484595191748,-0.465728725,0.6967397999999999,1.191937741492016,12.145366912939082,Pooled,POOLED,Plant-based
total,Level Change,0.04879016416943205,NA,-0.020202707317519466,0.11332868530700327,1.0021290493696051,NA,Restaurant,VLZX7K2M9QD4T,Total
total,Slope Change,0.598836501088704,NA,-0.020202707317519466,1.0543120297715298,1.004422407887125,NA,Restaurant,VLZX7K2M9QD4T,Total
total,Level Change,0.058268908123975824,NA,-0.040821994520255166,0.1570037488096647,1.0028025395924178,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Level Change,0.058268908123975824,NA,-0.030459207484708574,0.14842000511827322,1.0053651656663283,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Slope Change,-1.0498221244986778,NA,-1.8971199848858813,-0.4307829160924542,1.0024717977460817,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Slope Change,0.412109650826833,NA,-0.40047756659712525,1.0577902941478545,1.0039399084626475,NA,Restaurant,SRQS8F7JWA9MZ,Total
total,Level Change,-0.01005033585350145,NA,-0.18632957819149348,0.10436001532424286,1.0143692782999385,NA,Restaurant,2HRX9P6HKXA8V,Total
total,Slope Change,0.6931471805599453,NA,0.2151113796169455,1.1505720275988207,1.0134104478785626,NA,Restaurant,2HRX9P6HKXA8V,Total
total,Level Change,0.09531017980432493,NA,0.01980262729617973,0.17395330712343798,1.012191576010373,NA,Restaurant,JHDN7CF1C03X5,Total
total,Slope Change,0.7419373447293773,NA,0.5596157879354227,0.9242589015233319,1.0135951769632772,NA,Restaurant,JHDN7CF1C03X5,Total
total,Level Change,0.11332868530700327,NA,-0.01005033585350145,0.29266961396282004,1.0100413690745114,NA,Restaurant,L69HYJ4Y3TR91,Total
total,Slope Change,0.8712933659434193,NA,0.23111172096338664,1.7173950539391927,1.0042322465345728,NA,Restaurant,L69HYJ4Y3TR91,Total
total,Level Change,0.06765864847381486,NA,-0.06187540371808753,0.17395330712343798,1.0023105932110052,NA,Restaurant,ED5J990H5VAZT,Total
total,Slope Change,0.5306282510621704,NA,0.25464221837358075,0.7747271675523681,1.010274408786098,NA,Restaurant,ED5J990H5VAZT,Total
nonvegan,Level Change,0.03922071315328133,NA,-0.030459207484708574,0.10436001532424286,1.0021370279500057,NA,Restaurant,VLZX7K2M9QD4T,Animal
nonvegan,Slope Change,0.6043159668533296,NA,-0.030459207484708574,1.085189268335969,1.0027359739371555,NA,Restaurant,VLZX7K2M9QD4T,Animal
nonvegan,Level Change,0.058268908123975824,NA,-0.030459207484708574,0.1570037488096647,1.0012141763866027,NA,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,Level Change,0.058268908123975824,NA,-0.030459207484708574,0.13976194237515863,1.0036573325518283,NA,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,Slope Change,-0.9942522733438669,NA,-1.7719568419318752,-0.342490308946776,1.0037904312052728,NA,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,Slope Change,0.3852624007906449,NA,-0.3856624808119846,1.0296194171811581,1.002376403455699,NA,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,Level Change,-0.020202707317519466,NA,-0.19845093872383832,0.09531017980432493,1.0069752134326762,NA,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,Slope Change,0.688134638736401,NA,0.20701416938432612,1.1568811967920856,1.0022708605212218,NA,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,Level Change,0.08617769624105241,NA,0.009950330853168092,0.16551443847757333,1.0075502508654977,NA,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,Slope Change,0.7747271675523681,NA,0.598836501088704,0.9555114450274363,1.002530021327755,NA,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,Level Change,0.10436001532424286,NA,-0.020202707317519466,0.28517894223366247,1.0016703457511182,NA,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,Slope Change,0.8153648132841944,NA,0.16551443847757333,1.4906543764441336,1.005532224109929,NA,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,Level Change,0.058268908123975824,NA,-0.07257069283483537,0.17395330712343798,1.0032846209679231,NA,Restaurant,ED5J990H5VAZT,Animal
nonvegan,Slope Change,0.47000362924573563,NA,0.22314355131420976,0.7227059828014898,1.0078649108167421,NA,Restaurant,ED5J990H5VAZT,Animal
meat,Level Change,0.03922071315328133,NA,-0.030459207484708574,0.10436001532424286,1.0084963344337379,NA,Restaurant,VLZX7K2M9QD4T,Animal
meat,Slope Change,0.5247285289349821,NA,-0.15082288973458366,0.9242589015233319,1.0193108249589182,NA,Restaurant,VLZX7K2M9QD4T,Animal
meat,Level Change,0.01980262729617973,NA,-0.07257069283483537,0.11332868530700327,1.0093241813073748,NA,Restaurant,SRQS8F7JWA9MZ,Animal
meat,Level Change,0.02955880224154443,NA,-0.06187540371808753,0.11332868530700327,1.010752574952451,NA,Restaurant,SRQS8F7JWA9MZ,Animal
meat,Slope Change,-1.0788096613719298,NA,-1.8971199848858813,-0.4307829160924542,1.0126446578946016,NA,Restaurant,SRQS8F7JWA9MZ,Animal
meat,Slope Change,0.4054651081081644,NA,-0.35667494393873245,1.0473189942805592,1.0151123981732555,NA,Restaurant,SRQS8F7JWA9MZ,Animal
meat,Level Change,-0.01005033585350145,NA,-0.1743533871447778,0.08617769624105241,1.0127477912060527,NA,Restaurant,2HRX9P6HKXA8V,Animal
meat,Slope Change,0.5481214085096876,NA,-0.020202707317519466,0.9122827104766164,1.012135571891188,NA,Restaurant,2HRX9P6HKXA8V,Animal
meat,Level Change,0.03922071315328133,NA,-0.030459207484708574,0.11332868530700327,1.006021929059193,NA,Restaurant,JHDN7CF1C03X5,Animal
meat,Slope Change,0.7371640659767196,NA,0.5653138090500605,0.9122827104766164,1.0079689026403285,NA,Restaurant,JHDN7CF1C03X5,Animal
meat,Level Change,0,NA,-0.1743533871447778,0.09531017980432493,1.0231665959892915,NA,Restaurant,L69HYJ4Y3TR91,Animal
meat,Slope Change,0.7030975114131134,NA,0.10436001532424286,1.2919836816486494,1.0094429261991007,NA,Restaurant,L69HYJ4Y3TR91,Animal
meat,Level Change,0.009950330853168092,NA,-0.15082288973458366,0.11332868530700327,1.0113452302730879,NA,Restaurant,ED5J990H5VAZT,Animal
meat,Slope Change,0.5306282510621704,NA,0.2151113796169455,0.8020015854720274,1.0058862955699077,NA,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,Level Change,-0.01005033585350145,NA,-0.07257069283483537,0.058268908123975824,1.0006742136705402,NA,Restaurant,VLZX7K2M9QD4T,Animal
chicken_fish,Slope Change,0.22314355131420976,NA,-0.5978370007556204,0.8372475245337022,1.0109795015482663,NA,Restaurant,VLZX7K2M9QD4T,Animal
chicken_fish,Level Change,-0.06187540371808753,NA,-0.3011050927839216,0.09531017980432493,1.0040275684335578,NA,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,Slope Change,0.4252677354043441,NA,-0.10536051565782628,0.8372475245337022,1.0170980012241875,NA,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,Level Change,0,NA,-0.08338160893905101,0.09531017980432493,1.0038455657793606,NA,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,Slope Change,0.7080357930536959,NA,0.5187937934151675,0.9001613499442714,1.012754723437179,NA,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,Level Change,-0.040821994520255166,NA,-0.5108256237659907,0.3148107398400336,1.0111650650587451,NA,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,Slope Change,1.1216775615991057,NA,-0.7339691750802004,2.2925347571405443,1.0064019219373304,NA,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,Level Change,-0.13926206733350766,NA,-0.6539264674066639,0.06765864847381486,1.01483584978293,NA,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,Slope Change,1.2612978709452054,NA,0.5423242908253617,1.8562979903656263,1.0338340291337957,NA,Restaurant,ED5J990H5VAZT,Animal
vegetarian,Level Change,0.04879016416943205,NA,-0.020202707317519466,0.12221763272424911,1.0074277059552699,NA,Restaurant,VLZX7K2M9QD4T,Plant-based
vegetarian,Slope Change,0.4574248470388755,NA,-0.040821994520255166,1.0116009116784799,1.007350094910933,NA,Restaurant,VLZX7K2M9QD4T,Plant-based
vegetarian,Level Change,0.17395330712343798,NA,0.058268908123975824,0.29266961396282004,1.0055892313489811,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,Level Change,0.131028262406404,NA,0.02955880224154443,0.23901690047049992,1.0014710377253992,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,Slope Change,-0.5447271754416722,NA,-1.4696759700589417,0.06765864847381486,1.00157577463286,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,Slope Change,0.09531017980432493,NA,-0.6931471805599453,0.8586616190375187,1.0033604391013131,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,Level Change,-0.12783337150988489,NA,-0.31471074483970024,0.06765864847381486,1.0073909251076838,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,Slope Change,0.47000362924573563,NA,0.06765864847381486,1.0508216248317612,1.0061120732981932,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,Level Change,0.10436001532424286,NA,0.009950330853168092,0.1823215567939546,1.0036687546698662,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,Slope Change,0.412109650826833,NA,0.23111172096338664,0.598836501088704,1.0056694167939262,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,Level Change,0.28517894223366247,NA,0.058268908123975824,0.5364933705145685,1.0066021214317584,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,Slope Change,0.688134638736401,NA,0.09531017980432493,1.6409365794934714,1.003061274681473,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,Level Change,0.10436001532424286,NA,0,0.2151113796169455,1.0014000133090861,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,Slope Change,0.3148107398400336,NA,0.12221763272424911,0.494696241836107,1.002468888975203,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegan,Level Change,0.14842000511827322,NA,0.06765864847381486,0.22314355131420976,1.0238487266121923,NA,Restaurant,VLZX7K2M9QD4T,Plant-based
vegan,Slope Change,-0.18632957819149348,NA,-1.0216512475319814,0.3148107398400336,1.1313382512215175,NA,Restaurant,VLZX7K2M9QD4T,Plant-based
vegan,Level Change,0.10436001532424286,NA,0,0.2151113796169455,1.0378381469111282,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Level Change,0.16551443847757333,NA,0.06765864847381486,0.2700271372130602,1.0250426477011696,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Slope Change,-0.4462871026284195,NA,-1.4271163556401458,0.14842000511827322,1.029556979535006,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Slope Change,0.8064758658669485,NA,-0.020202707317519466,1.6370530794670737,1.036257858669382,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Level Change,0.02955880224154443,NA,-0.10536051565782628,0.131028262406404,1.2554517461969803,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,Slope Change,0.23111172096338664,NA,0.03922071315328133,0.43178241642553783,1.1327213915599894,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,Level Change,0.058268908123975824,NA,-0.020202707317519466,0.131028262406404,1.0788879798587834,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,Slope Change,0.08617769624105241,NA,-0.05129329438755058,0.22314355131420976,1.0311961749971887,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,Level Change,0.13976194237515863,NA,-0.01005033585350145,0.371563556432483,1.0627745637220418,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,Slope Change,1.1184149159642893,NA,-0.030459207484708574,2.336986519711378,1.2153967185521373,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,Level Change,0.1823215567939546,NA,0.04879016416943205,0.41871033485818504,1.140969597481084,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegan,Slope Change,0.3148107398400336,NA,0.03922071315328133,0.6097655716208943,1.0361260672108592,NA,Restaurant,ED5J990H5VAZT,Plant-based
