outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group,n_rest_in_group,rest_rank,step_size
Breakfast,Count,1.6691326146085306,1.6691326146085306,1.052565386836218,0.5094957591023627,4.51613482137848,1.03017608585881,Pooled,POOLED,finalized_redone_trunc,Animal,11,NA,0.15
Breakfast,Presence,1.1263953706150096,3.2878240572337023,1.1263953706150096,0.9723245218771345,1.280688213195967,1.03929795693809,Pooled,POOLED,finalized_redone_trunc,Animal,11,NA,0.15
Chicken,Count,1.0794031239792226,1.0794031239792226,1.0076700881126759,0.9223702046804041,1.2637411647091077,1.01474424609042,Pooled,POOLED,finalized_redone_trunc,Animal,6,NA,0.15
Chicken,Presence,1.1550013667420997,4.224983151520977,1.1550013667420997,0.9941991696659465,1.3192788017798174,1.0023350263566,Pooled,POOLED,finalized_redone_trunc,Animal,6,NA,0.15
Dairy,Count,1.0861722468392365,1.0861722468392365,1.0083002391113831,0.98415014715321,1.2195011418502892,1.02207786911368,Pooled,POOLED,finalized_redone_trunc,Animal,10,NA,0.15
Dairy,Presence,1.0947411345261333,2.4723751429668948,1.0947411345261333,1.0120433010006884,1.1984631468206945,1.0107209270943,Pooled,POOLED,finalized_redone_trunc,Animal,10,NA,0.15
Egg,Count,1.056719425520347,1.056719425520347,1.0055321689917787,0.9941121455048986,1.1497124872152553,1.03273005007463,Pooled,POOLED,finalized_redone_trunc,Animal,5,NA,0.15
Egg,Presence,1.0130717989607978,1.1386814874394342,1.0130717989607978,0.9843578567351045,1.0605989704539212,1.02033701124177,Pooled,POOLED,finalized_redone_trunc,Animal,5,NA,0.15
Untextured,Count,1.2662230240600922,1.2662230240600922,1.0238846228335596,1.0471112555360031,2.0628182905271304,1.02174494963019,Pooled,POOLED,finalized_redone_trunc,Animal,12,NA,0.15
Untextured,Presence,1.1762646263568772,5.070495100277244,1.1762646263568772,1.0650216152874707,1.2906215512387373,1.01196527918298,Pooled,POOLED,finalized_redone_trunc,Animal,12,NA,0.15
Total (A1),Count,1.0253160516628028,1.0253160516628028,1.0025032186479277,0.9750325486117088,1.080910445500543,1.65253236270234,Pooled,POOLED,finalized_redone_trunc,Total,0,NA,0.15
Total (A1),Presence,0.9724302102197314,0.7561090302087722,0.9724302102197314,0.8736531413864101,1.0910647957584527,1.0046709875783,Pooled,POOLED,finalized_redone_trunc,Total,0,NA,0.15
Breakfast,Count,0.79,NA,0.9772252878291672,0.66,0.96,1.00200121534261,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,Animal,11,1,0.15
Breakfast,Count,0.81,NA,0.9790019427245934,0.75,0.87,1.00258867041997,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,Animal,11,2,0.15
Breakfast,Count,1.3,NA,1.0264361836834017,0.92,1.87,1.00476394816189,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal,11,3,0.15
Breakfast,Count,1.04,NA,1.0042257539360326,0.8,1.39,1.00321651835784,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,Animal,11,4,0.15
Breakfast,Count,0.98,NA,0.997773510330803,0.88,1.07,1.00922568171937,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal,11,5,0.15
