outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,color_group,n_rest_in_group,rest_rank,step_size
chicken_fish,Level Change,1.0139735165276993,1.0139735165276993,0.7948393183808957,1.2985775524746206,1.13349842644907,18.8462203546077,Pooled,POOLED,Animal,25,NA,0.15
chicken_fish,Slope Change,1.5965039478060814,1.5965039478060814,1.09637618047921,2.33383642999245,1.03796914604619,50.9690407151888,Pooled,POOLED,Animal,25,NA,0.15
vegetarian,Level Change,1.122275751482322,1.122275751482322,0.873300078214891,1.6144145367410274,1.22097268383495,11.7787782839776,Pooled,POOLED,Plant-based,27,NA,0.15
vegetarian,Slope Change,1.1290080093886494,1.1290080093886494,1.0065278234689716,1.2665118855761959,1.01304501188119,33.1571399804258,Pooled,POOLED,Plant-based,27,NA,0.15
vegan,Level Change,1.2062103017509938,1.2062103017509938,0.8352918451899038,1.6195054907147424,1.04002359987779,15.3156264336368,Pooled,POOLED,Plant-based,27,NA,0.15
vegan,Slope Change,1.1212375938153936,1.1212375938153936,0.9983414004989563,1.3405579729269064,1.09873305935545,43.1107127184188,Pooled,POOLED,Plant-based,27,NA,0.15
chicken_fish,Level Change,0.99,NA,0.89,1.1,1.0038023420159,NA,Restaurant,VLZX7K2M9QD4T,Animal,25,16,0.15
chicken_fish,Level Change,0.86,NA,0.69,1.09,1.0088915382774,NA,Restaurant,2HRX9P6HKXA8V,Animal,25,2,0.15
chicken_fish,Level Change,0.9,NA,0.8,1.01,1.02073195218763,NA,Restaurant,JHDN7CF1C03X5,Animal,25,10,0.15
chicken_fish,Level Change,0.92,NA,0.54,1.47,1.0123472858801,NA,Restaurant,L69HYJ4Y3TR91,Animal,25,11,0.15
chicken_fish,Level Change,0.81,NA,0.55,1.17,1.01697154189077,NA,Restaurant,ED5J990H5VAZT,Animal,25,8,0.15
chicken_fish,Level Change,1.35,NA,1.03,1.81,1.00459990465134,NA,Restaurant,W8T41JZK0ZMEP,Animal,25,21,0.15
chicken_fish,Level Change,0.3,NA,0.12,0.58,1.02951269771525,NA,Restaurant,W8T41JZK0ZMEP,Animal,25,22,0.15
chicken_fish,Level Change,0.77,NA,0.54,1.1,1.00030232415407,NA,Restaurant,W8T41JZK0ZMEP,Animal,25,23,0.15
chicken_fish,Level Change,0.98,NA,0.59,1.5,1.0238096762519,NA,Restaurant,W8T41JZK0ZMEP,Animal,25,24,0.15
chicken_fish,Level Change,0.85,NA,0.59,1.2,1.00447198812539,NA,Restaurant,W8T41JZK0ZMEP,Animal,25,25,0.15
chicken_fish,Level Change,1.8,NA,0.85,5.11,1.0522212450108,NA,Restaurant,EMBVNVD207CC6,Animal,25,9,0.15
chicken_fish,Level Change,1.11,NA,0.31,3.77,1.00477858186606,NA,Restaurant,C0BE4NDSW26QN,Animal,25,6,0.15
chicken_fish,Level Change,1.48,NA,0.66,3.71,1.00257798716834,NA,Restaurant,C0BE4NDSW26QN,Animal,25,7,0.15
chicken_fish,Level Change,1.26,NA,0.77,2.03,1.0088295735811,NA,Restaurant,V3Q26BHF3SE2H,Animal,25,17,0.15
chicken_fish,Level Change,1.2,NA,0.78,1.9,1.00640954519612,NA,Restaurant,V3Q26BHF3SE2H,Animal,25,18,0.15
chicken_fish,Level Change,1.36,NA,0.94,1.96,1.00283783467461,NA,Restaurant,V3Q26BHF3SE2H,Animal,25,19,0.15
chicken_fish,Level Change,0.73,NA,0.43,1.22,1.01605723975591,NA,Restaurant,V3Q26BHF3SE2H,Animal,25,20,0.15
chicken_fish,Level Change,1.74,NA,1.3,2.37,1.0287026290614,NA,Restaurant,LBZEEFSBJNB3Z,Animal,25,12,0.15
chicken_fish,Level Change,0.92,NA,0.71,1.18,1.04465899789122,NA,Restaurant,SAFK7ND1HR6XS,Animal,25,15,0.15
chicken_fish,Level Change,0.9,NA,0.73,1.1,1.00174390317121,NA,Restaurant,S8MT0YGD2KTN9,Animal,25,14,0.15
chicken_fish,Level Change,0.57,NA,0.46,0.7,1.01019086703998,NA,Restaurant,1SQPTEGYPH0GA,Animal,25,1,0.15
chicken_fish,Level Change,1.13,NA,0.89,1.46,1.00320376197025,NA,Restaurant,9XKJD8DQTH559,Animal,25,4,0.15
chicken_fish,Level Change,1.42,NA,1.03,1.93,1.00281235506072,NA,Restaurant,9XKJD8DQTH559,Animal,25,5,0.15
chicken_fish,Level Change,1.27,NA,0.69,2.92,1.1220302848868,NA,Restaurant,LQ5EH4BKGV61T,Animal,25,13,0.15
chicken_fish,Level Change,1.05,NA,0.96,1.15,1.00453587361554,NA,Restaurant,78AY09MVJVTYE,Animal,25,3,0.15
chicken_fish,Slope Change,1.42,NA,0.71,2.84,1.02120850538335,NA,Restaurant,VLZX7K2M9QD4T,Animal,25,16,0.15
chicken_fish,Slope Change,1.46,NA,1.12,1.95,1.04211501681338,NA,Restaurant,2HRX9P6HKXA8V,Animal,25,2,0.15
chicken_fish,Slope Change,1.92,NA,1.54,2.37,1.04603581350216,NA,Restaurant,JHDN7CF1C03X5,Animal,25,10,0.15
chicken_fish,Slope Change,1.92,NA,0.7,5.94,1.0132725330368,NA,Restaurant,L69HYJ4Y3TR91,Animal,25,11,0.15
chicken_fish,Slope Change,3.23,NA,2.04,5.42,1.02473886247667,NA,Restaurant,ED5J990H5VAZT,Animal,25,8,0.15
