outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,source,color_group,n_rest_in_group,rest_rank,step_size
dairy,Level Change,1.6793387850068058,1.6793387850068058,0.503674362942272,5.130448077960323,1.03478837522252,101.909620991679,Pooled,POOLED,finalized_redone_trunc,Animal,8,NA,0.12
dairy,Slope Change,0.9002691008976448,0.9002691008976448,0.36257995989162556,2.0583947367079873,1.07430866183758,36.1851602620564,Pooled,POOLED,finalized_redone_trunc,Animal,8,NA,0.12
chicken,Level Change,4.77,NA,1.38,16.83,1.00217499151893,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,4,1,0.12
chicken,Level Change,102.91,NA,9.47,2448.04,1.00398931977837,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,4,2,0.12
chicken,Level Change,2.68,NA,1.2,5.97,1.00181260235648,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,4,3,0.12
chicken,Level Change,1.01,NA,0.44,2.28,1.00063454574796,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,4,4,0.12
chicken,Slope Change,0.78,NA,0.07,5.78,1.00230669152137,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,4,1,0.12
chicken,Slope Change,0.83,NA,0.08,7.45,1.00921701178031,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,4,2,0.12
chicken,Slope Change,0.72,NA,0.06,5.51,1.00410405434449,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,4,3,0.12
chicken,Slope Change,1.1,NA,0.19,19.84,1.00418489726078,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,4,4,0.12
dairy,Level Change,1.18,NA,1,1.38,1.0051447541946,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,8,4,0.12
dairy,Level Change,1.21,NA,1.02,1.49,1.004491955383,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,8,5,0.12
dairy,Level Change,1.16,NA,0.95,1.4,1.01053118886525,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,8,6,0.12
dairy,Level Change,1.16,NA,0.95,1.37,1.00444895309443,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,8,7,0.12
dairy,Level Change,1.17,NA,0.97,1.39,1.01294357934229,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,8,8,0.12
dairy,Level Change,6.92,NA,1.53,32.07,1.01395816394371,NA,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,Animal,8,3,0.12
dairy,Level Change,1.42,NA,1.07,1.93,1.00357055529602,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal,8,1,0.12
dairy,Level Change,1.35,NA,0.95,1.85,1.00821616650824,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal,8,2,0.12
dairy,Slope Change,0.83,NA,0.2,2.93,1.02940430841146,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,8,4,0.12
dairy,Slope Change,1.8,NA,0.72,11.92,1.03076394650902,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,8,5,0.12
dairy,Slope Change,0.78,NA,0.22,2.91,1.01397152095318,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,8,6,0.12
dairy,Slope Change,0.49,NA,0.05,1.39,1.02154191925705,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,8,7,0.12
dairy,Slope Change,0.89,NA,0.27,4.28,1.02623989909192,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,8,8,0.12
dairy,Slope Change,1.23,NA,0.59,2.94,1.0189459852813,NA,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,Animal,8,3,0.12
dairy,Slope Change,0.55,NA,0.17,1.75,1.02254541942018,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal,8,1,0.12
dairy,Slope Change,0.54,NA,0.17,1.73,1.01264769142606,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal,8,2,0.12
