outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source
Breakfast,Count,0.9370635620681438,0.726509223682064,1.1565429038355626,1.0021717743589051,Pooled,POOLED,finalized_redone_zi
Breakfast,Presence,0.7866318970484019,0.4852069272072693,1.4677375374432031,1.0007355762000603,Pooled,POOLED,finalized_redone_zi
Chicken,Count,1.1161578484989387,0.7642509883372934,1.692548912595498,1.0266963324963667,Pooled,POOLED,finalized_redone_zi
Chicken,Presence,1.4098891111138663,0.7009899175527388,2.984569454222154,1.0069125083900783,Pooled,POOLED,finalized_redone_zi
Dairy,Presence,1.073898613701344,0.5360105019033568,2.2482611607622762,1.0061040077019268,Pooled,POOLED,finalized_redone_zi
Egg,Count,1.0242478893497184,0.7350999703035007,1.3260962820167645,1.0014947610354377,Pooled,POOLED,finalized_redone_zi
Egg,Presence,1.0122986677976413,0.4990115311403102,1.7465713717183982,1.0521985413462416,Pooled,POOLED,finalized_redone_zi
Untextured,Count,1.106110630137706,1.01665676748113,1.2311503484996271,1.1391993199649137,Pooled,POOLED,finalized_redone_zi
Untextured,Presence,1.106110630137706,1.01665676748113,1.2311503484996271,1.1391993199649137,Pooled,POOLED,finalized_redone_zi
Breakfast,Count,0.92,0.78,1.07,1.000579038809337,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi
Breakfast,Count,0.96,0.87,1.07,0.9998881856183695,Restaurant,ED5J990H5VAZT,finalized_redone_zi
Breakfast,Count,0.94,0.75,1.18,0.9998879257139051,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi
Breakfast,Presence,0.84,0.39,2.55,1.0005468062406726,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi
Breakfast,Presence,0.67,0.51,0.85,1.0009362638256676,Restaurant,ED5J990H5VAZT,finalized_redone_zi
Breakfast,Presence,0.86,0.62,1.24,1.0010078503438447,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi
Chicken,Count,1.03,0.96,1.1,1.6767500577246588,Restaurant,JHDN7CF1C03X5,finalized_redone_zi
Chicken,Count,1.18,1.08,1.3,1.0139887580144622,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi
Chicken,Presence,1.46,0.54,4.83,1.0264308847682901,Restaurant,JHDN7CF1C03X5,finalized_redone_zi
Chicken,Presence,1.43,1.14,1.86,1.0471575769221741,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi
Dairy,Presence,1.02,0.87,1.21,1.014172236195313,Restaurant,ED5J990H5VAZT,finalized_redone_zi
Dairy,Presence,1.12,0.37,4.07,1.0298782899105785,Restaurant,JHDN7CF1C03X5,finalized_redone_zi
Dairy,Presence,1.17,0.43,4.1,1.0076399980224824,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi
Egg,Count,1.03,0.98,1.06,1.0017218991175585,Restaurant,ED5J990H5VAZT,finalized_redone_zi
Egg,Count,1.05,1.02,1.08,1.0001978683277586,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi
Egg,Presence,1.06,0.84,1.31,1.0071899935552668,Restaurant,ED5J990H5VAZT,finalized_redone_zi
Egg,Presence,0.91,0.09,2.3,1.0209803932113253,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi
Untextured,Count,1.11,1.02,1.23,1.1391993199649137,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
Untextured,Presence,1.11,1.02,1.23,1.1391993199649137,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
