outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,source
breakfast,Level Change,0.8659022696193077,0.6436781306148092,1.176991757170493,1.006368878133654,568.8877347422921,Pooled,POOLED,finalized_redone_zi
breakfast,Slope Change,0.7559720425133938,0.4011115142245428,1.5670320636961605,1.0037281988401676,559.054190333086,Pooled,POOLED,finalized_redone_zi
textured,Level Change,1.241368256569666,1.162814750557393,1.310827411942642,1.2392676713252453,6.799555541922,Pooled,POOLED,finalized_redone_zi
textured,Slope Change,0.6809557185679366,0.36916116270254146,1.081977294009167,1.0807704909554376,23.665957174473018,Pooled,POOLED,finalized_redone_zi
untextured,Level Change,1.0817651242103865,0.7530129337763055,1.7027240057797393,1.142953167030154,10.588353709456172,Pooled,POOLED,finalized_redone_zi
untextured,Slope Change,1.3168515342033198,0.5508414559399142,3.0406095342279493,1.6233103472170278,3.4389112487397573,Pooled,POOLED,finalized_redone_zi
breakfast,Level Change,0.84,0.68,1.02,1.000522679437291,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi
breakfast,Slope Change,0.57,0.38,0.94,1.0067011441370741,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi
breakfast,Level Change,0.91,0.71,1.24,1.003017789327913,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi
breakfast,Slope Change,0.75,0.28,2.02,1.0057041293384146,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi
breakfast,Level Change,0.86,0.67,1.1,1.0005356822263112,NA,Restaurant,ED5J990H5VAZT,finalized_redone_zi
breakfast,Slope Change,0.97,0.59,1.59,1.0005247898843292,NA,Restaurant,ED5J990H5VAZT,finalized_redone_zi
textured,Level Change,1.24,1.16,1.31,1.2392676713252453,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone_zi
textured,Slope Change,0.68,0.37,1.08,1.0807704909554376,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone_zi
untextured,Level Change,1,0.86,1.21,1.1965274616341268,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
untextured,Level Change,1.11,0.94,1.38,1.2871887141723986,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
untextured,Slope Change,0.37,0.08,0.94,1.34481644893966,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
untextured,Slope Change,1.47,0.56,6.86,1.3641291922687477,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
