outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source
Breakfast,Count,-0.06500416332605,-0.31950409999999996,0.14543530000000013,1.0021717743589051,Pooled,POOLED,finalized_redone_zi
Breakfast,Presence,-0.23999486927466668,-0.7231798249999999,0.3837221250000008,1.0007355762000603,Pooled,POOLED,finalized_redone_zi
Chicken,Count,0.10989229526453333,-0.268859025,0.526235625,1.0266963324963667,Pooled,POOLED,finalized_redone_zi
Chicken,Presence,0.34351105669733334,-0.355261775,1.0934555000000001,1.0069125083900783,Pooled,POOLED,finalized_redone_zi
Dairy,Presence,0.07129559098013333,-0.6236015249999999,0.8101571,1.0061040077019268,Pooled,POOLED,finalized_redone_zi
Egg,Count,0.0239585767639,-0.30774877500000003,0.28223950000000037,1.0014947610354377,Pooled,POOLED,finalized_redone_zi
Egg,Presence,0.012223653606333333,-0.6951260749999999,0.55765465,1.0521985413462416,Pooled,POOLED,finalized_redone_zi
Untextured,Count,0.10084992534703334,0.016519565000000003,0.20794897500000006,1.1391993199649137,Pooled,POOLED,finalized_redone_zi
Untextured,Presence,0.10084992534703334,0.016519565000000003,0.20794897500000006,1.1391993199649137,Pooled,POOLED,finalized_redone_zi
Breakfast,Count,-0.08338160893905101,-0.2484613592984996,0.06765864847381486,1.000579038809337,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi
Breakfast,Count,-0.040821994520255166,-0.13926206733350766,0.06765864847381486,0.9998881856183695,Restaurant,ED5J990H5VAZT,finalized_redone_zi
Breakfast,Count,-0.06187540371808753,-0.2876820724517809,0.16551443847757333,0.9998879257139051,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi
Breakfast,Presence,-0.1743533871447778,-0.941608539858445,0.9360933591703348,1.0005468062406726,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi
Breakfast,Presence,-0.40047756659712525,-0.6733445532637656,-0.16251892949777494,1.0009362638256676,Restaurant,ED5J990H5VAZT,finalized_redone_zi
Breakfast,Presence,-0.15082288973458366,-0.4780358009429998,0.2151113796169455,1.0010078503438447,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi
Chicken,Count,0.02955880224154443,-0.040821994520255166,0.09531017980432493,1.6767500577246588,Restaurant,JHDN7CF1C03X5,finalized_redone_zi
Chicken,Count,0.16551443847757333,0.0769610411361284,0.26236426446749106,1.0139887580144622,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi
Chicken,Presence,0.37843643572024505,-0.616186139423817,1.5748464676644813,1.0264308847682901,Restaurant,JHDN7CF1C03X5,finalized_redone_zi
Chicken,Presence,0.3576744442718159,0.131028262406404,0.62057648772511,1.0471575769221741,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi
Dairy,Presence,0.01980262729617973,-0.13926206733350766,0.1906203596086497,1.014172236195313,Restaurant,ED5J990H5VAZT,finalized_redone_zi
Dairy,Presence,0.11332868530700327,-0.9942522733438669,1.4036429994545037,1.0298782899105785,Restaurant,JHDN7CF1C03X5,finalized_redone_zi
Dairy,Presence,0.1570037488096647,-0.843970070294529,1.410986973710262,1.0076399980224824,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi
Egg,Count,0.02955880224154443,-0.020202707317519466,0.058268908123975824,1.0017218991175585,Restaurant,ED5J990H5VAZT,finalized_redone_zi
Egg,Count,0.04879016416943205,0.01980262729617973,0.0769610411361284,1.0001978683277586,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi
Egg,Presence,0.058268908123975824,-0.1743533871447778,0.2700271372130602,1.0071899935552668,Restaurant,ED5J990H5VAZT,finalized_redone_zi
Egg,Presence,-0.09431067947124129,-2.4079456086518722,0.8329091229351039,1.0209803932113253,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi
Untextured,Count,0.10436001532424286,0.01980262729617973,0.20701416938432612,1.1391993199649137,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
Untextured,Presence,0.10436001532424286,0.01980262729617973,0.20701416938432612,1.1391993199649137,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
