outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,source
breakfast,Level Change,-0.14398322942163333,-0.440556475,0.162961825,1.006368878133654,568.8877347422921,Pooled,POOLED,finalized_redone_zi
breakfast,Slope Change,-0.2797508842888,-0.9135158,0.44918342499999997,1.0037281988401676,559.054190333086,Pooled,POOLED,finalized_redone_zi
textured,Level Change,0.216214204,0.150843575,0.27065855000000005,1.2392676713252453,6.799555541922,Pooled,POOLED,finalized_redone_zi
textured,Slope Change,-0.3842579990761,-0.996521975,0.07879019500000017,1.0807704909554376,23.665957174473018,Pooled,POOLED,finalized_redone_zi
untextured,Level Change,0.07859408126883333,-0.283672875,0.5322293250000002,1.142953167030154,10.588353709456172,Pooled,POOLED,finalized_redone_zi
untextured,Slope Change,0.275243686113,-0.59630825,1.112058,1.6233103472170278,3.4389112487397573,Pooled,POOLED,finalized_redone_zi
breakfast,Level Change,-0.1743533871447778,-0.3856624808119846,0.01980262729617973,1.000522679437291,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi
breakfast,Slope Change,-0.5621189181535413,-0.9675840262617056,-0.06187540371808753,1.0067011441370741,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi
breakfast,Level Change,-0.09431067947124129,-0.342490308946776,0.2151113796169455,1.003017789327913,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi
breakfast,Slope Change,-0.2876820724517809,-1.2729656758128873,0.7030975114131134,1.0057041293384146,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi
breakfast,Level Change,-0.15082288973458366,-0.40047756659712525,0.09531017980432493,1.0005356822263112,NA,Restaurant,ED5J990H5VAZT,finalized_redone_zi
breakfast,Slope Change,-0.030459207484708574,-0.527632742082372,0.4637340162321402,1.0005247898843292,NA,Restaurant,ED5J990H5VAZT,finalized_redone_zi
textured,Level Change,0.2151113796169455,0.14842000511827322,0.2700271372130602,1.2392676713252453,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone_zi
textured,Slope Change,-0.3856624808119846,-0.9942522733438669,0.0769610411361284,1.0807704909554376,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone_zi
untextured,Level Change,0,-0.15082288973458366,0.1906203596086497,1.1965274616341268,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
untextured,Level Change,0.10436001532424286,-0.06187540371808753,0.3220834991691132,1.2871887141723986,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
untextured,Slope Change,-0.9942522733438669,-2.5257286443082556,-0.06187540371808753,1.34481644893966,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
untextured,Slope Change,0.3852624007906449,-0.579818495252942,1.925707441737794,1.3641291922687477,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi
