outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group
Breakfast,Count,0.9370635620681438,0.726509223682064,1.1565429038355626,1.0021717743589051,Pooled,POOLED,finalized_redone_zi,Animal
Breakfast,Presence,0.9762862106634201,0.9302350503099673,1.0391179335904706,1.0007355762000603,Pooled,POOLED,finalized_redone_zi,Animal
Chicken,Count,1.1161578484989387,0.7642509883372934,1.692548912595498,1.0266963324963667,Pooled,POOLED,finalized_redone_zi,Animal
Chicken,Presence,1.0349479190261306,0.965097470060303,1.1155477612771478,1.0069125083900783,Pooled,POOLED,finalized_redone_zi,Animal
Dairy,Presence,1.0071550349122658,0.9395444465684083,1.0843879321673597,1.0061040077019268,Pooled,POOLED,finalized_redone_zi,Animal
Egg,Count,1.0242478893497184,0.7350999703035007,1.3260962820167645,1.0014947610354377,Pooled,POOLED,finalized_redone_zi,Animal
Egg,Presence,1.0012231127536688,0.9328483724245626,1.0573496691490436,1.0521985413462416,Pooled,POOLED,finalized_redone_zi,Animal
Untextured,Count,1.106110630137706,1.01665676748113,1.2311503484996271,1.1391993199649137,Pooled,POOLED,finalized_redone_zi,Animal
Untextured,Presence,1.0101360174563148,1.0016533217318033,1.0210126179201064,1.1391993199649137,Pooled,POOLED,finalized_redone_zi,Animal
Breakfast,Count,0.92,0.78,1.07,1.000579038809337,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi,Animal
Breakfast,Count,0.96,0.87,1.07,0.9998881856183695,Restaurant,ED5J990H5VAZT,finalized_redone_zi,Animal
Breakfast,Count,0.94,0.75,1.18,0.9998879257139051,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi,Animal
Breakfast,Presence,0.9827157772761715,0.9101363514059139,1.0981306619007651,1.0005468062406726,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi,Animal
Breakfast,Presence,0.9607435561536403,0.9348824726202953,0.9838794565405263,1.0009362638256676,Restaurant,ED5J990H5VAZT,finalized_redone_zi,Animal
Breakfast,Presence,0.9850308790880502,0.9533210199136081,1.0217441704214383,1.0010078503438447,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi,Animal
Chicken,Count,1.03,0.96,1.1,1.6767500577246588,Restaurant,JHDN7CF1C03X5,finalized_redone_zi,Animal
Chicken,Count,1.18,1.08,1.3,1.0139887580144622,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi,Animal
Chicken,Presence,1.0385688332697405,0.9402414133840812,1.1705627859198902,1.0264308847682901,Restaurant,JHDN7CF1C03X5,finalized_redone_zi,Animal
Chicken,Presence,1.0364147944268143,1.0131890444241456,1.0640236826192153,1.0471575769221741,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi,Animal
Dairy,Presence,1.0019822247447452,0.9861703143068244,1.0192448764914566,1.014172236195313,Restaurant,ED5J990H5VAZT,finalized_redone_zi,Animal
Dairy,Presence,1.0113973287615656,0.9053576433419918,1.1506929198776512,1.0298782899105785,Restaurant,JHDN7CF1C03X5,finalized_redone_zi,Animal
Dairy,Presence,1.0158242733348055,0.9190663078716547,1.1515382961787317,1.0076399980224824,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi,Animal
Egg,Count,1.03,0.98,1.06,1.0017218991175585,Restaurant,ED5J990H5VAZT,finalized_redone_zi,Animal
Egg,Count,1.05,1.02,1.08,1.0001978683277586,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi,Animal
Egg,Presence,1.0058439001618265,0.9827157772761715,1.0273705907571677,1.0071899935552668,Restaurant,ED5J990H5VAZT,finalized_redone_zi,Animal
Egg,Presence,0.9906132650954108,0.7860030855966228,1.0868579428992127,1.0209803932113253,Restaurant,W8T41JZK0ZMEP,finalized_redone_zi,Animal
Untextured,Count,1.11,1.02,1.23,1.1391993199649137,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi,Animal
Untextured,Presence,1.0104906465227195,1.0019822247447452,1.020917177548195,1.1391993199649137,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi,Animal
