outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id
chicken_fish,mpbamod,Count,0.9787644779327899,0.8419344442130487,1.0598994975533877,1.0043142579691682,Pooled,POOLED
chicken_fish,mpbamod,Proportion,0.8945737358030253,0.7914436469379394,1.028135229923843,0.999901510211722,Pooled,POOLED
chicken_fish,vegan,Count,1.1650624436818968,0.8275626414156808,1.6158210619877138,1.0090804074759532,Pooled,POOLED
chicken_fish,vegan,Proportion,1.0696944829417931,0.9513163898698284,1.2052598658509721,1.001711348359496,Pooled,POOLED
chicken_fish,vegetarian,Count,1.0932146573793322,0.9495345113723671,1.2747677752976796,1.0050799998880577,Pooled,POOLED
chicken_fish,vegetarian,Proportion,0.9826947902904798,0.8447240905528858,1.1432868034606967,1.0006603334734918,Pooled,POOLED
meat,mpbamod,Count,0.978940586976319,0.7917988671805529,1.187973839410783,1.001351352045772,Pooled,POOLED
meat,mpbamod,Proportion,0.9510771734081694,0.8338339684827587,1.0807062417878548,1.0021543808314255,Pooled,POOLED
meat,vegan,Count,1.1964193538954286,0.8684021197478826,1.6688967426988652,0.9997865091136683,Pooled,POOLED
meat,vegan,Proportion,1.0255951143414799,0.908693200478535,1.1365105816479224,1.000621242363303,Pooled,POOLED
meat,vegetarian,Count,1.0324377073161666,0.9701581592527604,1.0962979266812014,1.0011703440307644,Pooled,POOLED
meat,vegetarian,Proportion,0.9553058917249319,0.8445745031628031,1.0819118877538063,1.001864308672492,Pooled,POOLED
nonvegan,mpbamod,Count,0.9792459359074533,0.7387125169693739,1.2763547965558755,1.001093727548236,Pooled,POOLED
nonvegan,mpbamod,Proportion,0.9380337663853908,0.8160096280555132,1.0828383196078653,0.9997886817187853,Pooled,POOLED
nonvegan,vegan,Count,1.2347996923444315,0.8900983426506983,1.7822466832080324,1.0029079403961387,Pooled,POOLED
nonvegan,vegan,Proportion,1.0755421734892492,0.9638582512067714,1.185817280444089,1.000076053453321,Pooled,POOLED
nonvegan,vegetarian,Count,1.051279287670527,0.9742870195371041,1.135546945307083,1.0026631892598532,Pooled,POOLED
nonvegan,vegetarian,Proportion,1.0303691200840008,0.9299832232627208,1.1313049902315497,1.0010117831263627,Pooled,POOLED
total,mpbamod,Count,0.9949694501074184,0.7740457489257161,1.2833390318187867,1.0022687446725063,Pooled,POOLED
total,mpbamod,Proportion,0.9400220507400172,0.8104101309123498,1.082619123885718,1.0004162154518608,Pooled,POOLED
total,vegan,Count,1.2235492680719213,0.869153112792063,1.7068597009283346,1.0036878644029106,Pooled,POOLED
