outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group
Breakfast,Count,1.2420259036018573,0.8896529821378575,1.6824956128251445,1.0054094600407932,Pooled,POOLED,finalized_simple,Animal
Breakfast,Presence,1.062150111324915,1.0007307938748191,1.1343523258047323,1.0014683145715035,Pooled,POOLED,finalized_simple,Animal
Chicken,Count,1.0308571531035098,0.6293833018315498,1.5284028862476398,1.005101266671715,Pooled,POOLED,finalized_simple,Animal
Chicken,Presence,1.0637621011979368,0.9876845412016448,1.1548862161903348,1.00388447449393,Pooled,POOLED,finalized_simple,Animal
Dairy,Count,1.065890504470276,0.8611881486707956,1.3186204480882007,1.0011732962583555,Pooled,POOLED,finalized_simple,Animal
Dairy,Presence,1.060599655287847,1.0024744822400629,1.137549770304919,1.0018776540038432,Pooled,POOLED,finalized_simple,Animal
Egg,Count,1.1185574527716056,0.8289775748973459,1.5120089166571917,1.0041090722508204,Pooled,POOLED,finalized_simple,Animal
Egg,Presence,1.0793399058926596,0.9964873386304475,1.1417733797593894,1.0062959819072765,Pooled,POOLED,finalized_simple,Animal
Untextured,Count,1.434709356012109,1.3424895991546049,1.5314015701499937,0.9994483260858164,Pooled,POOLED,finalized_simple,Animal
Untextured,Presence,1.0367556075771398,1.0298905969018333,1.0435395389274136,0.9994483260858164,Pooled,POOLED,finalized_simple,Animal
Total (A1),Count,1.0819605549599758,0.9172385947521104,1.2222397056713057,1.0071029968570855,Pooled,POOLED,finalized_simple,Total
Total (A1),Presence,1.1431199138019983,1.0262621567375334,1.269726883523845,1.0000764315985065,Pooled,POOLED,finalized_simple,Total
Breakfast,Count,1.07,0.95,1.22,1.0041820318855448,Restaurant,2HRX9P6HKXA8V,finalized_simple,Animal
Breakfast,Count,1.33,1.29,1.37,1.0051671300612504,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Breakfast,Count,1.35,1.21,1.51,0.9996840603490448,Restaurant,L69HYJ4Y3TR91,finalized_simple,Animal
Breakfast,Presence,1.0896604804610857,0.9838794565405263,1.2806931065384448,0.9996308036042169,Restaurant,2HRX9P6HKXA8V,finalized_simple,Animal
Breakfast,Presence,1.0820373898183429,1.070154846410574,1.093746329125197,0.9994614868085173,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Breakfast,Presence,1.0327326526537461,1.0217441704214383,1.0434439926896288,0.9997736009219987,Restaurant,L69HYJ4Y3TR91,finalized_simple,Animal
Chicken,Count,0.99,0.98,1,1.0015511906140773,Restaurant,JHDN7CF1C03X5,finalized_simple,Animal
Chicken,Count,1.1,1.07,1.14,1.000013512565471,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Chicken,Presence,1.0896604804610857,1.0009955282949736,1.2362793213324352,1.0041582135258436,Restaurant,JHDN7CF1C03X5,finalized_simple,Animal
Chicken,Presence,1.053248691300327,1.0420719231471738,1.0651622954916389,0.999415762560831,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Dairy,Count,1.13,1.12,1.15,1.000742312309121,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Dairy,Count,1.01,0.98,1.04,0.9998638962344139,Restaurant,JHDN7CF1C03X5,finalized_simple,Animal
Dairy,Count,1.05,1.05,1.06,0.9994137177377787,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Dairy,Presence,1.0385688332697405,1.03198184410593,1.0454721296829765,1.003481436313786,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Dairy,Presence,1.0712363662277915,0.9938315630347766,1.170077175279657,1.0002039667444365,Restaurant,JHDN7CF1C03X5,finalized_simple,Animal
Dairy,Presence,1.0805527510712007,1.0039297727022005,1.1940198024105604,1.002974735571716,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Egg,Count,1.15,1.13,1.17,0.9993589833822558,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Egg,Count,1.1,1.09,1.12,0.9994562737129358,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Egg,Presence,1.083503918542181,1.074946183300194,1.092850178048433,1.0003867679702356,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Egg,Presence,1.0863844688652629,1.025791204689333,1.181706031249769,0.9999090330366951,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Untextured,Count,1.43,1.34,1.53,0.9994483260858164,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal
Untextured,Presence,1.0364147944268143,1.0296994477882186,1.0434439926896288,0.9994483260858164,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal
