outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,source,color_group
breakfast,Level Change,0.3417227794766667,-0.2124835,0.8851236249999985,1.0017782414968424,544.9477709212133,Pooled,POOLED,finalized_simple,Animal
breakfast,Slope Change,0.5003578874826666,-0.15150075,1.1822902499999999,1.001582741937206,844.5707431499771,Pooled,POOLED,finalized_simple,Animal
textured,Level Change,0.16021886946666666,0.11471465,0.20388784999999998,1.0019266694587647,213.2511205503061,Pooled,POOLED,finalized_simple,Animal
textured,Slope Change,-0.22317295931333334,-0.361385575,-0.07547951500000001,1.0003880860014898,213.5215379806885,Pooled,POOLED,finalized_simple,Animal
untextured,Level Change,0.294610191514,-0.7381381,1.181628249999998,1.0011925716637444,792.3489187084791,Pooled,POOLED,finalized_simple,Animal
untextured,Slope Change,-0.11147474106666666,-0.982275275,0.8289121249999976,0.9996883172310137,827.1877267161126,Pooled,POOLED,finalized_simple,Animal
Total (A3),Level Change,0.18661762026533332,-0.20400179999999998,0.576841125,1.0002964675355035,96.7039838492534,Pooled,POOLED,finalized_simple,Total
Total (A3),Slope Change,0.23191425114066666,-0.19526135,0.6469746249999997,1.000917417330015,173.44387302023412,Pooled,POOLED,finalized_simple,Total
breakfast,Level Change,0.19885085874516517,0.06765864847381486,0.34358970439007686,0.9996401087253023,NA,Restaurant,2HRX9P6HKXA8V,finalized_simple,Animal
breakfast,Slope Change,-0.08338160893905101,-0.11653381625595151,-0.040821994520255166,0.9993787175423728,NA,Restaurant,2HRX9P6HKXA8V,finalized_simple,Animal
breakfast,Level Change,0.02955880224154443,-0.10536051565782628,0.1570037488096647,0.9999701930112675,NA,Restaurant,L69HYJ4Y3TR91,finalized_simple,Animal
breakfast,Slope Change,1.3762440252663892,1.0152306797290584,1.763017000362401,1.0007574426055523,NA,Restaurant,L69HYJ4Y3TR91,finalized_simple,Animal
breakfast,Level Change,0.9001613499442714,0.7030975114131134,1.1019400787607843,0.9995548385689043,NA,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
breakfast,Slope Change,0.45107561936021673,0.23111172096338664,0.6678293725756554,0.9996452105327688,NA,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
textured,Level Change,0.1570037488096647,0.11332868530700327,0.20701416938432612,1.0019266694587647,NA,Restaurant,VLZX7K2M9QD4T,finalized_simple,Animal
textured,Slope Change,-0.2231435513142097,-0.35667494393873245,-0.07257069283483537,1.0003880860014898,NA,Restaurant,VLZX7K2M9QD4T,finalized_simple,Animal
untextured,Level Change,0.7030975114131134,0.5596157879354227,0.8586616190375187,0.9995465500582202,NA,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal
untextured,Level Change,0.09531017980432493,-0.06187540371808753,0.26236426446749106,1.0023115554201822,NA,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal
untextured,Slope Change,-0.2613647641344075,-1.3093333199837622,0.5423242908253617,1.001256435853521,NA,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal
untextured,Slope Change,-0.06187540371808753,-0.8675005677047231,0.9707789171582248,1.000555307042404,NA,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal
