outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,color_group
breakfast,Level Change,0.812870082504974,0.4929044337889213,1.3262599589201844,0.812870082504974,1.0004118007458,2703.00395091767,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
breakfast,Slope Change,0.502509174229788,0.17888228324164684,1.307823457375388,0.502509174229788,1.00065442799972,3934.89746144297,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
untextured,Level Change,1.09358328217573,0.4824135066988467,2.3340046181401406,1.09358328217573,1.01042910104574,181.478657553481,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
untextured,Slope Change,0.433819536704014,0.14311457797026114,1.091054462059942,0.433819536704014,1.0112403634854,176.724441195302,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
Total (A3),Level Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc_cp,Total
Total (A3),Slope Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc_cp,Total
breakfast,NA,-0.178767264394667,-0.38757445,0.0309659199999999,NA,1.00019014689066,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,Animal
breakfast,NA,-0.150449807982817,-0.435370175,0.18877888225,NA,1.00087833707847,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,Animal
breakfast,NA,-0.258772382602867,-0.64616135,0.0684647575,NA,0.999835823809117,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,Animal
breakfast,NA,-0.580544939288333,-0.974408175,-0.126671975,NA,1.00018768467054,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,Animal
breakfast,NA,-0.268677606987767,-1.52640925,1.06308125,NA,0.999884074414089,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,Animal
breakfast,NA,0.0507343547365333,-0.512908275,0.619081125,NA,1.00064740381577,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,Animal
textured,NA,0.199765013316667,0.129727125,0.272556925,NA,1.0098175799851,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,Animal
textured,NA,-0.365768822572083,-1.11211225,0.367301925,NA,1.0116819923268,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,Animal
untextured,NA,0.0747518749087833,-0.0554923875,0.236448475,NA,1.00216224740543,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
untextured,NA,0.0482473353492233,-0.0770390525,0.19597195,NA,1.01026319763749,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
untextured,NA,-0.667273554843167,-1.8558825,0.082466209999999,NA,1.00166907238823,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
untextured,NA,-0.134837487572558,-0.85784195,1.0622415,NA,1.00249200851401,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,Animal
